,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency %,Water Heating Energy Efficiency Class,Seasonal Space Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Boiler Bundles,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
0,P333933,Worcester Bosch Heatslave II 2022+ 18/25 Greenstar heatslave II external 18/25 2022+,Worcester Bosch,2868.0,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 18/25 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Worcester Bosch Heatslave II 2022+ 18/25 Greenstar heatslave II external 18/25 2022+,,"Boiler, low level balanced flue kit, installation manual, owners manual, guarantee card",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/52/115350_115352_wm.jpg,Black/Gloss,18 L/min,Oil,Heatslave II 2022+,2 years,1.83 kg,A,N,"90,A/90%",B,A,25 kW,770,88.9,Floor Standing,333933 PK,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,"Robust, durable external cabinet",Cabinet blends into garden,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,A-rated efficiency,IP45 protection from water and dust,2 year warranty,,,,,,,
1,P333934,Worcester Bosch Heatslave II 2022+ 25/32 Greenstar heatslave II external 25/32 2022+,Worcester Bosch,3067.0,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 25/32 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Worcester Bosch Heatslave II 2022+ 25/32 Greenstar heatslave II external 25/32 2022+,,"Boiler, low level balanced flue kit, installation manual, owners manual, guarantee card",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/52/115350_115352_wm.jpg,Black/Gloss,22 L/min,Oil,Heatslave II 2022+,2 years,186Kg,A,N,"A/91%,90",B,A,32 kW,770,88.8,Floor Standing,333934 PK,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,"Robust, durable external cabinet",Cabinet blends into garden,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,A-rated efficiency,IP45 protection from water and dust,2 year warranty,,,,,,,
2,P333919,Grant Vortex Pro External Combi 26 oil boiler 26kW,Grant,2814.0,"Designed to meet low-NOx regulations, the Grant Vortex Pro External Combi 26 external boiler is part of an award-winning range featuring Riello low-NOx technology. Incorporating Grant's patented heat exchangers with their large surface areas and low water content, this 26kW boiler has an ErP A rating for heating and B rating for hot water, improving efficiency in the home. Standing up to all weathers, the Vortex Pro External has a robust powder-coated casing and built-in frost protection for year-round reliability, even in challenging weather conditions.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Grant Vortex Pro External Combi 26 oil boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Pro_External_wm.jpg,White/Gloss,"36.6 L/min @ 10°C, 18.3 L/min @ 20°C",Oil,Vortex Pro External Combi,5 Year,2.06Kg,A,N,91.71,B,,26 kW,754,91.71,Floor Standing,333919 PK,Combi Boiler Pack,N,"High quality, external powder-coated casing","Factory-fitted multi-directional flue for faster, flexible installation",Patented Grant larger size heat exchangers for improved performance,Riello low-NOx burner,2 very accurate electronic temperature controls allow boiler to operate in condensing mode on central heating while producing instant hot water,Low system pressure cut off switch protects boiler in the unlikely event of system water loss,24L expansion vessel,Neon diagnostic indicators,Built-in frost protection,89.5 to 91.6% gross SAP2009 annual efficiency,"DHW flow rate 36.6LPM at 10°C, 18.3LPM at 20°C",2 year warranty,,,,,,,,
3,P333930,Worcester Bosch Heatslave II 2022+ 18/25 Greenstar heatslave II 18/25 2022+,Worcester Bosch,2668.0,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 18/25 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Worcester Bosch Heatslave II 2022+ 18/25 Greenstar heatslave II 18/25 2022+,,"Boiler, installation manual, owners manual, guarantee card",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/49/115347_115349_wm.jpg,White,18 L/min,Oil,Heatslave II 2022+,2 years,151kg,A,N,"90,A/90%",B,A,25 kW,600,88.9,Floor Standing,333930 PK,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,A-rated efficiency,2 year warranty,,,,,,,,,,
4,P333929,Worcester Bosch Heatslave II 2022+ 12/18 Greenstar heatslave II 12/18 2022+,Worcester Bosch,2563.0,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 12/18 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Worcester Bosch Heatslave II 2022+ 12/18 Greenstar heatslave II 12/18 2022+,,"Boiler, installation manual, owners manual, guarantee card",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/49/115347_115349_wm.jpg,White/Gloss,15 L/min,Oil,Heatslave II 2022+,2 years,138 kg,A,N,"90,A/90%",B,A,18 kW,600,89.0,Floor Standing,333929 PK,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,A-rated efficiency,2 year warranty,,,,,,,,,,
5,P333931,Worcester Bosch Heatslave II 2022+ 25/32 Greenstar heatslave II 25/32 2022+,Worcester Bosch,2878.0,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 25/32 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Worcester Bosch Heatslave II 2022+ 25/32 Greenstar heatslave II 25/32 2022+,,"Boiler, installation manual, owners manual, guarantee card",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/49/115347_115349_wm.jpg,White,22 L/min,Oil,Heatslave II 2022+,2 years,153 KG,A,N,"A/91%,90",B,A,32 kW,600,88.8,Floor Standing,333931 PK,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,A-rated efficiency,2 year warranty,,,,,,,,,,
6,P333899,Grant Vortex Pro Internal Combi 21 oil boiler 21kW,Grant,2562.0,"Designed for safety, reliability, efficiency and comfort, the Grant Vortex Pro Internal Combi 21 condensing boiler promises to help you reduce your greenhouse gas emissions and lower your fuel bills thanks to its ErP A rating for heating. Compliant with 2018's low NOx legislation, this 21kW combi is fitted with a tried and trusted Riello RDB burner alongside a patented Grant stainless steel heat exchanger which, with its larger surface area, increases hot water performance while a duo of ultra accurate electronic temperature controls ensure that hot water is available in an instant, even when in central heating condensing mode. Sleekly designed, the quiet but powerful Vortex Pro fits smartly and unobtrusively into any household.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Grant Vortex Pro Internal Combi 21 oil boiler 21kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/om/bi/Grant_Vortex_Pro_Internal_Combi_wm.jpg,White/Gloss,"30 L/min @ 10°C, 15 L/min @ 20°C",Oil,Vortex Pro Internal Combi,2 years,16.0 kg,A,N,90.81,B,,21 kW,606,90.81,Floor Standing,333899 PK,Internal Combi Boiler,N,"Exceptionally quiet operation, ideal for kitchen or utility room installations",Unique Grant Vortex stainless steel heat exchanger increases hot water performance thanks to its low water content and larger surface area,Low system pressure cut off switch protects the boiler in the unlikely event of system water loss,Two accurate electronic temperature controls,89.5 to 91.6% gross SAP 2009 annual efficiency,24L expansion vessel,Neon diagnostic indicators make diagnosing faults easier,2 year warranty,Extended warranty available when following Grant installation specification and guidelines,,,,,333899,,,,,,
7,P333918,Grant Vortex Pro External Combi 21 oil boiler 21kW,Grant,2677.0,"Designed to meet low-NOx regulations, the Grant Vortex Pro External Combi 21 external boiler is part of an award-winning range featuring Riello low-NOx technology. Incorporating Grant's patented heat exchangers with their large surface areas and low water content, this 21kW boiler has an ErP A rating for heating and B rating for hot water, improving efficiency in the home. Standing up to all weathers, the Vortex Pro External has a robust powder-coated casing and built-in frost protection for year-round reliability, even in challenging weather conditions.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Grant Vortex Pro External Combi 21 oil boiler 21kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Pro_External_wm.jpg,White/Gloss,"30 L/min @ 10°C, 15 L/min @ 20°C",Oil,Vortex Pro External Combi,2 Year,181 kg,A,N,90.81,B,,21 kW,754,90.81,Floor Standing,333918 PK,External Combi Boiler Pack,N,"High quality, external powder-coated casing","Factory-fitted multi-directional flue for faster, flexible installation",Patented Grant larger size heat exchanger for improved performance,Riello low-NOx burner,2 very accurate electronic temperature controls allow boiler to operate in condensing mode on central heating while producing instant hot water,Low system pressure cut off switch protects boiler in the unlikely event of system water loss,24L expansion vessel,Neon diagnostic indicators,Built-in frost protection,89.5 to 91.6% gross SAP2009 annual efficiency,"DHW flow rate 30LPM at 10°C, 15LPM at 20°C",2 year warranty,,,,,,,,
8,P333900,Grant Vortex Pro Internal Combi 26 oil boiler 26kW,Grant,2635.0,"Energy efficient, attractively designed, reliable and high performing, the Grant Vortex Pro Internal Combi 26 condensing boiler brings together thoughtful technology, high safety levels and an impressive ErP A rating for heating efficiency, helping to lessen your environmental impact and reduce fuel bills too. Featuring the trusted Riello RDB burner, this 26kW output combi is compliant with 2018's low NOx legislation while Grant's patented larger size heat exchangers increase performance and accurate dual temperature controls maintain instant hot water production while in central heating condensing mode, keeping the whole family comfortable.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Grant Vortex Pro Internal Combi 26 oil boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/om/bi/Grant_Vortex_Pro_Internal_Combi_wm.jpg,White/Gloss,"36.6 L/min @ 10°C, 18.3 L/min @ 20°C",Oil,Vortex Pro Internal Combi,2 years,177 kg,A,N,91.71,B,,26 kW,606,91.71,Floor Standing,333900 PK,Internal Combi Boiler,N,"Exceptionally quiet operation, ideal for kitchen or utility room installations",Unique Grant Vortex stainless steel heat exchanger increases hot water performance thanks to its low water content and larger surface area,Low system pressure cut off switch protects the boiler in the unlikely event of system water loss,Two accurate electronic temperature controls,89.5 to 91.6% gross SAP 2009 annual efficiency,24L expansion vessel,Neon diagnostic indicators make diagnosing faults easier,2 year warranty,Extended warranty available when following Grant installation specification and guidelines,,,,,333900,,,,,,
9,P333932,Worcester Bosch Heatslave II 2022+ 12/18 Greenstar heatslave II external 12/18 2022+,Worcester Bosch,2705.0,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 12/18 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/sub_categories/Oil Boilers/sub_categories/Oil Combi Boilers/Oil Combi Boilers.csv -> Worcester Bosch Heatslave II 2022+ 12/18 Greenstar heatslave II external 12/18 2022+,,"Boiler, low level balanced flue kit, installation manual, owners manual, guarantee card",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/52/115350_115352_wm.jpg,Green/Gloss,15 L/min,Oil,Heatslave II 2022+,2 years,180Kg,A,N,"90,A/90%",B,A,18 kW,770,89.0,Floor Standing,333932 PK,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,"Robust, durable external cabinet",Cabinet blends into garden,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,A-rated efficiency,IP45 protection from water and dust,2 year warranty,,,,,,,
