,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Refrigerant Suitability,Hazardous,Fin Spacing mm,Depth (mm),Surface Area,Air Throw,Fan Amps,Motor,Air Volume (m3 per s),Capacity at SC2 R404A,Inlet Size,Noise Level,Number of Fans,Outlet Size,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3
0,P656510,Kelvion KSC-302-4RE cooler electric defrost,Kelvion,1320.22,"The Kelvion KSC-302-4RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion KSC-302-4RE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/10/656510_wm.jpg,30Kg,HFC,N,4 mm,453,25.7,12,0.6,1600,0.75,5.21,15mm,49dB(A) @3m,2,28mm,230/1/50,100685073,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,12M air throw,,,
1,P675592,Kelvion TEC TEC5-5 cooler,Kelvion,602.15,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC5-5 1.89kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC5-5 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/95/NW-675590_675595_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
2,P675593,Kelvion TEC TEC5-7 cooler,Kelvion,602.15,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC5-7 2.04kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC5-7 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/95/NW-675590_675595_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
3,P656524,Kelvion KSC-303-6BE cooler electric defrost,Kelvion,2042.03,"The Kelvion KSC-303-6BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion KSC-303-6BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/24/656524_wm.jpg,53 kg,HFC,N,7 mm,453,34.3,16,0.6,1600,1.28,5.3,22 mm,51dB(A) @3m,3,35mm,230/1/50,100685117,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,16M air throw,,,
4,P656580,Kelvion cooler msc-401-5re elec defrost,Kelvion,1879.93,"The Kelvion MSC-401-5RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion cooler msc-401-5re elec defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/80/656580_wm.jpg,59 kg,HFC,N,4 mm,590,40.2,14,2.1,1535,1.09,8.46,22 mm,57dB(A) @3m,1,35mm,230/1/50,100778269,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1535 RPM motor,14M air throw,,,
5,P656520,Kelvion KSC-303-4BE cooler electric defrost,Kelvion,1834.88,"The Kelvion KSC-303-4BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion KSC-303-4BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/20/656520_wm.jpg,42 kg,HFC,N,7 mm,453,23,17,0.6,1600,1.38,9.59,15mm,51dB(A) @3m,3,28mm,230/1/50,100685112,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,17M air throw,,,
6,P656596,Kelvion MSC-402-6RE cooler electric defrost,Kelvion,3302.72,"The Kelvion MSC-402-6RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion MSC-402-6RE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/96/656596_wm.jpg,10.9 Kg,HFC,N,4 mm,590,96.3,19,2.1,1535,2.08,18.18,22 mm,60dB(A) @ 3m,2,42mm,230/1/50,100789017,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1535 RPM motor,19M air throw,,,
7,P656499,Kelvion cooler ksc-301-6rn no defrost,Kelvion,905.89,"The Kelvion KSC-301-6RN no-defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion cooler ksc-301-6rn no defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/99/656499_wm.jpg,22 kg,HFC,N,4 mm,453,19.1,8,0.6,1600,0.34,3,12mm,47dB(A) @ 3m,1,22mm,230/1/50,100685057,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,8M air throw,,,
8,P675589,Kelvion TEC TEC3-7 cooler,Kelvion,446.94,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC3-7 1.04kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Kelvion TEC TEC3-7 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/682968_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
9,P685170,Beermaster BMIEP BMIEP-448-37 1 fan evaporator,Beermaster,1122.68,"A flexible packaged cooling system, the robust Climate Center Beermaster BMIEP-448-37 evaporator is part of a range that has been manufactured to meet the demands of the modern cellar cooling industry. This extensive collection of efficient and easy to service condensing units and evaporators cater for cooling capacities between 3.4kW and 12.4kW or 10°C cellar temperature with 32°C ambient.",Refrigeration/Evaporators & Condensers/Evaporators/Evaporators.csv -> Beermaster BMIEP BMIEP-448-37 1 fan evaporator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/75/NW-685170_685175_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/37/685170_IM_Beermaster_BM+_IEP-448-37.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,
