,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Diameter,Range,Thickness,Warranty,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 4,Attachment 5,Attachment 6,Pipe Size,Feature 13,Length (M),Attachment 7,Attachment 8,Attachment 9,Attachment 10,Attachment 11
0,P190679,Center CB pipe insulation 22 x 9mm x 2mtr (Per Metre),Center CB,1.13,"This Center CB 9mm thickness insulation for 22mm pipes is a professional grade polyethylene-based closed-cell foam designed for use on heating and plumbing pipework. Highly efficient, this insulation protects against frost while significantly reducing energy waste to reduce a building's carbon footprint. Supplied in a 2M length, Center CB's insulation provides effective sound absorption, reducing irritating pipework pop and flow noises.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Center CB pipe insulation 22 x 9mm x 2mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/81/190677_190681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_Insulation_9mm_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P190720,Center CB pipe insulation 15 x 13mm 2mtr,Center CB,0.85,"This Center CB 13mm thickness insulation for 15mm pipes is a professional grade polyethylene-based closed-cell foam designed for use on heating and plumbing pipework. Highly efficient, this insulation protects against frost while significantly reducing energy waste to reduce a building's carbon footprint. Supplied in a 2M length, Center CB's insulation provides effective sound absorption, reducing irritating pipework pop and flow noises.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Center CB pipe insulation 15 x 13mm 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/24/190720_190724_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_PEPipeInsulation_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/CenterCB_PEPipeInsulatn_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/in/CenterCB_Insulatin_13mm_Installatin.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P190722,Center CB pipe insulation 22 x 13mm 2mtr,Center CB,1.17,"This Center CB 13mm thickness insulation for 22mm pipes is a professional grade polyethylene-based closed-cell foam designed for use on heating and plumbing pipework. Highly efficient, this insulation protects against frost while significantly reducing energy waste to reduce a building's carbon footprint. Supplied in a 2M length, Center CB's insulation provides effective sound absorption, reducing irritating pipework pop and flow noises.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Center CB pipe insulation 22 x 13mm 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/24/190720_190724_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_PEPipeInsulation_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/CenterCB_PEPipeInsulatn_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/in/CenterCB_Insulatin_13mm_Installatin.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P190677,Center CB pipe insulation 15 x 9mm x 2mtr,Center CB,0.86,"This Center CB 9mm thickness insulation for 15mm pipes is a professional grade polyethylene-based closed-cell foam designed for use on heating and plumbing pipework. Highly efficient, this insulation protects against frost while significantly reducing energy waste to reduce a building's carbon footprint. Supplied in a 2M length, Center CB's insulation provides effective sound absorption, reducing irritating pipework pop and flow noises.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Center CB pipe insulation 15 x 9mm x 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/81/190677_190681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_Insulation_9mm_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P190681,Center CB pipe insulation 28mm x 9mm 2mtr,Center CB,2.0,"This Center CB 9mm thickness insulation for 28mm pipes is a professional grade polyethylene-based closed-cell foam designed for use on heating and plumbing pipework. Highly efficient, this insulation protects against frost while significantly reducing energy waste to reduce a building's carbon footprint. Supplied in a 2M length, Center CB's insulation provides effective sound absorption, reducing irritating pipework pop and flow noises.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Center CB pipe insulation 28mm x 9mm 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/81/190677_190681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_Insulation_9mm_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P190724,Center CB pipe insulation 28 x 13mm 2mtr,Center CB,2.0,"This Center CB 13mm thickness insulation for 28mm pipes is a professional grade polyethylene-based closed-cell foam designed for use on heating and plumbing pipework. Highly efficient, this insulation protects against frost while significantly reducing energy waste to reduce a building's carbon footprint. Supplied in a 2M length, Center CB's insulation provides effective sound absorption, reducing irritating pipework pop and flow noises.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Center CB pipe insulation 28 x 13mm 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/24/190720_190724_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_PEPipeInsulation_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/CenterCB_PEPipeInsulatn_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/in/CenterCB_Insulatin_13mm_Installatin.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P621343,Armaflex Evo 13028 technical insulation 1-1/8in OD x 1/2in WT - 2mtr,Armaflex,4.14,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex Evo 13028 technical insulation 1-1/8in OD x 1/2in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,28 mm,Evo,28mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU13028000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,
7,P621344,Armaflex Evo 13035 EVO outdoor use 1-3/8” x ½” WALL (13035) 2m,Armaflex,4.48,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex Evo 13035 EVO outdoor use 1-3/8” x ½” WALL (13035) 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,35mm,Evo,3.5 mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU13035000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,
8,P621354,Armaflex Evo technical insulation 1-1/8in OD x 3/4in WT - 2mtr,Armaflex,7.63,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex Evo technical insulation 1-1/8in OD x 3/4in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,28 mm,Evo,28mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU19028000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,
9,P621353,Armaflex Evo technical insulation 7/8in OD x 3/4in WT - 2mtr,Armaflex,5.65,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Insulation/Pipe Insulation.csv -> Armaflex Evo technical insulation 7/8in OD x 3/4in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,22 mm,Evo,22mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU19022000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,
