,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Hazardous,Dimensions mm (H x W x D),Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Model For Use With,Boiler Section,Boiler Range,Warranty,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 2,Connection,Fuel Type,Thread Size,Feature 8,Pack Quantity
0,P419410,Satronic short photocell (Each),Satronic,15.6,"Used to monitor the presence of an oil flame, this Satronic MZ770S photocell is compatible with TF830, 832, 834 and 836 burner control units.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Satronic short photocell (Each),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/10/NW-419410_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_MZ770_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P412789,Ideal Spares burner kit 100kw,Ideal,453.22,An Ideal 100kW burner kit for Ideal 30 - 150 and LPG boilers. The burner produces heat in a combustible heating appliance. In natural gas appliances gas is transferred to a gas valve and into the burner for ignition. The heat created is used to heat the water in the master heat exchanger.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ideal Spares burner kit 100kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/89/NW-412789_wm.jpg,,Spares,N,33.7L X 29.6W X 2.7H,H98104,"100,60 LPG,80,80 LPG,60,30 LPG,40,150,30,120,40 LPG",176355,Burner Kit,N,Commercial,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,,
2,P412838,Ideal Heating Spares burner seal kit 60/80kW,Ideal Heating,55.14,This Ideal 60/80kW burner seal kit is compatible with a variety of Keston and Ideal commercial boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ideal Heating Spares burner seal kit 60/80kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/38/NW-412838_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P497066,Riello RDB control box,Riello,155.97,"This Riello control box is suitable for residential, commercial and industrial use and offers compatibility with a range of boilers.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Riello RDB control box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/66/NW-497066_wm.jpg,,,N,x  x,,"HEATSLAVE 25/32 EXT,CAMRAY 25/32 EXT,DANESMOOR HE 32/50 OOO GB U'LITY,HEATSLAVE HE 25/32 INT,CAMRAY 25/32 U'LITY,CAMRAY 25/32 U'LITY SYS,DANESMOOR HE 50/70 OOO GB U'LITY,CAMRAY 25/32 EXT SYS",87161092030,Control Box,N,ResidentialCommercialIndustrial,"Compatible with Camray 25/32 Ext, Danesmoor HE 32/50 OOO GB Utility and Danesmoor HE 50/70 OOO GB Utility","Compatible with Heatslave 25/32 Ext, Heatslave HE 25/32 Int and Camray 25/32 Ext Sys",Compatible with Camray 25/32 Utility and Camray 25/32 Utility Sys,,,,,,,,,,,,,,
4,P412788,Ideal Spares burner kit 60/80kw,Ideal,295.85,This Ideal 60/80kW burner kit is compatible with a variety of Keston and Ideal commercial boilers. The burner produces heat in a combustible heating appliance. In natural gas appliances gas is transferred to a gas valve and into the burner for ignition. The heat created is used to heat the water in the master heat exchanger.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ideal Spares burner kit 60/80kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/88/NW-412788_wm.jpg,,Spares,N,45.8L X 35.8W X 16.8H,H98103,,176354,Burner Kit,N,Commercial,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,,
5,P461056,Ideal Spares 150150 main burner bar,Ideal,75.79,This Ideal main burner bar is compatible with a variety of Ideal commercial boilers. The burner produces heat in a combustible heating appliance. In natural gas appliances gas is transferred to a gas valve and into the burner for ignition. The heat created is used to heat the water in the master heat exchanger.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ideal Spares 150150 main burner bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/56/NW-461056_wm.jpg,,Spares,N,10L X 12.6W X 63.8H,E58108,"CXC 70,CXA 50,CXA 70,CXAP 60/H,CXS 40,CXC 116,CXAP 60,CXA 110,CXAP 40/H,CXA 70/H,CXS 120/H,CXA 120/H,CXA 90/H,CXA 60,CXA 80,CXD 70,CXS 50/H,CXAP 90/H,CXAP 70/H,CXS 50,CXAP 70,CXA 100,CXAP 50,CXAP 50/H,CX,CXA 40,CX 90,CX 70,CXC 48,CXA 60/H,CX 50,CXA 110/H",150150,Main Burner Bar,N,Commercial,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,,
6,P456504,Worcester Bosch oil hose hnbr 900mm,Worcester Bosch,26.83,"This oil hose is a Worcester Bosch part designed for the burner section of Camray 5, Greenstar Oil and Camray 5 Utility boilers.  The burner produces heat in a combustible heating appliance. In natural gas appliances gas is transferred to a gas valve and into the burner for ignition. The heat created is used to heat the water in the master heat exchanger.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Worcester Bosch oil hose hnbr 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/04/456504_wm.jpg,,,N,,,"95/130 SYS,40/65,12/18 OOO GB OIL,65/90A U'LITY,CAMRAY 12/18 EXT,DANESMOOR HE 18/25 OOO,COMBI 90 EXTERNAL,COMBI 90,CAMRAY 18/25 U'LITY,CAMRAY 18/25 EXT,CAMRAY 12/18 EXT SYS,40/65 U'LITY SYS,CAMRAY 18/25 ROO GB,COMBI 55,95/130 U'LITY SYS,DA,65/90A KITCHEN",87161153120,flexible hose,N,,,,,"40/65 EXTERNAL, 65/90 U'LITY SYS, 95/130, CAMRAY 18/25 EXT SYS, CAMRAY 18/25 U'LITY SYS, 40/65, 95/130 SYS, COMBI 55, COMBI 90 EXTERNAL, CAMRAY 12/18 EXT, CAMRAY 18/25 EXT, DANESMOOR HE 18/25 OOO, HEATSLAVE 12/18 EXT, 40/65 U'LITY SYS, 65/90A U'LITY, CAM",Hydraulics,"Camray 5, Greenstar Oil, Camray 5 Utility",,,,,,,,,,,
7,P446993,Anglo Nordic adaptor 1/4'' x 1/4'',Anglo Nordic,1.67,"Intended for use with braided oil safety lines, this Anglo Nordic oil line adapter has 1/4"" x 1/4"" connections and is supplied with a copper ring.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Anglo Nordic adaptor 1/4'' x 1/4'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/93/NW-446993_wm.jpg,,,N,x  x,,,9400004-W,Adaptor,N,,Designed for braided oil safety lines,"1/4"" x 1/4"" connections and copper ring",,,,,,,,,,,,,,,
8,P480874,Broag gas service kit (210),Broag,178.67,This Broag S100198 gas service kit is suitable for Remeha (Baxi) commercial boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Broag gas service kit (210),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/74/NW-480874_wm.jpg,,,N,x  x,,"Gas 210 Eco Pro 80kW,Gas 210 Eco Pro 200kW,Gas 210 Eco Pro 120kW,Gas 210 Eco Pro 160kW,210 Pro",S100637,Gas Service Kit,N,,Easy to Replace,High Quality,,,,,1 year,,,,,,,,,,
9,P412813,Ideal Heating Spares burner seal kit 100/120kw,Ideal Heating,54.98,This Ideal 100/120kW burner seal kit offers compatibility with Ideal 30 - 150 and LPG boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ideal Heating Spares burner seal kit 100/120kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/13/NW-412813_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
