,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Range,Weight,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Pack Quantity,Bio Fuels,Oil Supply Pipe Connection,Temperature Rating,Nominal Fuel Flow Rate Diesel,Nominal Fuel Flow Rate Kerosine,Manual Reset,Body Material,Manual,Standards,Feature 3,Feature 4,Feature 5,Dimensions mm (H x W x D),Connection Type,Diameter,Protection Time,Drainage Product Type,Resistance Features,Application
0,P421765,JET Range FVC thermostatic fire valve 95C 10mm 10mtr,JET Range,88.93,Jet FVC Fuelstop safety fire valve designed to shut down the flow of fuel to the appliance in the event of the burner overheating or a fire near the appliance. The valve is to be installed in the oil line at point of entry to the building. The sensor to be passed though the wall into the building and positioned above the burner in accordance with the burner manufacturer's instructions. The oil line and capillary should be sleeved as it passes through walls and there should not be any sharp bends made in the capillary tube. The safety valve is of a robust mechanical design manufactured of non-corrosive materials for external installation. Please ensure that the valve is installed with the reset button pointing down so that rain water cannot enter the valve body. The reset button can be used as an isolation valve when the burner is being serviced by pulling the button down but must be pressed up to activate the valve into the open position before the burner is fired up. The capillary tube and sensor are intrins,"Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> JET Range FVC thermostatic fire valve 95C 10mm 10mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/al/ve/Fire_Valve_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_TFV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet Valve Guide 2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P421766,JET Range FVC thermostatic fire valve 95C 10mm 12mtr,JET Range,92.43,Jet FVC Fuelstop safety fire valve designed to shut down the flow of fuel to the appliance in the event of the burner overheating or a fire near the appliance. The valve is to be installed in the oil line at point of entry to the building. The sensor to be passed though the wall into the building and positioned above the burner in accordance with the burner manufacturer's instructions. The oil line and capillary should be sleeved as it passes through walls and there should not be any sharp bends made in the capillary tube. The safety valve is of a robust mechanical design manufactured of non-corrosive materials for external installation. Please ensure that the valve is installed with the reset button pointing down so that rain water cannot enter the valve body. The reset button can be used as an isolation valve when the burner is being serviced by pulling the button down but must be pressed up to activate the valve into the open position before the burner is fired up. The capillary tube and sensor are intrins,"Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> JET Range FVC thermostatic fire valve 95C 10mm 12mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/al/ve/Fire_Valve_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_TFV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet Valve Guide 2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P469287,Teddington KBB/C/90 fire valve 3mtr,Teddington,50.31,"The Teddington KBB/C/90 fire valve is a compact, quick-acting, thermally operated fire safety shut-off valve for use in oil burning equipment. Made of corrosion-resistant, non-combustible materials and entirely mechanical in operation, requiring no power supply, this valve has a non-detachable sensor connected by a capillary and a reset button at the base of the valve head designed to reset the valve or toggle to shut-off condition if pulled. The KBB has a spring-loaded trip mechanism and sealed temperature sensing system made up of bellows, a capillary tube and a sensor phial. Installed in the oil supply pipeline outside a building with the sensor mounted firmly inside the appliance above the burner, the valve simply snaps closed if the temperature at the sensor phial exceeds the set value.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> Teddington KBB/C/90 fire valve 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/92/NW-469287_469292_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Teddington_KBB_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PP93298,TC22 SS LOCKABLE TAP COVER BOX,Edwards Engineering,80.0,"Durable and neat, this Edwards Engineering 304 stainless steel tap cover measures is designed for wall mounting over an existing outlet tap. It offers the option to lock the unit using a standard padlock, securing the existing water supply.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> TC22 SS LOCKABLE TAP COVER BOX",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/98/NW-P93298_wm.jpg,,,Stainless Steel,Tap Cover Box,1.00000,N,304 Stainless Steel,150 (W) mm x 155 (D) mm x 170 (H) mm,TC22,Tap Cover Box,N,Brushed stainless steel cover,Durable design,,,,,,,,,,,,,,,,,,,,
4,P469288,Teddington KBB/C/90 fire valve 6mtr,Teddington,55.75,"The Teddington KBB/C/90 fire valve is a compact, quick-acting, thermally operated fire safety shut-off valve for use in oil burning equipment. Made of corrosion-resistant, non-combustible materials and entirely mechanical in operation, requiring no power supply, this valve has a non-detachable sensor connected by a capillary and a reset button at the base of the valve head designed to reset the valve or toggle to shut-off condition if pulled. The KBB has a spring-loaded trip mechanism and sealed temperature sensing system made up of bellows, a capillary tube and a sensor phial. Installed in the oil supply pipeline outside a building with the sensor mounted firmly inside the appliance above the burner, the valve simply snaps closed if the temperature at the sensor phial exceeds the set value.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> Teddington KBB/C/90 fire valve 6mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/92/NW-469287_469292_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Teddington_KBB_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P500483,TESLA SAFFIRE REM FIRE VAL 1/4IN90C 9M,Tesla,46.66,"A capillary-type fire valve, the Tesla UK Saffire KFV9090 1/4"" 90C 9M remote fire valve shuts off an oil supply line should a fire occur. Like all Saffire fire valve models, this brass fitting is compatible with suction and gravity fuel systems at 0.8bar (-12psi) vacuum and 2 bar (30 psi) positive.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> TESLA SAFFIRE REM FIRE VAL 1/4IN90C 9M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/58/597558_wm.jpg,,,,Saffire,,N,,,KFV9090,Safety Valve,N,OFTEC approved,Suitable for Bio fuels,1,Yes,1/4 BSP Female,90°,50 litres/hour at 1 meter head,56 litres/hour at 1 meter head,Yes,Brass,Yes,OFTEC OFS E101:2015,Manual on/off for periodic maintenance,"1/4"" BSP threads",Conforms to BS 5410 Part 1,,,,,,,
6,P500480,TESLA SAFFIRE REM FIRE VAL 1/4IN90C 2M,Tesla,35.31,"A capillary-type fire valve, the Tesla UK Saffire KFV9020 1/4"" 90C 2M remote fire valve shuts off an oil supply line should a fire occur. Like all Saffire fire valve models, this brass fitting is compatible with suction and gravity fuel systems at 0.8bar (-12psi) vacuum and 2 bar (30 psi) positive.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> TESLA SAFFIRE REM FIRE VAL 1/4IN90C 2M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/55/597555_wm.jpg,,,,Saffire,,N,,,KFV9020,Safety Valve,N,OFTEC approved,Suitable for Bio fuels,1,Yes,1/4 BSP Female,90°,50 litres/hour at 1 meter head,56 litres/hour at 1 meter head,Yes,Brass,Yes,OFTEC OFS E101:2015,Manual on/off for periodic maintenance,"1/4"" BSP threads",Conforms to BS 5410 Part 8,,,,,,,
7,P500477,TESLA SAFFIRE REM FIRE VAL 1/4IN65C 6M,Tesla,41.96,"A capillary-type fire valve, the Tesla UK Saffire KFV6560 1/4"" 65C 6M remote fire valve shuts off an oil supply line should a fire occur. Like all Saffire fire valve models, this brass fitting is compatible with suction and gravity fuel systems at 0.8bar (-12psi) vacuum and 2 bar (30 psi) positive.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> TESLA SAFFIRE REM FIRE VAL 1/4IN65C 6M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/53/597553_wm.jpg,,,,Saffire,,N,,,KFV6560,Safety Valve,N,OFTEC approved,Suitable for Bio fuels,1,Yes,1/4 BSP Female,65°,50 litres/hour at 1 meter head,56 litres/hour at 1 meter head,Yes,Brass,Yes,OFTEC OFS E101:2015,Manual on/off for periodic maintenance,"1/4"" BSP threads",Conforms to BS 5410 Part 7,,,,,,,
8,P500476,TESLA SAFFIRE REM FIRE VAL 1/4IN65C 3M,Tesla,36.61,"A capillary-type fire valve, the Tesla UK Saffire KFV6530 1/4"" 65C 3M remote fire valve shuts off an oil supply line should a fire occur. Like all Saffire fire valve models, this brass fitting is compatible with suction and gravity fuel systems at 0.8bar (-12psi) vacuum and 2 bar (30 psi) positive.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> TESLA SAFFIRE REM FIRE VAL 1/4IN65C 3M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/52/597552_wm.jpg,,,,Saffire,,N,,,KFV6530,Safety Valve,N,OFTEC approved,Suitable for Bio fuels,1,Yes,1/4 BSP Female,65°,50 litres/hour at 1 meter head,56 litres/hour at 1 meter head,Yes,Brass,Yes,OFTEC OFS E101:2015,Manual on/off for periodic maintenance,"1/4"" BSP threads",Conforms to BS 5410 Part 3,,,,,,,
9,P421685,"JET Range FVC thermostatic fire valve 72C 10mm x 1.5""",JET Range,64.73,"This JET Range FVC thermoplastic fire valve is suitable for use with Class C and D fuels including heating oil, kerosene and gas oil or diesel. It offers automatic shut-off in case of overheating issues in a fuel burning appliance and fail safe shut-off in case of capillary or sensor failure.","Pipe, Valves and Fittings/Metal Pipe Valves/Fire Equipment Accessories/Fire Equipment Accessories.csv -> JET Range FVC thermostatic fire valve 72C 10mm x 1.5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/90/NW-421685_421690_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_TFV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
