,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Diameter,Material Type,Range,Warranty,Hazardous,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Weight,Attachment 3,Attachment 4,Attachment 5,Connection Type
0,P170857,Center Vent WOLBIND22F copper cylinder g3 l1b 900x450,Center,223.48,"The Center Copper Cylinders are designed, manufactured and tested to the British Standard BS 1566-1. The double feed, indirectly heated cylinders are suitable for pumped primary circuits and a maximum working head of 10 meters. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center Vent WOLBIND22F copper cylinder g3 l1b 900x450,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/60/NW-170856_170860_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_VentedFoam_Cylinder_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P172148,Center CYL L1B vented foam cylinder 900 x 450mm Stainless Steel,Center,209.04,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a shower take-off/secondary return on all models as standard. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center CYL L1B vented foam cylinder 900 x 450mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/48/172148_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172148_Center_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172148_Center_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P172152,Center CYL L1B direct vented foam cylinder 900 x 450mm Stainless Steel,Center,193.11,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a shower take-off/secondary return on all models as standard. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center CYL L1B direct vented foam cylinder 900 x 450mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/52/172152_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172152_Center_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172152_Center_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P170859,Center Vent WOLBIND23F copper cylinder g3 l1b 1050x45,Center,301.46,"The Center Copper Cylinders are designed, manufactured and tested to the British Standard BS 1566-1. The double feed, indirectly heated cylinders are suitable for pumped primary circuits and a maximum working head of 10 meters. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center Vent WOLBIND23F copper cylinder g3 l1b 1050x45,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/60/NW-170856_170860_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_VentedFoam_Cylinder_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P172151,Center CYL L1B vented foam cylinder 1200 x 450mm Stainless Steel,Center,273.68,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a shower take-off/secondary return on all models as standard. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center CYL L1B vented foam cylinder 1200 x 450mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/51/172151_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172151_Center_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172151_Center_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P172149,Center CYL L1B vented foam cylinder 1050 x 400mm Stainless Steel,Center,206.35,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a shower take-off/secondary return on all models as standard. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center CYL L1B vented foam cylinder 1050 x 400mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/49/172149_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172149_Center_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172149_Center_TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P172150,Center CYL L1B vented foam cylinder 1050 x 450mm Stainless Steel,Center,225.21,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a shower take-off/secondary return on all models as standard. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center CYL L1B vented foam cylinder 1050 x 450mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/50/172150_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172150_Center_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172150_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P172147,Center CYL L1B vented foam cylinder 900 x 400mm Stainless Steel,Center,198.27,"The Center Stainless Steel cylinders are designed, manufactured and tested to the HWA (Hot Water Association) specification. They feature a shower take-off/secondary return on all models as standard. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center CYL L1B vented foam cylinder 900 x 400mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/47/172147_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/172147_Center_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/172147_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P170858,Center Vent WOLBIND16F copper cylinder g3 l1b 1050x40,Center,272.76,"The Center Copper Cylinders are designed, manufactured and tested to the British Standard BS 1566-1. The double feed, indirectly heated cylinders are suitable for pumped primary circuits and a maximum working head of 10 meters. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center Vent WOLBIND16F copper cylinder g3 l1b 1050x40,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/60/NW-170856_170860_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_VentedFoam_Cylinder_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P170856,Center Vent WOLBIND15F copper cylinder g3 l1b 900x400,Center,258.04,"The Center Copper Cylinders are designed, manufactured and tested to the British Standard BS 1566-1. The double feed, indirectly heated cylinders are suitable for pumped primary circuits and a maximum working head of 10 meters. HCFC-free foam provides insulation for low standing heat loss. The cylinder is ready to fit with an electric immersion heater (not included).",Water Heating and Storage/Hot Water Cylinders/Vented Hot Water Cylinders/Vented Hot Water Cylinders.csv -> Center Vent WOLBIND15F copper cylinder g3 l1b 900x400,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/60/NW-170856_170860_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_VentedFoam_Cylinder_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
