,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Connection Type,Range,Weight,Container Type,Quantity,Application
0,PF16200,Center CB Weld Cement 102400 tin solvent cement 250ml (1),Center CB,6.25,"Suitable for a wide range of applications, this Center CB solvent cement forms a welded joint in plastic pipes.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Center CB Weld Cement 102400 tin solvent cement 250ml (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/00/NW-F16200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/F16200_Safety Data Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/CENTER_BRAND_F16200_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P459206,Regin high temperature silicone sealant 310ml Clear,Regin,13.49,A Regin high temperature clear silicone sealant.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Regin high temperature silicone sealant 310ml Clear",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/06/NW-459206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/459206_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PT16716,Loctite 55 threaded pipe sealing cord 160m White,Loctite,12.49,"Suitable for sealing metal and plastic pipes and fittings, this Loctite 55 thread sealing cord offers immediate full pressure sealing and allows for re-adjustments. Loctite 55 needs no cure time for an immediate seal.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Loctite 55 threaded pipe sealing cord 160m White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/16/T16716_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Loctite_55_48x160m_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ro/hs/Loctite_55_48x160m_RoHS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Loctite_55_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PS87228,WD-40 smart straw multi purpose penetrant spray 450ml,WD-40,6.57,"A classic multi-purpose product, WD-40 Multi-Use Smart Straw spray does it all, from stopping that hinge's irritating squeak to loosening jammed components and lubricating gears, chains and mechanisms. Smart Straw technology makes reaching hard to get into spots simpler than ever, directing the WD-40 liquid straight into tight spaces for targeted lubrication exactly where it's required. If wider coverage is needed Spray2Ways technology means all you need do is flip the Smart Straw down to rest against the can and press to dispense WD-40 via the can's standard nozzle.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> WD-40 smart straw multi purpose penetrant spray 450ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/28/S87228_wm.jpg,,,,Light Brown,450 ml,N,Single,Liquid,44137/156,Penetrant Spray,N,450ml can,Smart Straw technology for easy use,Spray2Ways technology for flexibility,Multi-purpose use,For squeaking hinges,Loosens rusted parts,Loosens stuck parts,Displaces moisture for protection,,,,,,,,,,
4,P798007,Regin silicone grease 50g,Regin,7.78,"Tasteless, odourless and water-repellent, this Regin non-melting silicone grease is suitable for electrical insulation and lubrication of boiler parts in contact with potable water.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Regin silicone grease 50g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/07/NW-798007_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/798007_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P497664,Rocol gas seal non-setting sealant,Rocol,18.99,"A non-setting, off-white compound, Rocol GasSeal is a pipe sealant for metallic threaded joints. Suitable for Liquefied Petroleum Gases (LPG), natural gas, air and water, GasSeal can be pressure tested immediately after a joint has been made and is ideal for registered gas installers working in domestic premises.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Rocol gas seal non-setting sealant",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/64/NW-497664_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/ROCOL_GASSEAL_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/ROCOL_GASSEAL_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ROCOL_Gas_and_Plumbing_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PF15215,Center CB silicone lubricant spray 400ml,Center CB,4.94,This Center CB all purpose silicone spray is a dry silicone lubricant and mould release agent designed to ease friction between two surfaces.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Center CB silicone lubricant spray 400ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/15/F15215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_F15215_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_F15215_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PF15220,Center CB Silicone Lubricant PHCB041 Silicone Lubricant 500Grm (1),Center CB,21.5,This water-repellent Center CB silicone lubricant grease is suitable for use in hot and cold water systems up to 65°C.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Center CB Silicone Lubricant PHCB041 Silicone Lubricant 500Grm (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/20/NW-F15220_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_F15220_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_F15220_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PF16212,Center CB tin solvent cement 125ml,Center CB,5.49,"Suitable for a wide range of applications, this Center CB solvent cement forms a welded joint in plastic pipes.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Center CB tin solvent cement 125ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/12/NW-F16212_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Center_CB_Solvent_Cement_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT16529,Loctite 55 483283 pipe seal 50m (1),Loctite,6.27,"Suitable for sealing metal and plastic pipes and fittings, this Loctite 55 thread sealing cord offers immediate full pressure sealing and allows for re-adjustments. Loctite 55 needs no cure time for an immediate seal.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Loctite 55 483283 pipe seal 50m (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/29/T16529_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Loctite_55_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ro/hs/Loctite_55_RoHS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Loctite_55_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
