,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Fuel Type,Range,Hazardous,Seasonal Space Heating Energy Efficiency %,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 6,Boiler Bundles,Flow Rate,Warranty,Weight,Energy Rating,Water Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Feature 15,Feature 16,Feature 17,Feature 18,Max Vertical Level Flue Length (metres),Boiler Section,Boiler Range,Rated Heat Output (Prated or Psup),Seasonal Space Heating Energy Efficiency Class,Max High Level Flue Length (metres),Preset Pressure Relief Valve (Bar),Dry Weight (kg),Feature 19,Feature 20,Attachment 7,Attachment 8
0,P333179,Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler only 25kW pack,Worcester Bosch,977.0,"The wall-mounted Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler pack offers an attractive design, improved installation and excellent performance. ErP A-rated for energy efficiency and water heating efficiency, this 25kW condensing combi boiler includes an intuitive display panel for ease of use.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler only 25kW pack,,Wall mounted gas-fired condensing combi appliance;Wall mounting frame;Bottom panel;Siphon;PRV installer connection elbow;Hardware ;literature pack;Installation ;maintenance instructions;User instructions;Wall mounting template;Fittings pack;Condensate si,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/85/333179_333185_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/GR4700iW_25_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P333187,Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler and flue 30kW,Worcester Bosch,1183.0,"Offering ErP A-rated heating and hot water delivery, the Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler pack provides homeowners with economy, comfort and efficiency. Easy to install, this well-designed 30kW condensing combi boiler is supplied with a flue for quick fitting in one easy job. The Greenstar 4000 is designed with a simple, clear display panel for ease of use and fast troubleshooting.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler and flue 30kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/2_/pk/333186_333192_PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_30_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P333715,Ideal Logic Max Combi 2 C30 boiler and horizontal flue pack,Ideal,1140.0,"Provided with a horizontal flue, the Ideal Logic Max Combi C30 boiler offers easy installation through its compact, cupboard-fit design and its reduced lift weight. Offering all the finest features of the award-winning Logic+, this 30kW domestic combi boiler also offers an easy to read digital display and a service countdown timer. Robustly designed to minimise maintenance, the Logic Max has an ErP A rating for its efficient operation, which can be improved by intelligent use of compatible controls.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Ideal Logic Max Combi 2 C30 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/_a/333715_A_wm.jpg,,,,,,White/Gloss,Natural Gas,Logic Max Combi2,N,A,333715 PK,Condensing Combi Boiler and Horizontal Flue Pack,N,Includes boiler and horizontal flue,Compact cupboard fit,Hardwearing and scratch-resistant,"Easy installation, commissioning and service",Full sequence automatic ignition,Fan-assisted combustion,Easy to reach pressure gauge on front panel,Large digital display,Service timer with telephone number display/service display,Compatible with Ideal controls,DHW flow rate 12.4LPM at 35°C,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P333562,Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler with flue and system filter 30kW,Worcester Bosch,1308.0,"Offering ErP A-rated heating and hot water delivery, the Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler pack provides homeowners with economy, comfort and efficiency. Easy to install, this well-designed 30kW condensing combi boiler is supplied with a flue as well as a system filter for clean and reliable operation. The Greenstar 4000 is designed with a simple, clear display panel for ease of use and fast troubleshooting.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler with flue and system filter 30kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/pk/333562_333563_PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_WM_Gas_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_30_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P333349,Baxi Platinum+ Combi 40 combi boiler and flue pack 40kW,Baxi,1566.0,"Built here in the UK, the Baxi Platinum+ Combi 40 condensing boiler has a smart design that makes it easy to install, service and maintain while also ensuring powerfully reliable performance for both heating and hot water. ErP A-rated for high levels of waste-saving efficiency, this 40kW boiler is provided with an EasyFill filling link for engineer-free system top-up. A compatible flue is also included for simple all-in-one installation.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Baxi Platinum+ Combi 40 combi boiler and flue pack 40kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/pk/333349 PK_wm.jpg,,,,,,,Natural Gas,Platinum+ Combi,N,,333349 PK,Condensing Combi Boiler Pack,N,Includes boiler and flue,Built in the UK using quality brass components,Easy to install,Front access to all components for easier maintenance and service,Compatible with Multifit flue kits,Includes Adey Micro2 Magnetic System filter,Optional built-in mechanical 24 hour timer,Easy-Fill permanent filling link,Built-in frost thermostat,OpenTherm interface,Compatible with Baxi uSense,"DHW flow rate 19.1LPM at 30°C, 16.4LPM at 35°C",10 year warranty,,,"333348, 333349",,,,,,,,,,,,,,,,,,,,,,,,,
5,P111336,Worcester 1000 24 kW boiler with free Center RF theromstat,Worcester,653.0,TBC,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester 1000 24 kW boiler with free Center RF theromstat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/36/111336_wm.jpg,,,,,,,,,N,,111336 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P333648,Worcester Bosch Greenstar CDi Compact 28CDi NG combi boiler and horizontal flue pack,Worcester Bosch,1096.0,"Designed to supply reliable heating and hot water to properties with up to three bedrooms and two bathrooms, the Worcester Bosch Greenstar 28CDi NG Compact condensing combi boiler is supplied with a horizontal flue and pre-plumbed mounting jig for ease of installation in a kitchen cupboard. Providing an easy to understand commissioning and diagnostic display, this 28kW combi boiler provides both user and engineer with all the information they need for operation and maintenance, minimising the risk of errors and downtime. The Greenstar Compact is ErP A-rated for excellent levels of efficiency, however if installed with the Bosch EasyControl smart thermostat that rating is boosted to an A+.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar CDi Compact 28CDi NG combi boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/pk/333648_50 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Worcester_CDi Compact_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P333093,Vaillant ecoFIT pure 830 combi boiler with horizontal flue and boiler protection kit,Vaillant,1169.0,"Supplied with a horizontal flue and boiler protection kit, the Vaillant ecoFIT pure 830 combination boiler is quick and easy to install thanks to its lighter weight and compact cupboard fit size. Built using premium quality components and offering reduced energy consumption, this reliable 30kW combi has earned an ErP A rating for efficiency, while its almost silent operation has seen it awarded the Noise Abatement Society's Quiet Mark.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Vaillant ecoFIT pure 830 combi boiler with horizontal flue and boiler protection kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/pk/333091_93 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_ecoFIT_pure_825_835_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Vaillant_ecoFIT_pure_Oper_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoFIT_pure_825_835_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P333483,Baxi 830 7814306 combi 2 boiler only pack,Baxi,1049.99,"Lightweight and compact, the Baxi 830 Combi 2 boiler offers easy installation and reliable operation thanks to its robustly built brass hydraulic block, pre-heated condensate trap and stainless steel heat exchanger. Suitable for use with natural gas or LPG, this 30kW boiler is highly efficient, earning it an ErP A rating for both heating and hot water. An Adey Micro 2 magnetic system filter is included in this boiler pack, helping to reduce potential damage and maintain efficiency through the effective removal of potentially damaging debris.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Baxi 830 7814306 combi 2 boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/23/151023_wm.jpg,,,,,,,Natural Gas / LPG,830,N,,333483 PK,Boiler - Combi,N,Lightweight design for ease of fitting,Compact cupboard fit,With stainless steel heat exchanger,Tough brass hydraulic block,With Easy-Fill permanent filling link,Pre-heated siphonic condensate trap reduces risk of freezing,Combined PrV with seperate drain for easy maintenance,Includes Adey Micro 2 magnetic system filter,Certified Opentherm,Suitable for natural gas or LPG,10 year parts and labour warranty,,,,,,15.0 lpm,10 Years Parts and Labour,32.3 kg,A,A,36 kW,285,94,hanging bracket,,,,,,,,,,,,,,,,
9,P333486,Baxi 630 7796587 combi 2 boiler only pack,Baxi,799.99,"Lightweight and compact, the Baxi 630 Combi 2 boiler offers easy installation and reliable operation thanks to its robustly built brass hydraulic block, pre-heated condensate trap and stainless steel heat exchanger. Suitable for use with natural gas or LPG, this 30kW boiler is highly efficient, earning it an ErP A rating for both heating and hot water.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Baxi 630 7796587 combi 2 boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/84/114284_wm.jpg,,,,,,,Natural Gas / LPG,630,N,,333486 PK,Boiler - Combi,N,Lightweight design for ease of fitting,Compact cupboard fit,With stainless steel heat exchanger,Tough brass hydraulic block,With Easy-Fill permanent filling link,Pre-heated siphonic condensate trap reduces risk of freezing,Combined PrV with seperate drain for easy maintenance,Removeable easy-access wiring blocks,Certified Opentherm,Compatible with natural gas or LPG,ErP A rating,7 year parts and labour warranty,,,,,12.2 lpm,7 Years Parts and Labour,31.8kg,A,A,30 kW,285,94,hanging bracket,,,,,,,,,,,,,,,,
