,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3
0,PB96674,Saniflo Sanitop Up macerator pump for WC and basin,Saniflo,419.99,"The effective Saniflo Sanitop UP macerator pump is the follow-up to the original Saniflo UP, allowing the connection of a WC and handwash basin to a single macerator pump. Ideal for cloakrooms, this compact macerator fits unobtrusively behind a toilet and provides top access for hassle-free, easy-reach maintenance.",Bathrooms and Kitchens/Toilets/Macerators and Macerator Pumps/Macerators and Macerator Pumps.csv -> Saniflo Sanitop Up macerator pump for WC and basin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/74/NW-B96674_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B96674_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sanibroyeur_Pro_Installation.pdf
1,PB98224,Grundfos Sololift2 macerator,Grundfos,415.78,"An ultra-compact solution for grey waste water, the Grundfos Sololift2 C-3 macerator pump is an automatic lifting station suitable for use in homes where gravity drainage isn't available. Small in size and easy to service, the Sololift2 is an ideal choice where space is at a premium.",Bathrooms and Kitchens/Toilets/Macerators and Macerator Pumps/Macerators and Macerator Pumps.csv -> Grundfos Sololift2 macerator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/24/B98224_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B98224_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_Sololift2_C_3_Install.pdf,
2,PB98509,Saniflo Sanibest Pro pro small bore sanitary system,Saniflo,587.5,"Ideal for heavy duty use, the Saniflo Sanibest Pro macerator pump is designed for public or commercial environments, handling connection to a toilet, basin, bidet and shower for effective waste removal from a busy bathroom. Fitted with an activated carbon filter and able to deal with high temperatures over short periods, the Sanibest Pro offers effective, odour-free performance.",Bathrooms and Kitchens/Toilets/Macerators and Macerator Pumps/Macerators and Macerator Pumps.csv -> Saniflo Sanibest Pro pro small bore sanitary system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/09/NW-B98509_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sani_Best_Pro_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B98509_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf
3,PB96681,Saniflo Sanispeed+ sanispeed and macerator pump with four inlets,Saniflo,482.51,"Suitable for light commercial or domestic applications, the Saniflo Sanispeed+ macerator pump includes four inlets for the connection of a range of basins and appliances including washing machines and dishwashers or toilets and showers. Compact and quiet, the Sanispeed+ fits unobtrusively into a cupboard or under a countertop for convenient, out-of-sight use.",Bathrooms and Kitchens/Toilets/Macerators and Macerator Pumps/Macerators and Macerator Pumps.csv -> Saniflo Sanispeed+ sanispeed and macerator pump with four inlets,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/81/NW-B96681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B96681_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sani_Speed_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf
4,PB96675,"Saniflo Saniplus Up macerator pump for WC, basin, bidet and shower",Saniflo,528.5,"Ideal for your add-on en-suite bathroom, the Saniflo Saniplus UP macerator pump includes four inlets and a large tank capacity for effortless removal of waste from your toilet, basin, bidet and even from a high output power shower. With easy access for maintenance via a removable lid and easy installation when replacing existing Saniflo products, the Saniplus Up is a convenient choice for retrofit or new installation.","Bathrooms and Kitchens/Toilets/Macerators and Macerator Pumps/Macerators and Macerator Pumps.csv -> Saniflo Saniplus Up macerator pump for WC, basin, bidet and shower",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/75/NW-B96675_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B96675_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sani_Plus_Installation.pdf
5,PB96673,Saniflo Saniflo Up macerator pump for WC,Saniflo,378.48,"The original Saniflo Up macerator pump unit is supplied complete with non-return valve and activated carbon filter to combat nasty odours. An ideal installation for a single toilet, the Up provides easy access for maintenance and simple installation, particularly when replacing an existing Saniflo product.",Bathrooms and Kitchens/Toilets/Macerators and Macerator Pumps/Macerators and Macerator Pumps.csv -> Saniflo Saniflo Up macerator pump for WC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/73/NW-B96673_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B96673_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sanibroyeur_Installation.pdf
6,PB96680,Saniflo Sanishower+ water pump for shower and basin,Saniflo,356.29,"Ideal for the installation of basement bathrooms where gravity drainage isn't available, the Saniflo Sanishower+ macerator pump can be fitted either next to or underneath a shower tray while maintaining access for maintenance. Powerful enough to provide waste disposal for a standard electric or gravity mixer shower, the Sanishower+ includes an additional inlet for the addition of a wash basin.",Bathrooms and Kitchens/Toilets/Macerators and Macerator Pumps/Macerators and Macerator Pumps.csv -> Saniflo Sanishower+ water pump for shower and basin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/80/NW-B96680_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B96680_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sani_Shower_Installation.pdf
7,PB96677,"Saniflo Sani Pro XR Up macerator pump for WC wash basin, bath and shower",Saniflo,571.76,"The easy-install Saniflo Sani Pro XR Up macerator pump unit is a useful addition to an en-suite bathroom, removing waste from your toilet, power shower, bidet and basin while neutralising odours with an inbuilt activated carbon filter. Compact in size and with a removable lid for hassle-free maintenance, the XR Up is ideal for retrofitting with no change in pipework required during installation.","Bathrooms and Kitchens/Toilets/Macerators and Macerator Pumps/Macerators and Macerator Pumps.csv -> Saniflo Sani Pro XR Up macerator pump for WC wash basin, bath and shower",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/77/NW-B96677_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sani_Pro_XR_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B96677_Technical.pdf
8,PB98510,Saniflo SaniSlim sanitary system,Saniflo,580.3,"A slimline unit designed for easy concealed installation, the Saniflo SaniSlim macerator pump is ideal for concealment in kitchen or utility room units or for unobtrusive fitting behind slimline WCs. This powerful pump has four inlets for connection to domestic sinks or appliances and incorporates a carbon air filter to combat odours.",Bathrooms and Kitchens/Toilets/Macerators and Macerator Pumps/Macerators and Macerator Pumps.csv -> Saniflo SaniSlim sanitary system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/10/NW-B98510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B98510_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sani_Vite_Pump2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf
9,PB98526,Saniflo SaniCom 1 heavy duty commercial pump system,Saniflo,766.23,"The powerful Saniflo SaniCom 1 macerator pump is ideal for use in public or commercial environments like catering kitchens. A powerful lifting station, the SaniCom 1 incorporates two inlets and can handle high temperatures over shorter periods, making it suitable for washing machines or dishwashers.",Bathrooms and Kitchens/Toilets/Macerators and Macerator Pumps/Macerators and Macerator Pumps.csv -> Saniflo SaniCom 1 heavy duty commercial pump system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/26/B98526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sanicom_130_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B98526_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf
