,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Style,Warranty,Hazardous,Depth (mm),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
0,PC22284,Nabis Vision plinth 1300mm White Gloss,Nabis,36.46,"This Nabis Vision 1300 x 175mm plinth is finished in clean white gloss. Easy to install, this plinth is made of quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis Vision plinth 1300mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/84/NW-C22284_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_Plinth_1300_Long_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_W_Base_Cladding_&_Plinths_Tech.pdf,,,,,,,,,,,,,,,
1,PC24109,Nabis Vision fascia pack for back-to-wall toilet unit 500mm White Gloss,Nabis,66.9,"Finished in white gloss, this Nabis Vision door pack is designed for use with 500mm back-to-wall toilet units. This pack is easy to install and made of high quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis Vision fascia pack for back-to-wall toilet unit 500mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/09/NW-C24109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BTW_Toilet_Unit_Technical.pdf,,,,,,,,,,,,,,,,,
2,PC23973,Nabis laminate worktop 1000 x 230 x 22mm White Gloss,Nabis,61.9,Nabis laminate worktop is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis laminate worktop 1000 x 230 x 22mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/73/NW-C23973_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_LaminateWorktops_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Laminate_Worktop_Installation.pdf,,,,,,,,,,,,,,,,
3,PC23994,Nabis laminate worktop 1500 x 310 x 22mm White Gloss,Nabis,88.15,Nabis laminate worktop is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis laminate worktop 1500 x 310 x 22mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/94/NW-C23994_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_LaminateWorktops_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Laminate_Worktop_Installation.pdf,,,,,,,,,,,,,,,,
4,PC24008,Nabis laminate worktop 2000 x 230 x 22mm White Gloss,Nabis,140.65,Nabis laminate worktop is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis laminate worktop 2000 x 230 x 22mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/08/NW-C24008_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_LaminateWorktops_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Laminate_Worktop_Installation.pdf,,,,,,,,,,,,,,,,
5,PC24232,Nabis White Gloss base cladding panel 220 x 835mm,Nabis,45.01,Nabis base cladding panel is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis White Gloss base cladding panel 220 x 835mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/32/NW-C24232_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_BaseCladdingPanel_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_W_Base_Cladding_&_Plinths_Tech.pdf,,,,,,,,,,,,,,,,
6,PC24022,Nabis laminate worktop 3000 x 310 x 22mm,Nabis,153.16,Nabis laminate worktop is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis laminate worktop 3000 x 310 x 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/22/NW-C24022_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_LaminateWorktops_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Laminate_Worktop_Installation.pdf,,,,,,,,,,,,,,,,
7,PD71653,Be Modern Atlanta countertop 1500 x 365 x 22 Natural Oak,Be Modern,104.57,The Be Modern Atlanta 1500 x 365 x 22mm countertop is an ideal finishing touch for a modern bathroom. It is manufactured in tough 22mm thick MFC with a 0.8 laminate covering finished in stylish Natural Oak.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Be Modern Atlanta countertop 1500 x 365 x 22 Natural Oak,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/53/D71653_wm.jpg,,,,Natural Oak,Atlanta,Post Formed,Lifetime,N,365,0.8 laminate with 22mm MFC,150CT22/NOAK,Bathroom Worktops,N,Natural Oak finish,With sealing strips,Easy installation,Lifetime warranty,
8,PC24101,Nabis Vision fascia pack for drawer line unit 300mm White Gloss,Nabis,65.65,"Suitable for use with 300mm drawer line bathroom units, this white gloss finish Nabis Vision door pack is easy to install and made of high quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis Vision fascia pack for drawer line unit 300mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/01/NW-C24101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Drawer_Line_Unit_Technical.pdf,,,,,,,,,,,,,,,,,
9,PC24239,Nabis White Gloss base cladding panel 300 x 835mm,Nabis,45.01,Nabis base cladding panel is available in white gloss finish. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis White Gloss base cladding panel 300 x 835mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/39/NW-C24239_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_BaseCladdingPanel_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_W_Base_Cladding_&_Plinths_Tech.pdf,,,,,,,,,,,,,,,,
10,PC24125,Nabis Vision fascia pack for washbasin unit 600mm White Gloss,Nabis,77.51,"Suitable for use with washbasin units, this Nabis Vision fascia pack is finished in white gloss. This door and front panel pack is easy to install and made of high quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Worktops and Plinths/Bathroom Worktops and Plinths.csv -> Nabis Vision fascia pack for washbasin unit 600mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/25/NW-C24125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Washbasin_Unit_Technical.pdf,,,,,,,,,,,,,,,,,
