,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Attachment 2,Warranty,Phase,Model For Use With,Power Supply,Feature 3
0,P677799,"Kelvion 261-763-006 / JG1-8 drain connection (BSP) 3/4""",Kelvion,10.99,"A Kelvion Searle 261-763-006/JG1-8 drain with 3/4"" BSP connections.","Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Kelvion 261-763-006 / JG1-8 drain connection (BSP) 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/99/NW-677799_wm.jpg,N,30mm,100465377,Drain Connection Kit,N,Kelvion Searle spare part,Connection: 3/4 inch BSP,,,,,,,
1,P677798,Kelvion JG1-8 drain connection gasket,Kelvion,2.2,A Kelvion Searle JG1-8 drain gasket.,Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Kelvion JG1-8 drain connection gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/98/NW-677798_wm.jpg,N,13mm,100465378,Gasket,N,Heat exchanger spare part,,,,,,,,
2,P678125,Beermaster BMO100-550 / 200-404-033 low pressure switch,Beermaster,38.38,"A Beermaster BMO100-550, 200-404-033 black LP switch for use with BMO-100-1, BMO-120-1, BMO-120-1, BMO-150-1/3, BMO-150-1/3, BMO-150-1/3, BMO-200-1/3, BMO-200-1/3, BMO-250-1/3, BMO-250-1/3, BMO-300-1/3, BMO-300-1/3, BMO-300-1/3, BMO-350-3, BMO-450-3 and BMO-550-3.",Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster BMO100-550 / 200-404-033 low pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/25/NW-678125_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,
3,P681935,Beermaster BMI407-69-133 heater assembly 2kW,Beermaster,284.89,"This Beermaster BMI407-69-133 2kW heater assembly is compatible with BMIE407-69, BMIE407-89, BMIE407-104 and BMIE407-133.",Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster BMI407-69-133 heater assembly 2kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/35/NW-681935_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,
4,P681922,Beermaster BMO100-300 liquid line valve,Beermaster,34.13,"This Beermaster BMO100-300 liquid line valve is compatible with BMO-100-1, BMO-120-1, BMO-150-1/3, BMO-200-1/3, BMO-250-1/3 and BMO-300-1/3.",Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster BMO100-300 liquid line valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/22/NW-681922_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,
5,P684223,Beermaster BMO100-300 acoustic kit (1 fan system),Beermaster,331.79,"The Beermaster BMO100-300 acoustic kit is designed for BMO 100 to 300 condensing unit models, supplying minimised sound pressure levels. With reductions up to 6 dB(A) at 10M, when running the fan at minimum speed, this noise-supressing kit includes fan speed controller and acoustic lining for the compressor compartment.",Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster BMO100-300 acoustic kit (1 fan system),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/23/NW-684223_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,,,,,
6,P681662,Beermaster solenoid valve coil,Beermaster,55.4,"A Beermaster BME solenoid valve coil for use with BMI407-37, BMIE407-37, BMI407-48, BMIE407-48, BMI407-69, BMIE407-69, BMI407-89, BMIE407-89, BMI407-104, BMIE407-104, BMI407-133 and BMIE407-133.",Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster solenoid valve coil,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/62/NW-681662_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,
7,P681687,Beermaster fan set,Beermaster,666.85,This Beermaster 1P fan set offers reduced noise during operation and high levels of efficiency.,Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster fan set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/87/NW-681687_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,
8,P681660,Beermaster 200-403-023 series solenoid valve,Beermaster,139.1,"This Beermaster BME Series 200-403-023 solenoid valve is compatible with BMI407-37, BMIE407-37, BMI407-48, BMIE407-48, BMI407-69, BMIE407-69, BMI407-89, BMIE407-89, BMI407-104, BMIE407-104, BMI407-133 and BMIE407-133.",Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Beermaster 200-403-023 series solenoid valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/60/NW-681660_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,
9,P675879,Kelvion ceiling mounted defrost kit,Kelvion,40.81,"This Kelvion Searle 1P ceiling-mounted defrost kit includes a heater element, terminal block and clips. Designed to convert coolers to electric defrost, this product is compatible with TG and TEC2 models.",Refrigeration/Evaporators & Condensers/Evaporator Parts & Accessories/Evaporator Parts & Accessories.csv -> Kelvion ceiling mounted defrost kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/79/NW-675879_wm.jpg,N,,100513681,Defrost Kit,N,Comprises heater element,Terminal block and clips,,,1 year,Single Phase,TGTEC2,1P,To convert TEC cooler to electric defrost
