,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Equal / Unequal,End Connection A size,End Connection C size,Gender,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Approvals,Angle,Feature 6,Colour,Depth (mm),Diameter,Weight,Feature 7,Range,Attachment 2,Attachment 3,End Connection B size
0,PP12214,"Durapipe HTA CPVC male iron brass adaptor 25 x 32mm x 3/4""",Durapipe,12.95,"This Durapipe HTA 25/32mm x 3/4"" adapter nipple is made of C-PVC and brass. HTA is quick and easy to securely install, providing a complete C-PVC pipework system suitable for domestic hot and cold water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> Durapipe HTA CPVC male iron brass adaptor 25 x 32mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/14/NW-P12213_P12214_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PP96438,GF CPVC ADAPT UNION EPDM PN16  723550508,Georg Fischer,48.66,"This Georg Fischer 1"" PN16 D32 adapter union is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC ADAPT UNION EPDM PN16  723550508",,1 x Union,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/38/P96438_wm.jpg,,N,Equal,32 mm,1 in,female,"ABS, Brass","32 mm, 1 in",Socket,Female Thread,723550508,Union,N,ABS and brass construction,Excellent resistance to chemicals,Easy installation with solvent cementing,High burning resistance to resist combustion when ignition source is removed,"Excellent mechanical characteristics, even at high temperatures",,,,,,,,,,,,
2,PP13150,GF CPVC ADPT UNION PXMI 235302    20X1/2,Georg Fischer,17.85,"This Georg Fischer 20mm x 1/2"" adapter union is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC ADPT UNION PXMI 235302    20X1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/50/P13150_wm.jpg,,N,Unequal,20 mm,1/2 in,,PVC-C,20 mm,Socket,,723530306,PVC-C Union,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,,,,,,,
3,PP13570,GF CPVC BEND 90D 723000117 160X150,Georg Fischer,747.41,"This Georg Fischer 160 x 150mm 90° bend is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC BEND 90D 723000117 160X150",,1 x 45 Degree Elbow,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/70/P13570_wm.jpg,,N,,,,,PVC-C,,,,723000117,,N,,,,,,,,,Light Grey,506,,,,,,,
4,PP13152,GF CPVC ADPT UNION PXMI 235302      32X1,Georg Fischer,25.57,"This Georg Fischer 32mm x 1"" adapter union is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC ADPT UNION PXMI 235302      32X1",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/52/P13152_wm.jpg,,N,Unequal,32 mm,1 in,,PVC-C,32 mm,Socket,,723530308,PVC-C Union,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,,,,,,,
5,PP13163,GF CPVC CAP 723960108                 32,Georg Fischer,7.88,"This Georg Fischer 32mm cap is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC CAP 723960108                 32",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/60/P13160_wm.jpg,,N,Unequal,32 mm,N/A,,PVC-C,32 mm,Socket,,723960108,PVC-C Cap,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,,WRAS approved,,,32 mm,,,,,,
6,PP13041,GF CPVC 90D ELBOW 723100106           20,Georg Fischer,4.74,"This Georg Fischer 20mm 90° elbow is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D ELBOW 723100106           20",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/40/P13040_wm.jpg,,N,Equal,20 mm,20 mm,,PVC-C,20 mm,Socket,,723100106,PVC-C Elbow,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,20 mm,,,,,,
7,PP13049,GF CPVC 90D ELBOW 723100114          110,Georg Fischer,154.96,"This Georg Fischer 110mm 90° elbow is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D ELBOW 723100114          110",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/40/P13040_wm.jpg,,N,Equal,110 mm,110 mm,,PVC-C,110mm,Socket,,723100114,PVC-C Elbow,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,110mm,,,,,,
8,PP13011,GF CPVC 951 UNION PN16 EPDM      20 -1/2,Georg Fischer,75.3,"This Georg Fischer 20mm x 1/2"" PN16 EPDM union is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 951 UNION PN16 EPDM      20 -1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/11/P13011_wm.jpg,,N,Unequal,20 mm,1/2 in,,PVC-C,20 mm,Socket,,723540706,PVC-C Union,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,,,,,,,
9,PP13025,GF CPVC 90D BEND 723000110            50,Georg Fischer,50.37,"This Georg Fischer 50mm 90° bend is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D BEND 723000110            50",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/21/P13021_wm.jpg,,N,Equal,50 mm,50 mm,,PVC-C,50 mm,Socket,,723000110,PVC-C Bend,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,50mm,,,,,,
