,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Colour,Range,Warranty,Hazardous,Output,Range For Use With,Supplier Product Code,Type,WEEE Compliant,Feature 1,Dimensions mm (H x W x D),Part Gas Council number,Application,Depth (mm),Flue Type,Boiler Bundles,Flue Diameter,Flue Length,Flue Size,By Model Number,Feature 2,Feature 3,Flow Rate,Fuel Type,Weight,Energy Rating,Efficiency (SAP 2009),Mounting Type,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Enclosure Class,Standards
0,PS05250,JET Range Mini Pressurisation Unit Mini Range M130HL,JET Range,679.79,"The compact, fully enclosed JET Range Mini M130HL mechanical pressurisation unit is a reliable spare part designed to provide a minimum system pressure requirement in sealed systems. The JET Range Mini is particularly designed for air conditioning applications.",School's Out/Plant Room | Maintenance Projects/Plant Room | Maintenance Projects.csv -> JET Range Mini Pressurisation Unit Mini Range M130HL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/50/S05250_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Mechanical_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Mini M Pressurisation Unit TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/v2/_2/JET Mechanical Instruction V2.2.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/un/it/Jet_Mini_M_Press_Unit.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P114939,Ideal Evomax 2 60 packaged NG boiler 60,Ideal,3629.0,"Including everything you'll need for a complete installation, from wall mounting bracket to condensate trap, this Ideal Evomax 2 60 condensing boiler kit makes the job of fitting a new appliance easy. This highly efficient room-sealed 60kW boiler has a wallet-friendly ErP A rating for a reduction in waste and, thanks to its user-friendly status display, is easy to operate and service. Optional weather compensation and remote user kits give owners the option to personalise the Evomax to suit their lifestyle and build-in even better efficiency.",School's Out/Plant Room | Maintenance Projects/Plant Room | Maintenance Projects.csv -> Ideal Evomax 2 60 packaged NG boiler 60,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/43/114937_114943_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114939_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Evomax_2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Ideal_Evomax-2_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Evomax-2_EVO-S_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Ideal_CndningCommercialBoilers_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/114939_ErP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P114940,Ideal Evomax 2 80 packaged NG boiler 80,Ideal,4026.0,"Including everything you'll need for a complete installation, from wall mounting bracket to condensate trap, this Ideal Evomax 2 80 condensing boiler kit makes the job of fitting a new appliance easy. This highly efficient room-sealed 80kW boiler has a wallet-friendly ErP A rating for a reduction in waste and, thanks to its user-friendly status display, is easy to operate and service. Optional weather compensation and remote user kits give owners the option to personalise the Evomax to suit their lifestyle and build-in even better efficiency.",School's Out/Plant Room | Maintenance Projects/Plant Room | Maintenance Projects.csv -> Ideal Evomax 2 80 packaged NG boiler 80,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/43/114937_114943_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114940_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Ideal_Evomax-2_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Ideal_CndningCommercialBoilers_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Evomax-2_EVO-S_Warranty.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PS05236,JET Range Midi Digital Plus MD231 midi digital plus pressurisation unit,JET Range,1616.63,"Designed to provide a minimum system pressure requirement for sealed systems, the JET Range Midi MD231 Digital Plus compact pressurisation unit is suitable for installation in commercial, industrial and residential properties. With an intuitive password-protected microprocessor including features such as low water/flood protection, VFCs for common faults and pump and pressure failures, this pressurised unit is simple to operate and provides users with a wealth of useful information via its LED display.",School's Out/Plant Room | Maintenance Projects/Plant Room | Maintenance Projects.csv -> JET Range Midi Digital Plus MD231 midi digital plus pressurisation unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/37/S05235_S05237_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/im/S05236_Jet_IM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/Jet Midi Pressurisation Unit TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Jet_Digital_Pressurisation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/ig/S05236_Jet_IG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P114942,Ideal Evomax 2 120 packaged NG boiler 120,Ideal,5206.0,"Including everything you'll need for a complete installation, from wall mounting bracket to condensate trap, this Ideal Evomax 2 120 condensing boiler kit makes the job of fitting a new appliance easy. This highly efficient room-sealed 120kW boiler has a wallet-friendly ErP A rating for a reduction in waste and, thanks to its user-friendly status display, is easy to operate and service. Optional weather compensation and remote user kits give owners the option to personalise the Evomax to suit their lifestyle and build-in even better efficiency.",School's Out/Plant Room | Maintenance Projects/Plant Room | Maintenance Projects.csv -> Ideal Evomax 2 120 packaged NG boiler 120,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/43/114937_114943_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Ideal_Evomax-2_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114942_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Evomax-2_EVO-S_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Ideal_CndningCommercialBoilers_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P141837,Grundfos Magna 3 D 50-120 F 280 circulating pump 1 x 230V PN6/10,Grundfos,5825.21,"Ideal for creating high performance heating and cooling systems, the Grundfos MAGNA3 50 - 120 F single phase circulator pump is suitable for new installations and refits, offering excellent efficiency and built-in communication capabilities. With a canned rotor, this pump is a maintenance-free integral unit with no shaft seal and just two gaskets for sealing, while bearings are lubricated by the pumped liquid. Wirelessly connecting with the Grundfos GO Remote app, for advanced reporting and monitoring, MAGNA3 is suitable for mixing loops, heating and air conditioning surfaces, ground source heat pumps and small chillers and includes fieldbus communication via CIM modules as well analogue and digital inputs and configurable relays. Features include FLOWADAPT, reducing the requirement for throttling valves, and a built-in differential pressure and temperature sensor.",School's Out/Plant Room | Maintenance Projects/Plant Room | Maintenance Projects.csv -> Grundfos Magna 3 D 50-120 F 280 circulating pump 1 x 230V PN6/10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/39/NW-141827_141839_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA3_Model_D_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_MAGNA3_Model_D_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA3_instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P114946,Ideal Evomax 2 60P packaged LPG boiler 60,Ideal,3629.0,"Including everything you'll need for a complete installation, from wall mounting bracket to condensate trap, this Ideal Evomax 2 60P condensing boiler kit makes the job of fitting a new appliance easy. This highly efficient room-sealed 60kW boiler has a wallet-friendly ErP A rating for a reduction in waste and, thanks to its user-friendly status display, is easy to operate and service. Optional weather compensation and remote user kits give owners the option to personalise the Evomax to suit their lifestyle and build-in even better efficiency.",School's Out/Plant Room | Maintenance Projects/Plant Room | Maintenance Projects.csv -> Ideal Evomax 2 60P packaged LPG boiler 60,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/49/114946_114949_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114946_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/114946_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Evomax_2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Ideal_Evomax-2_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Evomax-2_EVO-S_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Ideal_CndningCommercialBoilers_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P114947,Ideal Evomax 2 80P packaged LPG boiler 80,Ideal,4026.0,"Including everything you'll need for a complete installation, from wall mounting bracket to condensate trap, this Ideal Evomax 2 80P condensing boiler kit makes the job of fitting a new appliance easy. This highly efficient room-sealed 80kW boiler has a wallet-friendly ErP A rating for a reduction in waste and, thanks to its user-friendly status display, is easy to operate and service. Optional weather compensation and remote user kits give owners the option to personalise the Evomax to suit their lifestyle and build-in even better efficiency.",School's Out/Plant Room | Maintenance Projects/Plant Room | Maintenance Projects.csv -> Ideal Evomax 2 80P packaged LPG boiler 80,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/49/114946_114949_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Ideal_Evomax-2_Installation_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Evomax-2_EVO-S_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Ideal_CndningCommercialBoilers_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114947_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P126235,"Grundfos Magna 1 40-120 F 250 circulating pump 220mm x 1"" 230V PN6/10",Grundfos,2141.0,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 40 - 120 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","School's Out/Plant Room | Maintenance Projects/Plant Room | Maintenance Projects.csv -> Grundfos Magna 1 40-120 F 250 circulating pump 220mm x 1"" 230V PN6/10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/37/NW-126233_126237_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P126251,"Grundfos Magna 1 circulating pump 280mm 1"" x 230V PN6/10",Grundfos,2794.8,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 50 - 120 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","School's Out/Plant Room | Maintenance Projects/Plant Room | Maintenance Projects.csv -> Grundfos Magna 1 circulating pump 280mm 1"" x 230V PN6/10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/51/NW-126251_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
