,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Connection Size,Connection Type,Diameter,Warranty,Weight,Hazardous,Drainage Product Type,Material,Resistance Features,Wall Thickness (mm),Paintable,Standards,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Minimum Operating Temperature,Maximum Operating Temperature,Application
0,PF47581,"McAlpine shower gully 2"" x 1.1/2"" x 50mm White",McAlpine,100.02,"This McAlpine 200mm shower gully with 2"" solvent weld connection is made of ABS and is ideal for use in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and retirement and care homes as well as in hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> McAlpine shower gully 2"" x 1.1/2"" x 50mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/81/NW-F47581_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG50_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF47274,McAlpine TSG2T6SS trapped shower gully - tile 150mm,McAlpine,113.21,"This McAlpine 200mm trapped shower gully with 110mm solvent weld connections is made of ABS with a 150mm square polished stainless steel cover plate. It is suitable for use in showers in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and in retirement and care homes as well as hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> McAlpine TSG2T6SS trapped shower gully - tile 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/74/NW-F47274_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG-TILE_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG2_Tail_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PF48259,McAlpine shower gully reducer 2 x 1.5 IN,McAlpine,1.1,This 2 x 1.5 inch socket reducer is for use with the McAlpine TSG1 range of sheet floor gullies and drains.,"Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> McAlpine shower gully reducer 2 x 1.5 IN",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/59/F48259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG1_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PW90106,Harmer AV200T/F roof drain,Harmer,177.9,"This Harmer AV200T/F 2"" 121mm roof drain is part of Harmer's innovative flat roof drainage system. Industry compliant, this system allows for reliable rainwater drainage in any construction project.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> Harmer AV200T/F roof drain",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/06/W90106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Alumasc_Roof_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PF58093,Geberit Pluvia HDPE clamp for steel square pipe,Geberit,1.97,This Geberit Pluvia support rail suspension element for square pipe is made of steel with a galvanised finish. It is used to fasten Geberit Pluvia support rails with square profiles and can be used for fastening pipes to ceilings.,"Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> Geberit Pluvia HDPE clamp for steel square pipe",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/93/NW-F58093_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_DrainageSystem_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PP48935,PLUVIA ROOF OUTLET C SHT FST FLNGE 12L/S,Geberit,174.75,"Reducing the number of roof outlets and stacks required, the Geberit Pluvia 12L/S roof outlet offers fast draining in large roof areas. Unlike conventional drainage systems, Pluvia allows the pipe system to completely fill with water, encouraging negative pressure for fast suction removal. This makes Pluvia powerfully effective and improves efficiency, reducing costs as well as planning and construction effort. Suitable for use in insulated and uninsulated roofs, this system is also suitable for installation on green roofs.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> PLUVIA ROOF OUTLET C SHT FST FLNGE 12L/S",,Outlet grating with function disc;Base unit with contact sheet made of CrNi steel 1.4301;Fastening flange;Anti-condensation insulation;8 wing nuts made of CrNi steel;Protection box cover,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/P4893_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/P48935_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/P48935_Tech_Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PW90141,Harmer AV threaded roof drain 100mm,Harmer,324.59,"This Harmer AV 380mm aluminium roof outlet has been hydraulically engineered for versatility and trouble-free performance, outlasting the building to which it has been fitted.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> Harmer AV threaded roof drain 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/41/NW-W90141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Harmer_Alumasc_M001DR_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Harmer_Roofoutlet_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PF58094,Geberit Pluvia HDPE wedge for guide bracket,Geberit,0.98,"This Geberit Pluvia 90mm tension wedge is made of steel with a galvanised finish. It is used to fasten Geberit Pluvia pipe brackets, Pluvia support rail suspension elements and Pluvia connection elements to Pluvia support rails with square profiles.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> Geberit Pluvia HDPE wedge for guide bracket",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/94/NW-F58094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_DrainageSystem_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PP48927,Geberit roof outlet with fastening flange for roof foils 25ltr/s,Geberit,262.21,"Capable of draining 25L per second, this Geberit roof outlet with 90mm HDPE connection and fastening flange for 4mm roof foils is part of the reliable Pluvia roof drainage system. Designed to drain large roof areas with just a handful of outlets and stacks, this pipe system is completely filled with water, unlike traditional drainage systems. This creates negative pressure for quicker, more powerful suction. Simplifying installation for reduced time and cost, Geberit Pluvia is compatible with uninsulated and insulated roofs as well as green roofs and other roof types.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> Geberit roof outlet with fastening flange for roof foils 25ltr/s",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/27/P48927_wm.jpg,,,,,Black,90mm,"Straight connector made of PE-HD, can be shortenedStraight connector can be reduced directly or extended",300mm,10 Years,2.367kg,N,Roof Drainage System,Base unit with contact sheet made of CrNi steel 1.4301Flange gasket made of EPDM,"Resistant to chemicals, temperatures and  damage with zero corrosion",3.5,No,BBA Agrément CertificateBS EN ISO 9001:2000BS 8490 Code of Practice  for Siphonic Systems,359.098.00.1,N,Space saving design,Can be shortened as required,With fastening flange,high flow speeds for self-cleaning,Architectonic freedom,PE-HD construction,Corrosion-resistant,Chemical-resistant,Withstands extreme temperatures,BBA Agrément Certificate,Meets BS EN ISO 9001:2000,Meets BS 8490 Code of Practicefor Siphonic Systems,,,
9,PW90279,Harmer ABS vertical shower drain,Harmer,73.87,"Designed to meet the demand of modern showers and wet rooms, this 150mm Harmer channel drain with 50mm solvent weld connections is suitable for all types of solid and suspended floor constructions, including those installations requiring shallow invert pipework such as joisted timber floors. Lightweight and ultra-compact, this drain is suitable for use in residential, public sector, healthcare and commercial settings.","Drainage/Rainwater, Floor and Roof Drains/Rainwater, Floor and Roof Drains.csv -> Harmer ABS vertical shower drain",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/79/NW-W90279_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Harmer_Showerdrain_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Harmer_Alumasc_M001DR_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
