,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Hazardous,Approvals,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Diameter,Length (M),Pack Quantity,Gender,Feature 11,Equal / Unequal,End Connection A size,End Connection B size,End Connection C size,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Weight,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Connection Size,Outer Diameter
0,P515165,Wavin Hep2O polybutylene barrier pipe length 15mm x 3mtr White,Wavin,5.75,"This Wavin Hep2O 15mm barrier pipe is made of 1.85mm thick polybutylene (PB) for a secure, leak-resistant alternative to copper piping. Flexible and simple to install via push-fit, this pipe is supplied in a 3M length.","Pipe, Valves and Fittings/Plastic Pipe/Plastic Pipe.csv -> Wavin Hep2O polybutylene barrier pipe length 15mm x 3mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/66/NW-515165_515166_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Wavin_Hep2o_Push_Fit_Plumbing_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_Hepworth_Plastic_Products_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Wavin_Hep2o_Warranty.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P515166,Wavin Hep2O polybutylene barrier pipe length 22mm x 3mtr White,Wavin,10.75,"This Wavin Hep2O 22mm barrier pipe is made of 2.15mm thick polybutylene (PB) for a secure, leak-resistant alternative to copper piping. Flexible and simple to install via push-fit, this pipe is supplied in a 3M length.","Pipe, Valves and Fittings/Plastic Pipe/Plastic Pipe.csv -> Wavin Hep2O polybutylene barrier pipe length 22mm x 3mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/66/NW-515165_515166_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Wavin_Hep2o_Push_Fit_Plumbing_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_Hepworth_Plastic_Products_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Wavin_Hep2o_Warranty.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P519378,Wavin Hep2O smartsleeve pipe support 15mm,Wavin,0.4,"This Wavin Hep2O HX60 15 x 15mm pipe support insert with push-fit connections is made of food quality stainless steel, impervious to contaminants. This insert is designed to be captive in the pipe, however it can be removed using long nose pliers where needed.","Pipe, Valves and Fittings/Plastic Pipe/Plastic Pipe.csv -> Wavin Hep2O smartsleeve pipe support 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/79/NW-519377_519379_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Plumbing_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P519323,Wavin Hep2O HD5 90deg elbow 15mm,Wavin,1.87,This Wavin Hep2O HD5 15 x 15mm 90° elbow is made from polybutylene (PB) and includes push-fit connections. This fitting is suitable for use in hot and cold flexible push-fit plumbing systems.,"Pipe, Valves and Fittings/Plastic Pipe/Plastic Pipe.csv -> Wavin Hep2O HD5 90deg elbow 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/24/NW-519322_519324_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P519324,Wavin Hep2O 90deg elbow 22mm,Wavin,3.21,This Wavin Hep2O HD5 22 x 22mm 90° elbow is made from polybutylene (PB) and includes push-fit connections. This fitting is suitable for use in hot and cold flexible push-fit plumbing systems.,"Pipe, Valves and Fittings/Plastic Pipe/Plastic Pipe.csv -> Wavin Hep2O 90deg elbow 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/24/NW-519322_519324_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P519303,Wavin Hep2O straight connector 15mm,Wavin,1.9,This Wavin Hep2O HD1 15 x 15mm connector is made from polybutylene (PB) and includes push-fit connections. This fitting is suitable for use in hot and cold flexible push-fit plumbing systems.,"Pipe, Valves and Fittings/Plastic Pipe/Plastic Pipe.csv -> Wavin Hep2O straight connector 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/04/NW-519302_519304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Plumbing_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P519379,Wavin Hep2O smartsleeve pipe support 22mm,Wavin,0.49,"This Wavin Hep2O HX60 22 x 22mm pipe support insert with push-fit connections is made of food quality stainless steel, impervious to contaminants. This insert is designed to be captive in the pipe, however it can be removed using long nose pliers where needed.","Pipe, Valves and Fittings/Plastic Pipe/Plastic Pipe.csv -> Wavin Hep2O smartsleeve pipe support 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/79/NW-519377_519379_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Plumbing_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P519304,Wavin Hep2O straight connector 22mm,Wavin,2.37,This Wavin Hep2O HD1 22 x 22mm connector is made from polybutylene (PB) and includes push-fit connections. This fitting is suitable for use in hot and cold flexible push-fit plumbing systems.,"Pipe, Valves and Fittings/Plastic Pipe/Plastic Pipe.csv -> Wavin Hep2O straight connector 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/04/NW-519302_519304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Plumbing_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P519309,Wavin Hep2O reducer 22 x 15mm,Wavin,2.45,"This Wavin Hep2O HD2 22 x 15mm socket reducer is a polybutylene (PB) flexible push-fit fitting with In4Sure joint recognition technology, providing an indication when the pipe is securely connected.","Pipe, Valves and Fittings/Plastic Pipe/Plastic Pipe.csv -> Wavin Hep2O reducer 22 x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/09/NW-519309_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P581387,JG Speedfit Layflat PB layflat pipe coil 15mm x 25mtr White,JG Speedfit,43.76,"This JG Speedfit Layflat 15mm polybutylene pipe is recommended for use in long runs where softer pipe material makes cabling through joists simple. Easy to handle when removed from its 25M coil, the pipe stays straight and lays flat, removing the issue of recoiling. Incorporating five layers, this pipe has a central oxygen barrier, preventing air ingress and reducing the effect of corrosion on the system's metal components. Thanks to its low thermal conductivity, Speedfit stays cool to the touch when carrying hot water for reliable safety.","Pipe, Valves and Fittings/Plastic Pipe/Plastic Pipe.csv -> JG Speedfit Layflat PB layflat pipe coil 15mm x 25mtr White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/87/NW-581387_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
