,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range,Testing Capability,Battery Life,Power Supply,Application,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11
0,PN57863,Duracell Procell AA battery (Pack of 10),Duracell,4.47,"Made using superior cell design, these Duracell Procell alkaline manganese dioxide AA batteries meet stringent battery standards, incorporating parts of the ANSI and IEC battery standards for safety and quality. Economically packaged in bulk and individually date-coded for effective inventory management, Procell alkaline batteries are designed in collaboration with manufacturers for effective use in professional devices.",Trade Essentials/Van and Site Essentials/Batteries/Batteries.csv -> Duracell Procell AA battery (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/64/NW-N57861_N57864_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Duracell_MN1500_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
1,PN66969,Procell intense 9 V pack of 10,Procell,20.03,A ten-pack of Procell Intense 9V batteries for ongoing high performance.,Trade Essentials/Van and Site Essentials/Batteries/Batteries.csv -> Procell intense 9 V pack of 10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/69/N66969_wm.jpg,,N,131 x 36 x 51 mm,MN1604INTPX/10,9V,N,Pack of 10,High performance,High drain,,,,,,,,,,,,,
2,PN66965,Procell intense AA pack of 10,Procell,5.04,A ten-pack of Procell Intense AA batteries for ongoing high performance.,Trade Essentials/Van and Site Essentials/Batteries/Batteries.csv -> Procell intense AA pack of 10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/65/N66965_wm.jpg,,N,74 x 54 x 30 mm,MN1500INTPX/10,AA,N,Pack of 10,High performance,High drain,,,,,,,,,,,,,
3,PN66966,Procell intense AAA pack of 10,Procell,4.91,A ten-pack of Procell Intense AAA batteries for ongoing high performance.,Trade Essentials/Van and Site Essentials/Batteries/Batteries.csv -> Procell intense AAA pack of 10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/66/N66966_wm.jpg,,N,106 x 48 x 14 mm,MN2400INTPX/10,AAA,N,Pack of 10,High performance,High drain,,,,,,,,,,,,,
4,P503897,FireAngel Battery FA3313-EUX10 10 year Carbon Monoxide (CO)  alarm replaceable battery,FireAngel,18.51,"Suitable for replacement battery use, the FireAngel FA3313-EUX10 carbon monoxide alarm uses up to the minute CO sensing electrochemical technology to sound an unmissable alarm should CO reach unhealthy levels. This alarm is recommended for use anywhere a fuel-burning appliance like a boiler, open fire or gas hob is installed.",Trade Essentials/Van and Site Essentials/Batteries/Batteries.csv -> FireAngel Battery FA3313-EUX10 10 year Carbon Monoxide (CO)  alarm replaceable battery,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/97/503897_wm.jpg,,N,,FA3313-EUX10,Carbon Monoxide (CO)  Alarm,N,Advanced electrochemical sensor,Sensor calibrated and tested in CO to provide early warning,10 year product life,Battery,Carbon Monoxide,1 Year,3V DC,"Any room with a fuel burning appliance e.g. boiler, open fires, gas hob or a flue",1 year replaceable batteries,"Offers clear, loud alarm",Intelligent CO sensing algorithm provides increased sensing rate of detection of low level CO,BSI Kitemark approved,,,,
5,PN57862,Duracell Procell D battery (Pack of 10),Duracell,19.07,"Made using superior cell design, these Duracell Procell alkaline manganese dioxide D batteries meet stringent battery standards, incorporating parts of the ANSI and IEC battery standards for safety and quality. Economically packaged in bulk and individually date-coded for effective inventory management, Procell alkaline batteries are designed in collaboration with manufacturers for effective use in professional devices.",Trade Essentials/Van and Site Essentials/Batteries/Batteries.csv -> Duracell Procell D battery (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/64/NW-N57861_N57864_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Duracell_MN1300_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
6,P503898,FireAngel Battery FS3328-EUT 10 year SYNC-IT NFC Carbon Monoxide (CO) alarm sealed battery,FireAngel,37.02,"Fitted with a ten year sealed-in battery, the FireAngel SYNC-IT FA3328-EUT carbon monoxide alarm uses up to the minute CO sensing electrochemical technology to sound an unmissable alarm should CO reach unhealthy levels. Using NFC technology, this smart CO alarm can also connect to your smartphone for complete diagnostics cleverly stored by customer. This alarm is recommended for use anywhere a fuel-burning appliance like a boiler, open fire or gas hob is installed.",Trade Essentials/Van and Site Essentials/Batteries/Batteries.csv -> FireAngel Battery FS3328-EUT 10 year SYNC-IT NFC Carbon Monoxide (CO) alarm sealed battery,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/98/503898_wm.jpg,,N,,FA3328-EUT,"Carbon Monoxide, Temperature, Humidity",N,Wirelessly transfers diagnostics to smartphone via SYNC IT™ NFC technology,NFC technology provides advanced data extraction,NFC syncs with the Cloud to provide all data in customer portfolio,Battery,"Carbon Monoxide, Temperature, Humidity",10 Year,3V DC,"Any room with a fuel burning appliance e.g. boiler, open fires, gas hob or a flue",10 year lifespan,With 10 year sealed for life lithium battery,"Offers clear, loud alarm",Nighttime sensing for reduced heartbeat intensity and auto sleep easy chirp silencing,Memory function provides visual indication of previous alarm activation,Ventilate pre-alarm warning low-level monitoring function,Integrated mounting plate with single-point fixing,BSI Kitemark approved
7,PN57864,Duracell Procell AAA battery (Pack of 10),Duracell,4.28,"Made using superior cell design, these Duracell Procell alkaline manganese dioxide AAA batteries meet stringent battery standards, incorporating parts of the ANSI and IEC battery standards for safety and quality. Economically packaged in bulk and individually date-coded for effective inventory management, Procell alkaline batteries are designed in collaboration with manufacturers for effective use in professional devices.",Trade Essentials/Van and Site Essentials/Batteries/Batteries.csv -> Duracell Procell AAA battery (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/64/NW-N57861_N57864_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Duracell_MN2400_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
8,PN57860,Duracell Procell battery 9v (Pack of 10),Duracell,20.03,"Made using superior cell design, these Duracell Procell alkaline manganese dioxide 9V batteries meet stringent battery standards, incorporating parts of the ANSI and IEC battery standards for safety and quality. Economically packaged in bulk and individually date-coded for effective inventory management, Procell alkaline batteries are designed in collaboration with manufacturers for effective use in professional devices.",Trade Essentials/Van and Site Essentials/Batteries/Batteries.csv -> Duracell Procell battery 9v (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/60/NW-N57860_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Duracell_MN1604_Technical.pdf,,,,,,,,,,,,,,,,,,,,,
9,P231583,Procell intense AAA pack of 10,Procell,3.5,"This handy pack of Procell Intense AAA high performance, high drain batteries contains ten units.",Trade Essentials/Van and Site Essentials/Batteries/Batteries.csv -> Procell intense AAA pack of 10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/66/N66966_wm.jpg,,N,106 x 48 x 14 mm,231583 PK,AAA,N,Pack of 10,High performance,Alkaline-type,,,,,,,,,,,,,
