,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Voltage (V),Warranty,Weight,Hazardous,Sound Power Level (Indoors),Output,Depth (mm),Mounting Type,Compressor Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Capacity Litre,Feature 9,Feature 10,Feature 11,Pack Quantity,Attachment 6,Refrigerant Suitability,Feature 12
0,P115374,Ideal Heating Logic Air AH750666 Logic Air Monobloc Heat Pump 8kW,Ideal Heating,3321.47,"Offering high levels of efficiency in heating and hot water, the Ideal Heating Logic Air AH750666 8kW monobloc heat pump delivers reliable low carbon heating to your home. Designed with weather compensation for improved cost savings and comfort, this heat pump delivers ease of use and green technology for a reduced carbon footprint with minimal effort.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Ideal Heating Logic Air AH750666 Logic Air Monobloc Heat Pump 8kW,,Heat Pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/74/115374_wm.jpg,Logic Air,230,2 years,120kg,N,55,8 kW,558,Floor Standing,Twin-Rotary,AH750666,Air to Water Heat Pump,N,For floor standing installation,Twin rotary compressor,Operates quietly,Intuitive control for ease of use,Smart weather compensation,Uses low carbon refrigerant with zero ozone depletion and low Global Warming Potential (GWP),2 year warranty,,,,,,,,,,,,,,
1,P131044,Samsung AE050RXYDEG/EU 1 phase mono air source heat pump 5 - 4.35kW R32,Samsung,1564.22,"Extremely energy efficient, the Samsung AE050RXYDEG/EU single phase mono air source heat pump uses the heat from the air to supply both heating and hot water. Transferring ambient air into a property via a hydronic system like underfloor heating, this heat pump helps to improve efficiency, requiring less power input than a conventional boiler while also offering a higher output. Bolted to anti-vibration feet, the AE050RXYDEG/EU operates quietly to minimise disruption.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Samsung AE050RXYDEG/EU 1 phase mono air source heat pump 5 - 4.35kW R32,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/44/131044_wm.jpg,,220 - 240,7 Year,58.5 kg,N,45 dB(A),5 kW,310,Bolted to Anti-Vibrate Feet,BLDC Twin Rotary,HHSMG6000051,Air to Water Heat Pump,N,"SCOP of 4.85, best on the MCS database",Offers 65°C hot water,45dB(A) sound level for disruption-free operation,Offers outputs of 5kW,Low GWP for more efficient use,Compatible with R32 refrigerant,With anti-vibration feet,7 year warranty,,,,,,,,,,,,,
2,P619028,Mitsubishi Ecodan PAC-IF072B-E main controller FTC6,Mitsubishi,673.81,"Smart-Grid ready, the Mitsubishi Ecodan FTC6 main controller is fitted with an inbuilt quiet mode interface. This controller helps to improve the commissioning process with a step-by-step installation wizard while intelligent room temperature control ensures comfort with minimal interaction. The FTC6 also provides detailed information for energy monitoring, displaying both consumed and produced energy on demand.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Mitsubishi Ecodan PAC-IF072B-E main controller FTC6,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/28/619028_wm.jpg,Ecodan,230,3 Years,4 kg,N,,,406,Wall Mounted,,498007,Main Controller,N,Smart grid ready,Step-by-step installation wizard for ease of commissioning,Built-in quiet mode interface,Smart device ready (MELCloud),Advanced maintenance,3 year warranty,,,,,,,,,,,,,,,
3,P117981,Vaillant aroTHERM air to water heat pump hose 750mm,Vaillant,124.1,"This pre-insulated 750mm Vaillant aroTHERM flexi hose is intended for use with air-to-water heat pump systems. Quick to install, this kink-free hose has a right-angled fixing and copper compression fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Vaillant aroTHERM air to water heat pump hose 750mm,,Flexi hose complete,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/81/117981_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_aroTherm_Heat-P_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTherm_Val0040_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Vaillant_aroTherm_User_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroTherm_5-15kw_Install.pdf,,,,,,,,,
4,P115373,Ideal Heating Logic Air AH750665 Logic Air Monobloc Heat Pump 5kW,Ideal Heating,2977.25,"Offering high levels of efficiency in heating and hot water, the Ideal Heating Logic Air AH750665 5kW monobloc heat pump delivers reliable low carbon heating to your home. Designed with weather compensation for improved cost savings and comfort, this heat pump delivers ease of use and green technology for a reduced carbon footprint with minimal effort.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Ideal Heating Logic Air AH750665 Logic Air Monobloc Heat Pump 5kW,,Heat Pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/73/115373_wm.jpg,Logic Air,230,2 years,86 kg,N,52,5 kW,558,Floor Standing,Twin-Rotary,AH750665,Air to Water Heat Pump,N,For floor standing installation,Twin rotary compressor,Operates quietly,Intuitive control for ease of use,Smart weather compensation,Uses low carbon refrigerant with zero ozone depletion and low Global Warming Potential (GWP),2 year warranty,,,,,,,,,,,,,,
5,P170126,Ideal Halo Lite RF Thermostat (boxed),Ideal,85.63,"Offering intuitive operation for all users, the Ideal Heating Halo Lite RF thermostat is an OpenTherm wireless programmable room thermostat, or PRT, with a wall-mounted receiver. This stat is suitable for installation with all current Ideal Heating combi boiler models.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Ideal Halo Lite RF Thermostat (boxed),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/26/170126_wm.jpg,,,,,N,,,,,,237423,,N,With large colour screen,Simple dial and button interface for ease of use,Easily adjustable schedule with override options,Child lock function prevents unwanted adjustment,,,,,,,,,,,,,,,,,
6,P118868,Vaillant 0020250226 rubber feet ground socket set,Vaillant,83.9,"This pair of large, rubber Vaillant aroTHERM anti-vibration feet are used to dampen noise caused by vibration during heat pump operation.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Vaillant 0020250226 rubber feet ground socket set,,2 x  anti-vibration feet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/68/118868_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_aroTHERM_Plus_AW_HP_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_aroThermPlus_Heat-Pump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/23/44/Vaillant_aroTHERM_Heat_Pump_1522344.pdf,,,,,,,,,
7,P119693,Vaillant aroTHERM plus connection kit - straight pipe,Vaillant,79.44,"Designed for use with air-to-water heat pumps, this Vaillant aroTHERM Plus straight pipe connection kit has a plain-type connection and comes complete with insulation for a neat finish.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Vaillant aroTHERM plus connection kit - straight pipe,,Striaght pipe complete with insulation and fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/93/NW-119693_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/119693_Pipe_ConnectionKit_QuickGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_plus_Technical.pdf,,,,,,,,,,
8,P506183,Inta Anti-Freeze Valves ZERO28 anti-freeze valve 28 mm,Inta,97.73,"A unique design, this Intatec Zero28 130mm anti-freeze valve has been engineered to protect heat pumps operating in water. This valve prevents ice from forming in the heat pump circuit, reducing the risk of expensive and inconvenient damage or breakdowns.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Inta Anti-Freeze Valves ZERO28 anti-freeze valve 28 mm,,ValveInstructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/83/506183_wm.jpg,Anti-Freeze Valves,N/A,2 years,500 g,N,,,130,PipeCompression,,ZERO28,Heat Pump Accessory,N,Wax element situated in water flow,Opening temperature 3°C,Closing temperature 4°C,Compression connections,2 year warranty,,,,,,,,,,,,,,,,
9,P612245,Pump House TR-FB-140-B ASHP trunking - 90deg flat bend 140mm Black,Pump House,24.56,"Supplying a neat professional finish, this Pump House ASHP trunking 90° flat bend is made of fade-resistant black PVC. Suitable for both insulated flow and return pipework, this 140mm width trunking also accommodates all associated cables.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Pump House TR-FB-140-B ASHP trunking - 90deg flat bend 140mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/45/NW-612245_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_ASHP_140mm_Trunking_Tech.pdf,,,,,,,,,,,
