,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5
0,P247008,"Danfoss RA-FN 15 vertical angled valve 1/2""",Danfoss,23.04,"Made from brass with a smart nickel-plated finish, the Danfoss RA-FN radiator valve incorporates R 1/2"" x Rp 1/2"" connections, a chromium steel pressure pin and lifetime lubricated O-ring seal. Designed for use in two-pipe heating systems, the complete gland assembly is easily replaced with no need to drain down the system. It is supplied with a grey protective cap, used for manual regulation during the construction phase. This cap should not be used as a manual shut-off device.","Radiators/Radiator Valves/Commercial Radiator Valves/Commercial Radiator Valves.csv -> Danfoss RA-FN 15 vertical angled valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/08/NW-247008_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_Euro_Cone_R_Valve_Fact_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_Series_D_Technical.pdf,,
1,P246146,"Danfoss RA-FN15 angled valve 1/2"" 15mm",Danfoss,28.02,"Made from brass with a smart nickel-plated finish, the Danfoss RA-FN radiator valve incorporates R 1/2"" x Rp 1/2"" connections, a chromium steel pressure pin and lifetime lubricated O-ring seal. Designed for use in two-pipe heating systems, the complete gland assembly is easily replaced with no need to drain down the system. It is supplied with a grey protective cap, used for manual regulation during the construction phase. This cap should not be used as a manual shut-off device.","Radiators/Radiator Valves/Commercial Radiator Valves/Commercial Radiator Valves.csv -> Danfoss RA-FN15 angled valve 1/2"" 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/46/NW-246146_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Commercial_TRV_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_Domestic_P_Selection_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_Series_D_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesF_Technical.pdf
2,P246147,"Danfoss RA-FN15 straight valve 1/2""",Danfoss,27.65,"Made from brass with a smart nickel-plated finish, the Danfoss RA-FN radiator valve incorporates R 1/2"" x Rp 1/2"" connections, a chromium steel pressure pin and lifetime lubricated O-ring seal. Designed for use in two-pipe heating systems, the complete gland assembly is easily replaced with no need to drain down the system. It is supplied with a grey protective cap, used for manual regulation during the construction phase. This cap should not be used as a manual shut-off device.","Radiators/Radiator Valves/Commercial Radiator Valves/Commercial Radiator Valves.csv -> Danfoss RA-FN15 straight valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/47/NW-246147_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Commercial_TRV_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_Domestic_P_Selection_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_Series_D_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesF_Technical.pdf
3,P246210,"Danfoss RLV-15 angled lock shield valve 1/2 """,Danfoss,33.73,"The Danfoss RLV standard lockshield valve has a nickel-plated finish with internal threaded Rp 1/2"" connection.","Radiators/Radiator Valves/Commercial Radiator Valves/Commercial Radiator Valves.csv -> Danfoss RLV-15 angled lock shield valve 1/2 """,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/10/NW-246210_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RLV_K_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RLV_Drain_Tap_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RLV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_RLV_Installation_Guide.pdf,
4,P246406,"Danfoss RA-N 15 horizontal angled valve 1/2""",Danfoss,27.28,"Made from brass with a smart nickel-plated finish, the Danfoss RA-FN radiator valve incorporates R 1/2"" x Rp 1/2"" connections, a chromium steel pressure pin and lifetime lubricated O-ring seal. Designed for use in two-pipe heating systems, the complete gland assembly is easily replaced with no need to drain down the system. It is supplied with a grey protective cap, used for manual regulation during the construction phase. This cap should not be used as a manual shut-off device.","Radiators/Radiator Valves/Commercial Radiator Valves/Commercial Radiator Valves.csv -> Danfoss RA-N 15 horizontal angled valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/06/NW-246406_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Commercial_TRV_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_Domestic_P_Selection_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesF_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_Series_D_Technical.pdf
5,P246125,"Danfoss RA-G20 angled valve 3/4""",Danfoss,66.72,"Designed for conventional one-pipe heating systems with thermosiphon operation, the Danfoss RA-G radiator valve is a high-capacity, low-resistance valve with large diameter valve cones for high capacities at low proportional offsets. This ensures that comfortable temperatures are maintained under all load conditions. This valve incorporates a gland-seal assembly that can be replaced without specialised tools and with no requirement to drain down. Connections are R 3/4"" x Rp 3/4"".","Radiators/Radiator Valves/Commercial Radiator Valves/Commercial Radiator Valves.csv -> Danfoss RA-G20 angled valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/25/NW-246125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Product_Overview_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_One_Pipe_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Danfoss_Renovation_1Pipe_System_Brcr.pdf
6,P246120,"Danfoss RA-G15 angled valve 1/2""",Danfoss,61.39,"Designed for conventional one-pipe heating systems with thermosiphon operation, the Danfoss RA-G radiator valve is a high-capacity, low-resistance valve with large diameter valve cones for high capacities at low proportional offsets. This ensures that comfortable temperatures are maintained under all load conditions. This valve incorporates a gland-seal assembly that can be replaced without specialised tools and with no requirement to drain down. Connections are R 1/2"" x Rp 1/2"".","Radiators/Radiator Valves/Commercial Radiator Valves/Commercial Radiator Valves.csv -> Danfoss RA-G15 angled valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/20/NW-246120_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Product_Overview_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_One_Pipe_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Danfoss_Renovation_1Pipe_System_Brcr.pdf
7,P248001,Pegler Yorkshire vertical angled TRV 15mm,Pegler,47.81,"This Pegler Yorkshire Belmont commercial 1/2"" commercial angled thermostatic radiator valve (TRV) is suitable for use only in an indirect open-vented or sealed water-filled central heating and indirect hot water systems.",Radiators/Radiator Valves/Commercial Radiator Valves/Commercial Radiator Valves.csv -> Pegler Yorkshire vertical angled TRV 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/01/NW-248001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/P_Y_Terrier_HeatingSolution_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belmont_CommercialRadVlve_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pegler_Yorkshire_Belmont_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Pegler_Yorkshire_Belmont_TRV_Install.pdf,
8,P246152,"Danfoss RA-FN20 straight valve 3/4""",Danfoss,31.35,"Made from brass with a smart nickel-plated finish, the Danfoss RA-FN radiator valve incorporates R 3/4"" x Rp 3/4"" connections, a chromium steel pressure pin and lifetime lubricated O-ring seal. Designed for use in two-pipe heating systems, the complete gland assembly is easily replaced with no need to drain down the system. It is supplied with a grey protective cap, used for manual regulation during the construction phase. This cap should not be used as a manual shut-off device.","Radiators/Radiator Valves/Commercial Radiator Valves/Commercial Radiator Valves.csv -> Danfoss RA-FN20 straight valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/52/NW-246152_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_Euro_Cone_R_Valve_Fact_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_Series_D_Technical.pdf,,
9,P246200,"Danfoss RLV-15 straight lock shield valve 1/2 """,Danfoss,33.73,"The Danfoss RLV standard lockshield valve has a nickel-plated finish with internal threaded Rp 1/2"" connection.","Radiators/Radiator Valves/Commercial Radiator Valves/Commercial Radiator Valves.csv -> Danfoss RLV-15 straight lock shield valve 1/2 """,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/00/NW-246200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RLV_K_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RLV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RLV_Drain_Tap_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_RLV_Installation_Guide.pdf,
