,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Voltage (V),Watts,Weight,Easy Maintenance,Inlets,Clog Resistance,Noise Level,Application,Thickness,Waste Supplied,Bowl Type,Tap Orientation,Drainer Type,Bowl Shape,Main Bowl Size,Second Bowl Size,Main Bowl Size (mm),Minimum Base Unit Size (mm),Waste Kit Included,Pressure,Material Type,Tap Holes
0,PB08926,Nabis Idro swan neck kitchen tap,Nabis,34.75,"The Nabis Idro kitchen tap with swivel spout is supplied with flexible tails for easier installation. Designed to suit any kitchen décor, this deck-mounted tap has a smart chrome finish and ceramic disc valve for precise and smooth turning.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Nabis Idro swan neck kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/26/NW-B08926_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 17 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_MonoKitchenMixer_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PC58119,* @ SWAN QT LEVER 2TH DECK SINK MIXER CP,Swan,39.26,"Practical and attractive, the Swan 167.5mm high arc sink mixer is manufactured in reliably tough brass and has a metallic chrome finish. Deck-mounted, this kitchen mixer tap is operated using 3"" long quarter-turn lever handles fitted with ceramic valves for smoother turning and robust longevity.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> * @ SWAN QT LEVER 2TH DECK SINK MIXER CP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/19/NW-C58119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Swan_C58105_113_119_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/l_/v2/Swan_C58119_Technical v2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PB08914,Nabis Sandia monobloc kitchen tap,Nabis,37.49,Nabis Sandia monobloc kitchen tap with swivelling spout for single or multiple bowl sinks. Suitable for the styling of different kitchen designs depending on user requirement along with high level of quality.,Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Nabis Sandia monobloc kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/14/NW-B08914_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Kitchen_Tap_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 17 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_MonoKitchenMixer_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PC58103,"Swan standard high neck sink pillar taps 1/2"" chrome plated",Swan,25.49,"Swan pillar tap is manufactured to the highest possible standards and designed with a focus on functionality. Provides the user with a high quality, hard-wearing features backed up with a 5 year guarantee for extra peace of mind.","Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Swan standard high neck sink pillar taps 1/2"" chrome plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/03/NW-C58103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Swan_C58103_112_118_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C58103_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PC58107,Swan Standard dual control mono sink mixer tap chrome plated,Swan,32.49,"Swan sink mixer is manufactured to the highest possible standards and designed with a focus on functionality. Provides the user with a high quality, hard-wearing features backed up with a 5 year guarantee for extra peace of mind.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Swan Standard dual control mono sink mixer tap chrome plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/07/NW-C58107_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C58107_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Swan_C58107_C58123_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PC58105,Swan Standard 2 tap hole deck sink mixer tap chrome,Swan,34.0,"Swan sink mixer is manufactured to the highest possible standards and designed with a focus on functionality. Provides the user with a high quality, hard-wearing features backed up with a 5 year guarantee for extra peace of mind.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Swan Standard 2 tap hole deck sink mixer tap chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/05/NW-C58105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Swan_C58105_113_119_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C58105_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PB08925,Nabis Sevier monobloc kitchen tap,Nabis,47.49,"The Nabis Sevier kitchen tap with swivel spout is supplied with flexible tails for easier installation. Finished in chrome, this deck-mounted tap includes a ceramic disc valve for precise and smooth turning.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Nabis Sevier monobloc kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/25/NW-B08925_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Kitchen_Tap_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 17 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_MonoKitchenMixer_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PB08913,Nabis Costeno single lever mono kitchen tap,Nabis,34.76,"Nabis Costeno mono kitchen tap with 40mm mixer cartridge, suits the styling of different kitchen designs depending on user requirement along with high level of quality.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Nabis Costeno single lever mono kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/13/NW-B08913_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Kitchen_Tap_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 17 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_MonoKitchenMixer_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD77414,Bristan Echo easyfit sink mixer tap Chrome,Bristan,101.99,"Modern styling with a slim and elegant design in chrome, the Echo Easy Fit Kitchen Sink Mixer is part of Bristan's stunning contemporary kitchen taps that offer stylish designs. This stylish tap is made from durable brass and finished in Chrome.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Bristan Echo easyfit sink mixer tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/14/NW-D77414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Echo_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D77414_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_Echo_Sinkmixer_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PG62512,Nabis reversible inset sink 1.0 bowl with one tap hole 950 x 508mm Stainless Steel,Nabis,48.25,"A very practical choice for a busy family kitchen, this Nabis inset sink is made of high grade 18/10 stainless steel with seamless soldering and a rigid frame construction, ensuring that it will resist bending and deformation, even when under pressure. This smart sink with bright, glossy finish incorporates a 350mm bowl with reversible drainer and pre-drilled tap hole.",Bathrooms and Kitchens/Kitchen/Kitchen.csv -> Nabis reversible inset sink 1.0 bowl with one tap hole 950 x 508mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/12/NW-G62512_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_SS_Inset_Sink_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CitySinks_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
