,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Warranty,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),UK Total Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Min Air Flow (m/min),Min Sound Pressure,Fuse Size (A),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Feature 5
0,P616569,Fujitsu VRF ARXK014GLGH Indoor Slim Duct 4.5KW,Fujitsu,641.9,"The slimline and compact Fujitsu VRF ARXK014GLGH 4.5kW bulkhead duct low static pressure ducted indoor air conditioning unit is ideal for premises where space is limited or where a larger size unit would negatively affect interior design. Operating quietly to minimise disruption, this AC unit is easy to control for reliable cooling and heating of the whole room.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu VRF ARXK014GLGH Indoor Slim Duct 4.5KW,,Indoor unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/69/616569_wm.jpg,VRF,3 Years,1.6 kg,1,R410a,N,450,3.30,5.0,34 dB,2.90,4.5,760 M/min,340 M/min,22 dB,5,1/2 in,1/4 in,ARXK014GLGH,Ducted unit,N,Slimline design,Suitable for tight ceiling spaces,Selectable air intake direction for flexible siting,3 year warranty,,,
1,P697537,Fujitsu Medium Static Pressure Duct ARXG54KHTAP R32 Medium Indoor Static Duct Unit 14KW,Fujitsu,1076.87,"Ideal for large open plan offices or small shop fronts, the Fujitsu medium static pressure ducted air conditioning unit has a low sound rating down to 21dB for undisruptive use and includes a weekly timer and a 'set temperature auto return' function for reliable, predictable comfort.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu Medium Static Pressure Duct ARXG54KHTAP R32 Medium Indoor Static Duct Unit 14KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/37/NW-697532_697537_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,
2,P697526,Fujitsu Slim Duct ARXG12KLLAP R32 Indoor Slim Duct Unit 3.5KW,Fujitsu,397.29,"Designed for rooms of up to 25M² in size, the Fujitsu Slim Duct air conditioning unit is ideal for bedrooms, small offices or medium living rooms. Automatically switching between heating and cooling modes based on the temperature in the room and the room setting, this unit maintains a perfect temperature all year round.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu Slim Duct ARXG12KLLAP R32 Indoor Slim Duct Unit 3.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/28/NW-697525_697528_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,
3,P697535,Fujitsu Medium Static Pressure Duct ARXG36KHTAP R32 Medium Indoor Static Duct Unit 10KW,Fujitsu,741.08,"Ideal for large open plan offices or small shop fronts, the Fujitsu medium static pressure ducted air conditioning unit has a low sound rating down to 21dB for undisruptive use and includes a weekly timer and a 'set temperature auto return' function for reliable, predictable comfort.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu Medium Static Pressure Duct ARXG36KHTAP R32 Medium Indoor Static Duct Unit 10KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/37/NW-697532_697537_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,
4,P686683,Fujitsu Multi Split ARXG09KSLAP R32 Bulkhead Duct Indoor Unit 2.5KW,Fujitsu,423.74,"This Fujitsu 2.5kW multi-split ARXG09K SLAP R32 bulkhead duct indoor air conditioning unit offers ambient comfort in office, commercial and domestic settings. Suitable for creating a personalised system, several of these units can be linked together via a single outdoor unit.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu Multi Split ARXG09KSLAP R32 Bulkhead Duct Indoor Unit 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/-5/686682-5_wm.jpg,Multi Split,,15.5kgs,1,R-32,N,450,,,,,,,,,,.3/8,1/4,ARXG09KSLAP,Air Conditioner,N,Single Phase 230V 50Hz,Standard type drain pump,R32 compatible,,,,
5,P697536,Fujitsu Medium Static Pressure Duct ARXG45KHTAP R32 Medium Indoor Static Duct Unit 12.5KW,Fujitsu,805.65,"Ideal for large open plan offices or small shop fronts, the Fujitsu medium static pressure ducted air conditioning unit has a low sound rating down to 21dB for undisruptive use and includes a weekly timer and a 'set temperature auto return' function for reliable, predictable comfort.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu Medium Static Pressure Duct ARXG45KHTAP R32 Medium Indoor Static Duct Unit 12.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/37/NW-697532_697537_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,
6,P697534,Fujitsu Medium Static Pressure Duct ARXG30KHTAP R32 Medium Indoor Static Duct Unit 8KW,Fujitsu,706.02,"Ideal for large open plan offices or small shop fronts, the Fujitsu medium static pressure ducted air conditioning unit has a low sound rating down to 21dB for undisruptive use and includes a weekly timer and a 'set temperature auto return' function for reliable, predictable comfort.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu Medium Static Pressure Duct ARXG30KHTAP R32 Medium Indoor Static Duct Unit 8KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/37/NW-697532_697537_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,
7,P697527,Fujitsu Slim Duct ARXG14KLLAP R32 Indoor Slim Duct Unit 4.2KW,Fujitsu,458.18,"Designed for rooms of up to 25M² in size, the Fujitsu Slim Duct air conditioning unit is ideal for bedrooms, small offices or medium living rooms. Automatically switching between heating and cooling modes based on the temperature in the room and the room setting, this unit maintains a perfect temperature all year round.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu Slim Duct ARXG14KLLAP R32 Indoor Slim Duct Unit 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/28/NW-697525_697528_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,
8,P676305,Fujitsu High Static Pressure Duct ARYG90LHTA R410A High Static Duct Indoor Unit,Fujitsu,1690.02,"Employing all DC inverter technology, the Fujitsu Big Duct indoor unit's high static duct system offers high levels of efficiency and performance along with simplified installation. Compact and lightweight, the indoor chassis is designed to reduce the amount of turbulent airflow, meaning quieter operation. This smart air conditioning unit has cooling outputs of up to 22kW and heating outputs up to 27kW.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu High Static Pressure Duct ARYG90LHTA R410A High Static Duct Indoor Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/05/NW-676305_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fujitsu_Big_Duct_Technical.pdf,
9,P686684,Fujitsu Multi Split ARXG12KSLAP R32 Bulkhead Duct Indoor Unit 3.5KW,Fujitsu,515.37,"Helping installers to create the optimum system for any specification, the Fujitsu Multi Split ARXG12KSLAP R32 3.5kW bulkhead duct indoor air conditioning unit is suitable for operation alongside several other air conditioners all controlled by a single outdoor unit. It offers suitability of use in the home or in an office or commercial premises for additional flexibility.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu Multi Split ARXG12KSLAP R32 Bulkhead Duct Indoor Unit 3.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/-5/686682-5_wm.jpg,Multi Split,,1.55 kg,1phase powered from outdoor,R-32,N,450,,4.0,31,,3.5,650,360,23,,.3/8,1/4,ARXG12KSLAP,Duct,N,Single phase,230V 50Hz version,Class 3.5,With standard drain pump,,,Compatible with R32 refrigerant
10,P697525,Fujitsu Slim Duct ARXG09KLLAP R32 Indoor Slim Duct Unit 2.5KW,Fujitsu,377.0,"Designed for rooms of up to 25M² in size, the Fujitsu Slim Duct air conditioning unit is ideal for bedrooms, small offices or medium living rooms. Automatically switching between heating and cooling modes based on the temperature in the room and the room setting, this unit maintains a perfect temperature all year round.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu Slim Duct ARXG09KLLAP R32 Indoor Slim Duct Unit 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/28/NW-697525_697528_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,
11,P697528,Fujitsu Slim Duct ARXG18KLLAP R32 Indoor Slim Duct Unit 5KW,Fujitsu,510.45,"Designed for rooms of up to 25M² in size, the Fujitsu Slim Duct air conditioning unit is ideal for bedrooms, small offices or medium living rooms. Automatically switching between heating and cooling modes based on the temperature in the room and the room setting, this unit maintains a perfect temperature all year round.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu Slim Duct ARXG18KLLAP R32 Indoor Slim Duct Unit 5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/28/NW-697525_697528_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,
12,P697533,Fujitsu Medium Static Pressure Duct ARXG24KHTAP R32 Medium Indoor Static Duct Unit 7.1KW,Fujitsu,596.55,"Ideal for large open plan offices or small shop fronts, the Fujitsu medium static pressure ducted air conditioning unit has a low sound rating down to 21dB for undisruptive use and includes a weekly timer and a 'set temperature auto return' function for reliable, predictable comfort.",Air Conditioning/Fujitsu R32 Indoor Units/Ducted/Ducted.csv -> Fujitsu Medium Static Pressure Duct ARXG24KHTAP R32 Medium Indoor Static Duct Unit 7.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/37/NW-697532_697537_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,
