,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Connection Size,Connection Type,Diameter,Pack Quantity,Connection Type 1,Connection Type 2,Type,Attachment 3,Attachment 4
0,P236564,Center CXC lever ball valve 15mm,Center,4.91,"Suitable for use in hot or cold water systems, this Center CB CXC 15mm 16 bar ball valve is lever-operated. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center CXC lever ball valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/64/236564_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v3/236564 Brass Lever Data Sheet v3.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/61/236561.pdf,,,,,,,,,,,,,,,,,
1,P236547,Center WRAS 30 cm flexible tap connectors 15 x 1/2 2pk,Center,3.19,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these 300mm long Center 15mm x 1/2"" flexible tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS 30 cm flexible tap connectors 15 x 1/2 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/47/236547_wm.jpg,,,N,CMFTCW-15D300,N,Pack of 2,Stainless steel construction,EPDM inner tube,Compression connections,WRAS approved,,,,,,,,,
2,P236561,Center CXC lever ball valve 22mm,Center,7.49,"Suitable for use in hot or cold water systems, this Center CB CXC 22mm 16 bar ball valve is lever-operated. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center CXC lever ball valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/61/236561_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v3/236564 Brass Lever Data Sheet v3.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/61/236561.pdf,,,,,,,,,,,,,,,,,
3,P236542,Center WRAS flexible tap connectors with isolation valves 15x1/2 2pk,Center,6.99,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these Center 15mm x 1/2"" flexible tap connectors with isolation valves can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS flexible tap connectors with isolation valves 15x1/2 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/42/236542_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/236541 236542 236544 Data Sheet.pdf,,,,,,,,,,,,,,,,,,
4,P236549,Center WRAS 30 cm flexible tap connectors 22 x 3/4 2pk,Center,7.49,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these 300mm long Center 22mm x 3/4"" flexible tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS 30 cm flexible tap connectors 22 x 3/4 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/49/236549_wm.jpg,,,N,CMFTCW-22E300,N,Pack of 2,Stainless steel construction,EPDM inner tube,Compression connections,WRAS approved,,,,,,,,,
5,P236567,"Center Chrome Straight Service Valve 15mm x 1/2""",Center,2.26,"Suitable for use in hot and cold water systems, this Center 15mm x 1/2"" straight service valve in chrome isolates part of a water system, reducing the need for complete drainage.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Chrome Straight Service Valve 15mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/67/236567_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v2/236567 Data Sheet v2.pdf,,,,,,,,,,,,,,,,,,
6,P236562,Center Brass Gate Valve with Red Wheel Handle 22mm,Center,6.25,"Suitable for use in hot or cold water systems, this Center 22mm gate valve is wheelhead-operated. A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve  is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Brass Gate Valve with Red Wheel Handle 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/62/236562_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/62/236562.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/v1/ 236563 Gate Valve v1.pdf,,,,,,,,,,,,,,,,,
7,P236545,Center WRAS 30 cm flexible tap connectors 15 x 3/4 2pk,Center,4.81,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these 300mm long Center 15mm x 3/4"" flexible tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center WRAS 30 cm flexible tap connectors 15 x 3/4 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/45/236545_wm.jpg,,,N,CMFTCW-15E300,N,Pack of 2,Stainless steel construction,EPDM inner tube,Compression connections,WRAS approved,,,,,,,,,
8,P236593,Center Chrome Plated Hot & Cold Washing Machine Tap 15mm,Center,2.14,"Chrome-plated, this Center 15mm hot and cold washing machine tap is supplied with colour-coded handles.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Chrome Plated Hot & Cold Washing Machine Tap 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/93/236593_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/p_/v1/236593 HC Washing Machine Tap v1.pdf,,,,,,,,,,,,,,,,,,
9,P236563,Center Brass Gate Valve with Red Wheel Handle 15mm,Center,3.65,"Suitable for use in hot or cold water systems, this Center 15mm gate valve is wheelhead-operated. A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve  is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Flexible Tap Connectors/Flexible Tap Connectors.csv -> Center Brass Gate Valve with Red Wheel Handle 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/63/236563_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/62/236562.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/v1/ 236563 Gate Valve v1.pdf,,,,,,,,,,,,,,,,,
