,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Material Type,Pack Quantity,Range,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Thickness,Feature 7,Feature 8,Feature 9,Connection Size,Connection Type,Diameter,Warranty,Weight,Drainage Product Type,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Application
0,P511330,Talon TS spacer,Talon,0.1,"This Talon TS standard spacer fits to the base of Talon hinged clips, MDPE clips and snap-in open clips, providing 13mm clearance from a fixing surface.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Clips and Clamps/Pipe Clips and Clamps.csv -> Talon TS spacer",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/30/NW-511330_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Spacers_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P511300,Talon TS single hinged wrap over pipe clip 15mm,Talon,0.08,"The Talon TS 15mm single-hinged clip provides secure 360° fixing for pipework. Manufactured in high quality polypropylene, this clip is compatible with size 10 countersunk screws and a variety of sizes can be connected using the dovetail, providing equal pipe spacing.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Clips and Clamps/Pipe Clips and Clamps.csv -> Talon TS single hinged wrap over pipe clip 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/02/NW-511300_511302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Hinged_Clips_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P511302,Talon TS single hinged wrap-over pipe clip 28mm,Talon,0.29,"The Talon TS 28mm single-hinged clip provides secure 360° fixing for pipework. Manufactured in high quality polypropylene, this clip is compatible with size 10 countersunk screws and a variety of sizes can be connected using the dovetail, providing equal pipe spacing.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Clips and Clamps/Pipe Clips and Clamps.csv -> Talon TS single hinged wrap-over pipe clip 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/02/NW-511300_511302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Hinged_Clips_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P511301,Talon TS single hinged wrap over pipe clip 22mm,Talon,0.11,"The Talon TS 22mm single-hinged clip provides secure 360° fixing for pipework. Manufactured in high quality polypropylene, this clip is compatible with size 10 countersunk screws and a variety of sizes can be connected using the dovetail, providing equal pipe spacing.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Clips and Clamps/Pipe Clips and Clamps.csv -> Talon TS single hinged wrap over pipe clip 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/02/NW-511300_511302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Hinged_Clips_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P637076,Lawton Tube MUN single cast munsen ring M10 28mm Brass,Lawton Tube,2.65,"Made of copper with a brass finish, this Lawton Tube MUN 28mm munsen ring is designed for use as a tube support on ceilings and walls. Copper is a cost effective solution for a wide range of pipework applications.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Clips and Clamps/Pipe Clips and Clamps.csv -> Lawton Tube MUN single cast munsen ring M10 28mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/82/NW-637074_637082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P637075,Lawton Tube MUN single cast munsen ring M10 22mm Brass,Lawton Tube,2.24,"Made of copper with a brass finish, this Lawton Tube MUN 22mm munsen ring is designed for use as a tube support on ceilings and walls. Copper is a cost effective solution for a wide range of pipework applications.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Clips and Clamps/Pipe Clips and Clamps.csv -> Lawton Tube MUN single cast munsen ring M10 22mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/82/NW-637074_637082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P637074,Lawton Tube MUN single cast munsen ring M10 15mm Brass,Lawton Tube,0.89,"Made of copper with a brass finish, this Lawton Tube MUN 15mm munsen ring is designed for use as a tube support on ceilings and walls. Copper is a cost effective solution for a wide range of pipework applications.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Clips and Clamps/Pipe Clips and Clamps.csv -> Lawton Tube MUN single cast munsen ring M10 15mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/82/NW-637074_637082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P511041,Center CB hinged wrap over pipe clip 22mm,Center CB,0.12,"This Center CB single hinged pipe clip is sized for use on 22mm copper and uPVC pipe and can be used to support the Ellis Patents pipe cover. Designed with a special hinge to reduce the risk of stress cracking, each clip includes a central fixing hole allowing them to be assembled together using a unique locking mechanism.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Clips and Clamps/Pipe Clips and Clamps.csv -> Center CB hinged wrap over pipe clip 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/42/NW-511040_511042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Center_CB_LTD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P511040,Center CB hinged wrap over pipe clip 15mm,Center CB,0.08,"This Center CB single hinged pipe clip is sized for use on 15mm copper and uPVC pipe and can be used to support the Ellis Patents pipe cover. Designed with a special hinge to reduce the risk of stress cracking, each clip includes a central fixing hole allowing them to be assembled together using a unique locking mechanism.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Clips and Clamps/Pipe Clips and Clamps.csv -> Center CB hinged wrap over pipe clip 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/42/NW-511040_511042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Center_CB_LTD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P511042,Center CB hinged wrap over pipe clip 28mm,Center CB,0.18,"This Center CB single hinged pipe clip is sized for use on 28mm copper and uPVC pipe and can be used to support the Ellis Patents pipe cover. Designed with a special hinge to reduce the risk of stress cracking, each clip includes a central fixing hole allowing them to be assembled together using a unique locking mechanism.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Clips and Clamps/Pipe Clips and Clamps.csv -> Center CB hinged wrap over pipe clip 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/42/NW-511040_511042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Center_CB_LTD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
