,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Warranty,Hazardous,Design Type,Material,Shape,Fittings Included,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Feature 10,Feature 11,Feature 12,Type
0,PN66493,Ideal Standard i.Life S compact back-to-wall WC,Ideal Standard,206.71,"A simple design for modern interiors, this Ideal Standard i.Life S compact back-to-wall RimLS+ open bowl WC pan has been created for reduced water waste. This contemporary designer toilet forms part of the wider i.Life S range, allowing you to create a harmonious bathroom suite that makes the most the available space, even in the smallest room in the house.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard i.Life S compact back-to-wall WC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/93/N66493_wm.jpg,White,i.Life S,Lifetime,N,Contemporary,Vitreous China,Oval,Yes,E255901,N,Designed by Palomba Serafini Associati,Compact design,Vitreous china construction,White finish,Back-to-wall installation,Water efficient design,With RimLS+ flush technology,Slow close seat sold separately,Lifetime warranty,,,,,,,,,,
1,PD81427,Ideal Standard iLife closed couple comfort height wc bowl,Ideal Standard,230.56,"A sleek, modern design, the Ideal Standard i.Life S close-couple back-to-wall comfort height toilet offers a space-saving design ideal for bathrooms with limited room to manoeuvre. Offering a touch of luxury.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard iLife closed couple comfort height wc bowl,,Pan only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/27/D81427_wm.jpg,White/Gloss,iLIFE,Lifetime,N,Close Coupled,Ceramic,Oval,Yes,E247601,N,Designed by Palomba Serafini Associati,RimLS+ flush technology for water efficiency,Back-to-wall installation,Ceramic construction,Gloss white finish,Lifetime warranty,Pan only,,,,,,,,,,,,
2,PN66486,Ideal Standard iLife close-coupled toilet bowl with RimLS+,Ideal Standard,132.5,"A simple design for modern interiors, this Ideal Standard i.Life close-coupled RimLS+ open bowl WC pan has been created for reduced water waste.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard iLife close-coupled toilet bowl with RimLS+,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/86/N66486_wm.jpg,White/Gloss,iLIFE,Lifetime,N,Palomba Serafini Associati,Ceramic,rounded/curved,Yes,E247501,N,Designed by Palomba Serafini Associati,Push-button dual flush,Horizontal outlet,Ceramic pan,White finish,Water efficient design,RimLS+ flush technology,Lifetime warranty,,,,,,,,,,,
3,PD81426,Ideal Standard iLife back to wall W/C bowl with horizontal outlet,Ideal Standard,163.82,"A designer choice for a modern bathroom, the Ideal Standard iLife back-to-wall WC bowl is manufactured in robust vitreous china with a glossy white finish. Part of a broad collection complete with furniture units, soft close toilet seats and more, this toilet pan can form part of a stylish matching suite.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard iLife back to wall W/C bowl with horizontal outlet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/26/D81426_wm.jpg,White/Gloss,iLIFE,Lifetime,N,Palomba Serafini Associati,Vitreous China,Round / Curved,Yes,E247401,N,Designed by Palomba Serafini Associati,Water efficient design,RimLS+ flush technology,Dedicated furniture unit available,Vitreous china construction,White gloss finish,Horizontal outlet,With fixings,Lifetime warranty,,,,,,,,,,
4,PJ01071,Twyford Option WC pan,Twyford,57.97,"Twyford Option provides a series of fully adaptable and durable products that are not only affordable, but offer stylish bathroom solutions. The Option Close Coupled Toilet Pan has a horizontal outlet and is capable of 6 or 4 Litre environmentally friendly flush, saving you water. Combine with Twyford Option CC Cistern •	Colour White •	Volume 6/4ltr •	Weight 13.00Kg •	Material: Vitreous China •	Fixings: WC screwed to floor",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Twyford Option WC pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/J01071_Primary_Image_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Option_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/J01071_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Twyford_Option_Toilet_Cisterns_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/op/10/Twyford_Option_WCs_DoP10.pdf,,,,,,
5,PB61628,Nabis Lamone close coupled horizontal outlet pan,Nabis,101.99,"Part of a water-saving bathroom range, the Nabis Lamone close coupled toilet pan with horizontal outlet has an elongated design for a smooth, elegant look. Built in white vitreous china, the Lamone offers space saving simplicity.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Nabis Lamone close coupled horizontal outlet pan,,Toilet panToilet basin fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/28/NW-B61628_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Phase_II_Ceramic_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_Toilet-20Seats_Matrix_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ee/ts/Nabis_Data_Sheets.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ee/ts/NABIS_SUITES_DATA_SHEETS.pdf,,,,,
6,PD12094,Roca Havana WC close coupled pan,Roca,49.62,"Designed to suit the majority of bathrooms, the Roca Havana close-coupled WC pan is made of a tough white ceramic with a gently rounded profile.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Roca Havana WC close coupled pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/94/NW-D12094_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Primary_Collection_Brochure.pdf,,,,,,,,,
7,PB61734,Nabis Lamone push button cistern close coupled pan WRAS,Nabis,29.26,"Made of white vitreous china, this Nabis Lamone close-coupled cistern has a smart, contemporary square design and offers push-button operation.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Nabis Lamone push button cistern close coupled pan WRAS,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/34/NW-B61734_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabis_Bathroom_Suites_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_B61734_Technical.pdf,,,,,,,,
8,PA03808,Nabis Affinity wall hung toilet pan white,Nabis,144.09,"Finished in crisp, clean white, this contemporary Nabis Affinity wall hung toilet pan is the ideal addition to your modern styled bathroom.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Nabis Affinity wall hung toilet pan white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/08/NW-A03808_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/A03808_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_WC_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Nabis_Affinity_Product_Guide.pdf,,,,,,
9,PB61038,Nabis Pride wall hung pan White,Nabis,118.59,"Made of vitreous china with a smart white finish, the Nabis Pride wall-hung toilet pan has a contemporary, curved profile for a light, airy look.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Nabis Pride wall hung pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/38/NW-B61038_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ea/ts/Nabis_TDS_Toilet Seats.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabis_31451_Collection_2018_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_Toilet Seats_Matrix_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/WC_Fitting_Instructions.pdf,,,,
10,PD74709,Ideal Standard i.Life S compact back-to-wall rimless WC pan with horizontal outlet,Ideal Standard,216.25,"A designer choice for a modern bathroom, the Ideal Standard iLife S compact back-to-wall rimless WC bowl is manufactured in robust vitreous china with a glossy white finish. With a reliably powerful flush and no overhanging rim, this toilet ensures thorough flushing and easy cleaning. Part of a broad collection of space saving pieces complete with furniture units, soft close toilet seats and more, this toilet pan can form part of a stylish matching suite.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard i.Life S compact back-to-wall rimless WC pan with horizontal outlet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/09/D74709_wm.jpg,White,i.Life S,Lifetime,N,Contemporary,Vitreous China,Oval,Yes,T519701,N,Compact design,Designed by Palomba Serafini Associati,Slow close seat option,Quick release seat for ease of cleaning,Water efficient design,RimLS+ flush technology,Dedicated furniture unit available,Vitreous china construction,White gloss finish,,,,,,,Horizontal outlet,With fixings,Lifetime warranty,
11,PD64398,Ideal Standard Sandringham 21 smooth close coupled WC pan with horizontal outlet,Ideal Standard,97.34,"This Ideal Standard Sandringham 21 close coupled curved toilet pan is part of a comprehensive and popular range of sanitaryware, bathing and brassware. This water-saving, easy-clean toilet is suitable for domestic or public use.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard Sandringham 21 smooth close coupled WC pan with horizontal outlet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/98/NW-D64398_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E8221_E8999_E1316_S9101_Tech.pdf,,,,,,,,,
12,PD04661,Ideal Standard Tempo wall hung horizontal output toilet pan White,Ideal Standard,242.16,"Ideal for family homes, hotels and other commercial spaces, the Ideal Standard Tempo wall hung curved design toilet pan with horizontal outlet has a streamlined design with easy to clean, safe and sleek smooth edges. Part of the comprehensive Tempo bathroom furniture range, this pan helps to create a feeling of space in a compact room.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard Tempo wall hung horizontal output toilet pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/61/NW-D04661_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_T327501_WC_Pan_Tech.pdf,,,,,,,,,
13,PC24476,Ideal Standard Concept wall hung toilet pan with AquaBlade technology White,Ideal Standard,287.82,"The Ideal Standard Concept wall hung toilet pan has a contemporary curved design and features the brand's cutting-edge water-saving flush technology for higher performance, improved hygiene and easier cleaning.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard Concept wall hung toilet pan with AquaBlade technology White,,Toilet pan;Bots;Hidden fixing set,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/76/NW-C24476_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E047301_WC_Pan_Tech.pdf,,,,,,,,,
14,PD45058,Roca Debba wall hung pan,Roca,271.58,"Suitable for just about any bathroom, the Roca Debba wall-hung WC pan has an understated design that will blend into a period scheme just as easily as a modern one. With its smart white finish, this vitreous china toilet bowl is built to last.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Roca Debba wall hung pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/58/NW-D45058_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_346997000_Technical.pdf,,,,,,,,,
15,PD45012,Roca The Gap floor-standing close coupled rimless WC with dual outlet,Roca,134.76,"The square Roca The Gap floor standing WC pan has a contemporary yet classic silhouette that will look good in most bathrooms. This close-coupled toilet is part of a range of bathroom fixtures and fittings, from basins to vanity units, that will allow you to create a seamless decor scheme.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Roca The Gap floor-standing close coupled rimless WC with dual outlet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/12/NW-D45012_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A342479000_Technical.pdf,,,,,,,,,
16,PD59030,Roca Vitreous China Rimless Wall-Hung Wc,Roca,271.58,"The Roca Debba rimless wall-hung toilet pan is part of the wider Debba range, helping to make choosing bathroom fittings simple. This WC is manufactured in robust vitreous china with a classic white finish.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Roca Vitreous China Rimless Wall-Hung Wc,,The Product and Fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/30/D59030_wm.jpg,White,,25,N,Rimless Wall Hung,VC,Round,Yes,A34699L000,N,Vitreous china construction,White colour,For wall mounting,25 year warranty,,,,,,,,,,,,,,,
17,PD74707,Ideal Standard i.Life S compact wall-mounted rimless WC pan with horizontal outlet,Ideal Standard,240.28,"A compact design, the Ideal Standard i.Life S toilet pan with horizontal outlet offers rimls+ technology for improved hygiene and ease of cleaning. Part of a wide range of matching space-saving fittings for contemporary bathrooms, the wall-mounted i.Life S WC pan is fitted using EasyFix for quicker, simpler and safer installation.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard i.Life S compact wall-mounted rimless WC pan with horizontal outlet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/07/D74707_wm.jpg,White,i.Life S,Lifetime,N,Contemporary,Vitreous China,Rectangular,Yes,T459201,N,Designed by Palomba Serafini Associati,Modern design,Wall-mounted installation,Rimless for hygiene,Vitreous china construction,White colour,Lifetime warranty,,,,,,,,,,,,
18,PT02632,Ideal Standard Tesi wall hung WC bowl with aquablade technology,Ideal Standard,262.92,"The geometric lines of the Ideal Standard Tesi wall hung toilet pan with horizontal outlet and hidden fixtures make it an ideal addition to a contemporary bathroom design. Part of an extensive range of bathroom furnishings, the Tesi toilet incorporates Ideal Standard's Aquablade flushing technology for improved hygiene, performance and water saving.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Ideal Standard Tesi wall hung WC bowl with aquablade technology,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/32/NW-T02632_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_T354501_WC_Pan_Tech.pdf,,,,,,,,,
19,PT41685,Scudo Deia 485mm x 455mm x 365mm rimless comfort height back to wall WC Pan - White,Scudo,197.15,"Slim and elegant, the Scudo Deia 485 x 455 x 365mm comfort height back-to-wall toilet helps installers to make the most of available bathroom space. A rimless WC for hygienic ease of cleaning, the Deia is designed with slightly taller dimensions for added comfort for tall users or those with back or mobility problems.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Scudo Deia 485mm x 455mm x 365mm rimless comfort height back to wall WC Pan - White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/85/T41685_wm.jpg,White,,25 Years,N,D Shape,Vitreous China,D-Shape,N/A,DEIA010,N,Slimline design,Rimless for hygiene,Comfort height,Vitreous china construction,White finish,25 year warranty,,,,,,,,,,,,,
20,PB61679,Nabis Studio close coupled pan,Nabis,150.77,"A perfect choice for cloakrooms, en suites and smaller bathrooms, the Nabis Studio close coupled modern toilet pan has an ultra-space saving, contemporary design that makes the most of your available room.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Nabis Studio close coupled pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/80/NW-B61679_B61680_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_PhaseII_Ceramic_Info_30Aug2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,
21,PB47404,Twyford Alcona Flushwise wall hung toilet pan White,Twyford,99.88,"Suitable for a wide range of locations, from schools to hotels to homes, the Twyford Alcona Flushwise wall hung toilet pan with horizontal outlet has an eco-friendly water saving 4/2.6L dual flush and the option to add a soft close seat for quieter use.",Bathrooms and Kitchens/Toilets/Wall Hung Toilet Pans/Wall Hung Toilet Pans.csv -> Twyford Alcona Flushwise wall hung toilet pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/04/NW-B47404_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Twyford_Alcona_Wall_Hung_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Alcona_Wall_Hung_WC_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Twyford_ConcledCisternMatrixBrochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Twyford_DoP10_WCs_Certificate.pdf,,,,,,
