,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Projection Depth,Range,Style,Warranty,Watts,Weight,Hazardous,Fuel Source,Material,Orientation,Shape,Wall to Centre Tapping,BTU h,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11
0,P276286,Stelrad Compact K3 K3 radiator 600 x 1800mm,Stelrad,395.39,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 1800 x 600mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Radiators/Central Heating Radiators/Panel Radiators/Triple panel triple convector K3 radiators (Type 33)/Triple panel triple convector K3 radiators (Type 33).csv -> Stelrad Compact K3 K3 radiator 600 x 1800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P276298,Stelrad Compact K3 K3 radiator 700 x 1600mm,Stelrad,400.01,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 1600 x 700mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Radiators/Central Heating Radiators/Panel Radiators/Triple panel triple convector K3 radiators (Type 33)/Triple panel triple convector K3 radiators (Type 33).csv -> Stelrad Compact K3 K3 radiator 700 x 1600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P276300,Stelrad Compact K3 K3 radiator 700 x 2000mm,Stelrad,498.94,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 2000 x 700mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Radiators/Central Heating Radiators/Panel Radiators/Triple panel triple convector K3 radiators (Type 33)/Triple panel triple convector K3 radiators (Type 33).csv -> Stelrad Compact K3 K3 radiator 700 x 2000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P276288,Stelrad Compact K3 K3 radiator 600 x 2400mm,Stelrad,710.95,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 2400 x 600mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Radiators/Central Heating Radiators/Panel Radiators/Triple panel triple convector K3 radiators (Type 33)/Triple panel triple convector K3 radiators (Type 33).csv -> Stelrad Compact K3 K3 radiator 600 x 2400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P207409,Stelrad Elite 600 1400 triple panel radaitor White,Stelrad,267.78,"A robust and attractive unit finished in clean white to suit the majority of interiors, the Stelrad Elite 600 x 1400mm triple panel radiator has a traditional round topped design and tough steel construction. Offering a heat output of 12,011 BTU/h, this reliable radiator is delivered complete with colour-coded fittings for ease of installation and in tough packaging that keeps its smart powder-coating scuff and chip-free throughout transport and fitting.",Radiators/Central Heating Radiators/Panel Radiators/Triple panel triple convector K3 radiators (Type 33)/Triple panel triple convector K3 radiators (Type 33).csv -> Stelrad Elite 600 1400 triple panel radaitor White,,Radiator and brackets,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/09/207409_wm.jpg,,,,White,158,Elite,Traditional,10 Years,3520,70.56 kg,N,Hydronic,Steel,Horizontal,Straight,73,12011,3563314,Triple Convector Radiator,N,Steel construction,White powder-coated finish,Guaranteed to perform to a maximum working pressure of 116 psi,Symmetrical convectors for either way up mounting,All tappings perfectly aligned,Includes high quality nickel-plated plugs and vents,"Robust packaging protects the radiator during storage, transit and installation",Complete with fittings,Includes colour-coded lables for easy identification of parts,Complies with BS EN442,10 year warranty
5,P276262,Stelrad Compact K3 K3 radiator 300 x 2000mm,Stelrad,256.59,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 2000 x 300mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Radiators/Central Heating Radiators/Panel Radiators/Triple panel triple convector K3 radiators (Type 33)/Triple panel triple convector K3 radiators (Type 33).csv -> Stelrad Compact K3 K3 radiator 300 x 2000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/67/NW-276261_276267_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P276279,Stelrad Compact K3 K3 radiator 600 x 800mm,Stelrad,186.06,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 800 x 600mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Radiators/Central Heating Radiators/Panel Radiators/Triple panel triple convector K3 radiators (Type 33)/Triple panel triple convector K3 radiators (Type 33).csv -> Stelrad Compact K3 K3 radiator 600 x 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P276273,Stelrad Compact K3 K3 radiator 500 x 2000mm,Stelrad,394.57,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 2000 x 500mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Radiators/Central Heating Radiators/Panel Radiators/Triple panel triple convector K3 radiators (Type 33)/Triple panel triple convector K3 radiators (Type 33).csv -> Stelrad Compact K3 K3 radiator 500 x 2000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P276293,Stelrad Compact K3 K3 radiator 700 x 900mm,Stelrad,234.14,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 900 x 700mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Radiators/Central Heating Radiators/Panel Radiators/Triple panel triple convector K3 radiators (Type 33)/Triple panel triple convector K3 radiators (Type 33).csv -> Stelrad Compact K3 K3 radiator 700 x 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P276296,Stelrad Compact K3 K3 radiator 700 x 1200mm,Stelrad,302.94,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 1200 x 700mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Radiators/Central Heating Radiators/Panel Radiators/Triple panel triple convector K3 radiators (Type 33)/Triple panel triple convector K3 radiators (Type 33).csv -> Stelrad Compact K3 K3 radiator 700 x 1200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
