,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Pack Quantity,Attachment 6,Attachment 7,Feature 9,Feature 10,Colour,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Seasonal Space Heating Energy Efficiency %,Feature 18,Feature 19,Max Vertical Level Flue Length (metres),Attachment 8,Attachment 9,Rated Heat Output (Prated or Psup),Seasonal Space Heating Energy Efficiency Class
0,P141647,Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi 30kw,Worcester Bosch,1259.0,"The wall-mounted Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler offers an attractive design, improved installation and excellent performance. ErP A-rated for energy efficiency and water heating efficiency, this 30kW condensing combi boiler includes an intuitive display panel for ease of use.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi 30kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/58/141645_141658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_30_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P125247,Ideal Heating 228319 I-mini 2 C24,Ideal Heating,650.81,"Exclusive to Wolseley, the Ideal i-mini2 C24 combi boiler offers simplified installation and easy servicing, making it a particularly attractive proposition for heating engineers looking to maximise their time. Ultra-compact, this lightweight boiler has a range of flueing options for flexible siting while the reduced number of internal components means there's less to go wrong - great news for your clients. Easy to operate, the i-mini2 delivers hot water quickly for frustration-free use.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal Heating 228319 I-mini 2 C24,,Boiler only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/47/125247_wm.jpg,,,,,,9.9,Natural Gas,I-Mini,5 Years,32.7 kg,A,N,A,24 kW,278,No,89.6,Wall Mounted,228319,Combi Boiler,N,With easy-read pressure gauge,Low lift weight for ease of installation,Low component count for reliability,High SEDBUK efficiency,Fast hot water response using DHW preheat,Compact cupboard fit for convenient installation,ErP A rated,5 year warranty,,,,,,,,,,,,,,,,,,,,,
2,P125236,Ideal Heating Logic 228335 logic max combi 2 C30,Ideal Heating,1106.95,"The latest iteration in Ideal's award-winning Logic range, this Ideal Logic Max2 C30 boiler is designed for compatibility with easy to install Halo controls. Compact and neatly designed with under-boiler connections, this cupboard-fit 30kW combi boiler allows for easy, quick installation into the average kitchen or utility room cupboard. A high-res screen makes commissioning and use of the Logic Max2 simple while an A rating for efficiency helps to minimise running costs.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal Heating Logic 228335 logic max combi 2 C30,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/37/125235_125137_wm.jpg,,,,,,,Natural Gas,Logic,10 Years,34.8,A,N,A,30 kW,310,No,89.6,Wall Mounted,228335,Combi Boiler,N,Made in the UK<multisep/>Compact cupboard fit<multisep/>Large high resolution colour screen<multisep/>Compatible with the Halo smart programmable thermostat range<multisep/>High quality brass system filter to protect your central heating system<multisep/>A rated for efficiency<multisep/>10 year parts and labour warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P128801,Ideal Heating Logic 228308 logic combi 2 C30 (1),Ideal Heating,975.63,"Built on the success of Ideal's award-winning Logic range, this Ideal Logic2 C30 boiler offers complete compatibility with easy to install Halo controls. Fitted using under-boiler connections for a compact fit, this 30kW combi boiler slots into a kitchen cupboard for fast, easy installation in the most convenient spot. Both commissioning and daily operation of the efficient, A-rated Logic Max2 is easy thanks to its high-res, full colour screen.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal Heating Logic 228308 logic combi 2 C30 (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/02/128800_128802_wm.jpg,,,,,,,Natural Gas,Logic,2 years,34.8,A,N,A,30 kW,310,No,89.6,Wall Mounted,228308,Combi Boiler,N,"For wall mounted installation<multisep/>Compact design ideal for cupboard fitting<multisep/>Built in the UK<multisep/>With concealed connections under boiler<multisep/>Fully compatible with easy-fit Halo controls<multisep/>Includes large, high resolution colour screen for ease of operation<multisep/>A rated for efficiency<multisep/>2 year warranty",,,,,,,,1,,,,,,,,,,,,,,,,,,,,
4,P146437,Vaillant ecoTEC pro 28 combination boiler,Vaillant,1074.23,"Ideal for smaller family homes, the Vaillant ecoTec pro 28 combi boiler brings together high levels of efficiency with reliability and sleek, contemporary design. Offering a fuel bill saving ErP A rating, this 28kW output combi boiler, featuring an ErP modulating Grundfos pump system, reduces waste and, if used alongside the aroTherm air-to-water hybrid pump system, can help families to make the move into renewable energy use. Installation and service of the ecoTec pro is easy thanks to features such as removable side panels and a push-fit flue system while an intuitive backlit control display makes day-to-day use more than manageable.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Vaillant ecoTEC pro 28 combination boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/38/146436_146438_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC_pro_Spare_Parts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_ecoTEC_pro_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoTEC_pro_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Vaillant_Heat_Exchanger_Maintenance.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/146437_ErP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_ecoTEC_pro_Technical.pdf,,,,,,,,,,,,,,,,,,
5,P333180,Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler only 30kW pack,Worcester Bosch,1098.0,"The wall-mounted Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler offers an attractive design, improved installation and excellent performance. ErP A-rated for energy efficiency and water heating efficiency, this 30kW condensing combi boiler includes an intuitive display panel for ease of use.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler only 30kW pack,,Wall mounted gas-fired condensing combi appliance;Wall mounting frame;Bottom panel;Siphon;PRV installer connection elbow;Hardware ;literature pack;Installation ;maintenance instructions;User instructions;Wall mounting template;Fittings pack;Condensate si,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/85/333179_333185_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_30_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P115084,Baxi Baxi Assure 530 combi 2 natural gas boiler,Baxi,1281.25,"Compact and attractive, the wall-mounted Baxi Assure 530 Combi 2 natural gas boiler will fit effortlessly into most households. Supplied with fittings, valves and a filling link, this smart 30kW boiler provides highly reliable central heating and instantaneous hot water while maintaining an ErP A rating for energy efficiency.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Baxi Baxi Assure 530 combi 2 natural gas boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/84/115084_wm.jpg,,,,,,12.2,Natural Gas / LPG,Baxi Assure,2,KG,A,N,A,30 kW,285,,94,Bracket,7814310,Boiler,N,Supplied with mounting bracket and screws,Includes isolation valves and rigid filling link,Suitable for natural gas or LPG,A rating for energy efficiency,94% SAP rating,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,
7,P141645,Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi 25kw,Worcester Bosch,1120.0,"The wall-mounted Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler offers an attractive design, improved installation and excellent performance. ErP A-rated for energy efficiency and water heating efficiency, this 25kW condensing combi boiler includes an intuitive display panel for ease of use.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi 25kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/58/141645_141658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/GR4700iW_25_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P333023,Vokera Excel i 30 20188734 combi boiler only pack,Vokera,430.0,"Exclusively available to Wolseley customers, the Vokera Excel-i 30 combi boiler accepts a 20% hydrogen blend but is also suitable for operation via a methane-hydrogen blend to meet the requirements of imminent network switchovers. Fitted with a large bore stainless steel heat exchanger, this robust 30kW boiler is designed for reduced downtime, operating efficiently and reliably with regular servicing. Thanks to its simple, modern digital user interface, the Excel-i is easy to operate and commission with quick navigation through settings with no need to constantly refer back to the unit's instruction manual.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Vokera Excel i 30 20188734 combi boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/43/105642_105643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Vokera_Excel-i_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P333109,Alpha E-Tec Nx 28kW Combi Boiler,Alpha,570.0,"Offering great efficiency and flexible installation, the Alpha E-Tec 28NX system boiler, fitted with a modern stainless steel heat exchanger, is compact in size, lightweight and quiet during operation thanks in part to its clever double case design. Easy to use and to commission, this well-designed 28kW natural gas boiler has an intuitive backlit display and simplified control panel for hassle-free time and temperature setting.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Alpha E-Tec Nx 28kW Combi Boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_9/04/195895_904_wm.jpg,,,,,,12.1,Natural Gas,,7 Years,3.8,A,N,A,28 kW,255,,89.4,Wall Hung,333109 PK,System Boiler,N,For wall mounted installation,Lightweight thermoplastic moulded stainless steel main heat exchanger,Quiet operation thanks to double casing design,Backlit display for ease of operation,"Simple, modern control panel interface",With removable push-fit flue connection,Range output is fully adjustable,Fitted with Delta T variable speed pump,,,,ErP A rating,7 year warranty,,,,,,,,,,,,,,,,
