,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,By Model Number,Supplier Product Code,Type,WEEE Compliant,Connection,Connection Size,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Voltage (V),Output (W),Operating Temperature,Warranty,Phase,Frequency,Attachment 1
0,P406958,Riello RDB motor with capacitor,Riello,154.39,"This Riello RDB motor with capacitor is suitable for use in Heatslave II 12/18, 12/18 External, 25/32, 25/32 External, 18/25 and 18/25 External units.",Heating/Burner Parts/Motors/Motors.csv -> Riello RDB motor with capacitor,,,https://www.wolseley.co.uk/wcsstore/WolseleyStorefrontAssetStore/images/NoImageIcon.jpg,N,"Heatslave II 12/18 External,Heatslave II 18/25 External,Heatslave II 12/18,Heatslave II 25/32 External,Heatslave II 25/32,Heatslave II 18/25",87161166370,RDB Motor,N,,,,,,,,,,,,,,,,,,,
1,P353076,Eph Controls V222P 2 port motorised valve 22 mm,Eph Controls,65.9,"Specifically designed for domestic use, the EPH Controls Detach Pro 2-port motorised valve can be used in central heating or hot water systems.",Heating/Burner Parts/Motors/Motors.csv -> Eph Controls V222P 2 port motorised valve 22 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/76/353076_wm.jpg,N,,V222P,Motorised Valve,N,Compression,22 mm,GB/T20667-2006,Hpb59-1,22 mm,Ambient: 50,Domestic,For use in hot water or central heating circuits,For domestic use,With two ports,Yellow colour,22mm compression connections,,,,,,,
2,P416846,Nu-Way 3UF230V burner motor 90w,Nu-Way,131.27,The Nuway 3UF 230V 90W burner motor drives the fuel pump and fan wheel in a burner. It is compatible with Nuway Sterling ST35 S1S 63 and ST40 S1S 63 oil burners.,Heating/Burner Parts/Motors/Motors.csv -> Nu-Way 3UF230V burner motor 90w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/46/NW-416846_wm.jpg,N,,BN12090501,Burner Motor,N,,,,,,,,This drives the fuel pump and fan wheel on the burner,Plug cable and coupling included for direct connection,,,,230,90,,,,,
3,P466588,Ecoflam burner motor 90w,Ecoflam,91.69,An Ecoflam M181/21 240V 90W three phase motor.,Heating/Burner Parts/Motors/Motors.csv -> Ecoflam burner motor 90w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/88/NW-466588_wm.jpg,N,M181/21,65322870,Motor,N,,,,,,,,Metal colour,1 year warranty,,,,240,90,8 to 28,1 year,3,50/60,
4,P466589,Ecoflam motor 70w,Ecoflam,114.45,An Ecoflam M186/1 three phase 240V 70W motor.,Heating/Burner Parts/Motors/Motors.csv -> Ecoflam motor 70w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/89/NW-466589_wm.jpg,N,M186/1,65322883,Motor,N,,,,,,,,Black and blue colour,1 year warranty,,,,240,70,8 to 28,1 year,3,50/60,
5,PU82573,Riello motor,Riello,228.43,"This Riello 3008964 motor is compatible with a wide range of boilers including Danesmoor, Greenstar and Firebird models.",Heating/Burner Parts/Motors/Motors.csv -> Riello motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/73/NW-U82573_wm.jpg,N,"DANESMOOR HE 32/50 OOO GB U'LITY,DANESMOOR HE 50/70 OOO GB U'LITY",87161091870,Motor,N,,,,,,,,,,,,,,,,,,,
6,P456818,Riello burner motor (Each),Riello,104.7,"This Riello 3007971 motor is compatible with Riello 419 T 55, 424 T 55, 437 T 50, 437 T 55, 444 T 50, 459 T 55 and 464 T 50 burners.",Heating/Burner Parts/Motors/Motors.csv -> Riello burner motor (Each),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/18/NW-456818_wm.jpg,N,"RIELLO 464 T 50,RIELLO 419 T 55,RIELLO 437 T 55,RIELLO 444 T 50,RIELLO 459 T 55,RIELLO 437 T 50,RIELLO 424 T 55",87161092440,Motor,N,,,,,,,,,,,,,,,,,,,
7,P439826,Eogb 1 phase motor 250w 2800rpm,Eogb,126.19,"Easy to install, this Remco 230V 250W single phase motor offers excellent durability.",Heating/Burner Parts/Motors/Motors.csv -> Eogb 1 phase motor 250w 2800rpm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/26/NW-439826_wm.jpg,N,,M02-1-250-04,Motor,N,,,,,,,,Easy Installation,Durable,,,,230,250,,,1,,
8,P437892,Eogb motor 70w 1ph (Each),Eogb,104.58,This EOGB M02-1-70-03 70W single phase motor is compatible with the EOGB B9 oil burner.,Heating/Burner Parts/Motors/Motors.csv -> Eogb motor 70w 1ph (Each),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/92/NW-437892_wm.jpg,N,,M02-1-70-03,Motor,N,,,,,,,,70W,,,,,,70,,,1,,
9,P466532,Ecoflam motor 240v 75w,Ecoflam,74.85,This Ecoflam M110/3 240V 70W three phase motor is compatible with Ecoflam Minor appliances.,Heating/Burner Parts/Motors/Motors.csv -> Ecoflam motor 240v 75w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/32/NW-466532_wm.jpg,N,M110/3,65322784,Motor,N,,,,,,,,Metal colour,1 year warranty,,,,240,70,8 to 28,1 year,3,50/60,
10,P430760,Viessmann cartridge with step motor,Viessmann,44.01,"Made of EPDM, this Viessmann heating return hose kit is suitable for Vitodens 100-W WB1C 19KW System, 100-W WB1C 30KW System, 100-W WB1C 30KW Combi, 100-W WB1C 35KW Combi, 100-W WB1C 26KW System, 100-W B1KA 35KW Combi, 100-W WB1C 35KW System and 100-W WB1C 30KW Combi boilers.",Heating/Burner Parts/Motors/Motors.csv -> Viessmann cartridge with step motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/60/NW-430760_wm.jpg,N,,7837230,Hose Kit,N,,,,,,,,Heating return hose,EPDM material,,,,,,,,,,
11,P416139,Watts Industries Electro Controls weatherproof valve motor cover,Watts Industries,50.37,"Made of PVC and nylon, this Watts Industries Electro Controls weatherproof valve motor cover protects valve motors against weather conditions.",Heating/Burner Parts/Motors/Motors.csv -> Watts Industries Electro Controls weatherproof valve motor cover,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/39/NW-416139_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/WI_ElectroControls_Catalogue_2017.pdf
12,P416140,Watts Industries Electro Controls linkage kit mk15 mk50 scr valve,Watts Industries,185.85,A Watts Industries Electro Controls Mk15 Mk50 SCR valve linkage kit.,Heating/Burner Parts/Motors/Motors.csv -> Watts Industries Electro Controls linkage kit mk15 mk50 scr valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/40/NW-416140_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WI_Electro_Controls_Brochure.pdf
13,P466523,Ecoflam motor 100w,Ecoflam,87.11,This Ecoflam M113/3 240V 100W three phase motor is compatible with the Minor 4 burner.,Heating/Burner Parts/Motors/Motors.csv -> Ecoflam motor 100w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/23/NW-466523_wm.jpg,N,Minor 4 AB,65074326,Motor,N,,,,,,,,Black colour,5 year warranty,,,,240,100,8 to 28,5 Years,3,50,
14,P437934,Eogb M02-1-90-12 1phase motor 90w,Eogb,126.14,"This EOGB M02-1-90-12 90W single phase motor is suitable for use with Inter 10, 11, 12, 989 and 109 burners.",Heating/Burner Parts/Motors/Motors.csv -> Eogb M02-1-90-12 1phase motor 90w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/34/NW-437934_wm.jpg,N,,M02-1-90-12,Motor,N,,,,,,,,90W,,,,,,90,,,1,,
15,P416107,Watts Industries Electro Controls damper motor 8nm 230v,Watts Industries,182.57,"This Watts Electro Controls 230V damper motor is for fitting directly to air damper shafts or remotely using linkage accessories in HVAC systems, or for use on control valves. The motor's rotary operation can be employed for the opening and closing of dampers and valves.",Heating/Burner Parts/Motors/Motors.csv -> Watts Industries Electro Controls damper motor 8nm 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/08/NW-416107_416108_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/WI_ElectroControls_Damper_Motor_Tech.pdf
16,P416115,Watts Industries Electro Controls damper motor 16nm 0-10v,Watts Industries,269.74,"This Watts Electro Controls 24V damper motor is for fitting directly to air damper shafts or remotely using linkage accessories in HVAC systems, or for use on control valves. The motor's rotary operation can be employed for the opening and closing of dampers and valves.",Heating/Burner Parts/Motors/Motors.csv -> Watts Industries Electro Controls damper motor 16nm 0-10v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/15/NW-416112_416115_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/WI_ElectroControls_Damper_Motor_Tech.pdf
17,P437901,Eogb M02-1-90-13 1phase motor 90w,Eogb,118.12,"This EOGB M02-1-90-13 90W single phase motor is suitable for use with 2012, 2011 and 2020 burners.",Heating/Burner Parts/Motors/Motors.csv -> Eogb M02-1-90-13 1phase motor 90w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/01/NW-437901_wm.jpg,N,,M02-1-90-13,Motor,N,,,,,,,,90W,,,,,,90,,,1,,
18,P438075,Eogb motor 90w,Eogb,231.05,"This EOGB M02-1-90-16 230V 90W single phase motor is suitable for use with Sterling 35, 40 and 50 burners.",Heating/Burner Parts/Motors/Motors.csv -> Eogb motor 90w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/75/NW-438075_wm.jpg,N,,M02-1-90-16,Motor,N,,,,,,,,90W,,,,,230,90,,,1,,
19,P416109,Watts Industries Electro Controls damper valve motor 24vac/dc,Watts Industries,266.47,"Suitable for connection to valves with linkages, this Watts Industries Electro Controls 24 VAC/DC damper valve motor can also be wired in parallel in rows of ten.",Heating/Burner Parts/Motors/Motors.csv -> Watts Industries Electro Controls damper valve motor 24vac/dc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/09/NW-416106_416109_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/WI_ElectroControls_Catalogue_2017.pdf
