,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range,Weight,Hazardous,Dimensions (L x W x D),Power Supply,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
0,P678874,Flexelec CSC2 drain line heater 3m/120w/230v,Flexelec,21.77,"The Flexelec CSC2 230V, 120W drain line heater is designed to be laid inside pipes and used for draining water from thawing refrigeration equipment in cold rooms, operating only during thawing cycles.",Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Flexelec CSC2 drain line heater 3m/120w/230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/77/NW-678872_678877_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexelec_CSC2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_RoHS_Certification.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Flexelec_CSC2_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_REACH_Certification.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_CE_Declaration.pdf,,,,,,,,,,,,,,,,,
1,P678873,Flexelec CSC2 drain line heater 2m/80w/230v,Flexelec,17.98,"The Flexelec CSC2 230V, 80W drain line heater is designed to be laid inside pipes and used for draining water from thawing refrigeration equipment in cold rooms, operating only during thawing cycles.",Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Flexelec CSC2 drain line heater 2m/80w/230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/77/NW-678872_678877_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexelec_CSC2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_RoHS_Certification.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Flexelec_CSC2_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_CE_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_REACH_Certification.pdf,,,,,,,,,,,,,,,,,
2,P678872,Flexelec CSC2 drain line heater 1m/40w/230v,Flexelec,14.6,"The Flexelec CSC2 230V, 40W drain line heater is designed to be laid inside pipes and used for draining water from thawing refrigeration equipment in cold rooms, operating only during thawing cycles.",Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Flexelec CSC2 drain line heater 1m/40w/230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/77/NW-678872_678877_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexelec_CSC2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_RoHS_Certification.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Flexelec_CSC2_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_REACH_Certification.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_CSC2_CE_Declaration.pdf,,,,,,,,,,,,,,,,,
3,P678664,Tecumseh Parts A9 30 01 contactor,Tecumseh,79.74,This Tecumseh A9 30 01 contactor is a suitable replacement part for use in Tecumseh brand units.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Tecumseh Parts A9 30 01 contactor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/64/678664_wm.jpg,,,,,,Parts,0.32500,N,200 x 200 x 50,N/A,SILAE9450Z-(1);SILAE9460Z-(1);SILAG2516Z-(3);SILAG2522Z-(3);SILAG4546Z-(3);SILAG4553Z-(3);SILAGD4610ZTZ-(3);SILAJ2446Z-(1);SILAJ2464Z-(1);SILAJ2464Z-(3);SILAJ4517Z-(1);SILAJ4517Z-(3);SILAJ4519Z-(3);SILAJ9480Z-(1);SILAJ9480Z-(3);SILAJ9510Z-(1);SILAJ9510Z-,8527047,Parts,N,Replacement part,Suitable for Tecumseh units,,,,,,
4,P683981,"Danfoss Spare Parts 118U3481 fan blade 18"" Black",Danfoss,67.83,"This Danfoss 18"" black fan blade is compatible with the brand's Optyma Slim and Plus models.","Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Danfoss Spare Parts 118U3481 fan blade 18"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/81/NW-683981_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Optyma_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,
5,PP83791,Danfoss Optyma AK-RC205C controller,Danfoss,217.45,This Danfoss Optyma AK-RC205C controller is designed to be used in the management of smaller-sized commercial cold rooms.,Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Danfoss Optyma AK-RC205C controller,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/91/P83791_wm.jpg,,,,,,Optyma,,N,,,,080Z5002,Cold Storage Room Controller,N,Single phase,TXV valve output type,IP65 rated enclosure,,,,,
6,P670803,Flexelec FSO 20 FSO/20-2,Flexelec,7.48,"Protecting against freezing, this Flexelec FSO/20-2 self regulating cable can also be used to maintain moderate temperatures. Cuttable on site, these heating elements should be used with a control device to ensure longevity.",Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Flexelec FSO 20 FSO/20-2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/03/670803_wm.jpg,,,,,,,,N,,,,FSO/20-2,Self-regulating cables,N,Suitable for cutting to length onsite,No risk of self-destruct by overheating,Power supply 230 V,"Available as 10, 20, 30 or 40 W/m at + 10°C",With thermoplastic insulation,,,
7,P670804,Flexelec FSO 30 FSO/30-2,Flexelec,8.58,"Protecting against freezing, this Flexelec FSO/30-2 self regulating cable can also be used to maintain moderate temperatures. Cuttable on site, these heating elements should be used with a control device to ensure longevity.",Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Flexelec FSO 30 FSO/30-2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/04/670804_wm.jpg,,,,,,,,N,,,,FSO/30-2,Self-regulating cables,N,Suitable for cutting to length onsite,No risk of self-destruct by overheating,Power supply 230 V,"Available as 10, 20, 30 or 40 W/m at + 10°C",With thermoplastic insulation,,,
8,P671402,"Castel 3082 138C portable electronic device fusible plug 3/8""",Castel,9.54,"This Castel 3082 138C 3/8"" NPT fusible plug contains material designed to melt at a predetermined temperature in order to relieve pressure. With an NPT threaded plug drilled with a through-hole filled with fusible alloy plus a tapered end, the fusible plug protects components in a refrigerating system or heat pump from the effects of overpressure caused by an excessive external heat source, such as fire.","Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Castel 3082 138C portable electronic device fusible plug 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/02/NW-671401_671402_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Castel_Fusible-Plug_Handbook.pdf,,,,,,,,,,,,,,,,,,,,,
9,P671401,"Castel 3082 138C portable electronic device fusible plug 1/4""",Castel,8.38,"This Castel 3082 138C 1/4"" NPT fusible plug contains material designed to melt at a predetermined temperature in order to relieve pressure. With an NPT threaded plug drilled with a through-hole filled with fusible alloy plus a tapered end, the fusible plug protects components in a refrigerating system or heat pump from the effects of overpressure caused by an excessive external heat source, such as fire.","Refrigeration/Refrigeration Electrical Components/Refrigeration Electrical Parts And Accessories/Refrigeration Electrical Parts And Accessories.csv -> Castel 3082 138C portable electronic device fusible plug 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/02/NW-671401_671402_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Castel_Fusible-Plug_Handbook.pdf,,,,,,,,,,,,,,,,,,,,,
