,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency %,Seasonal Space Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Flow Rate,Water Heating Energy Efficiency Class,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Dry Weight (kg),Boiler Bundles,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
0,P333924,Worcester Bosch Greenstar Danesmoor Utility 18/25 2022+ heat only boiler,Worcester Bosch,1664.0,"A regular oil boiler ideal for the utility room in homes of almost any size, the Worcester Bosch Greenstar Danesmoor External 18/25 2022+ heat only boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Danesmoor Utility 18/25 2022+ heat only boiler,,Boiler;Greenstar Danesmoor installation;Commissioning ;servicing instruction manual;User instructions;Fascia information card;Guarantee registration card;BSP plug;ErP label;Flue damper,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/67/115365_115367_wm.jpg,White,Oil,Greenstar Danesmoor Utility,2 years,1.08 kg,A,N,"90,A/90%",A,25 kW,600,90.6,Floor Standing,333924 PK,Heat Only Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,,,,,,
1,P333930,Worcester Bosch Heatslave II 2022+ 18/25 Greenstar heatslave II 18/25 2022+,Worcester Bosch,2668.0,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 18/25 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Heatslave II 2022+ 18/25 Greenstar heatslave II 18/25 2022+,,"Boiler, installation manual, owners manual, guarantee card",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/49/115347_115349_wm.jpg,White,Oil,Heatslave II 2022+,2 years,151kg,A,N,"90,A/90%",A,25 kW,600,88.9,Floor Standing,333930 PK,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,18 L/min,B,A-rated efficiency,2 year warranty,,,,,,,,,,,
2,P333933,Worcester Bosch Heatslave II 2022+ 18/25 Greenstar heatslave II external 18/25 2022+,Worcester Bosch,2868.0,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 18/25 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Heatslave II 2022+ 18/25 Greenstar heatslave II external 18/25 2022+,,"Boiler, low level balanced flue kit, installation manual, owners manual, guarantee card",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/52/115350_115352_wm.jpg,Black/Gloss,Oil,Heatslave II 2022+,2 years,1.83 kg,A,N,"90,A/90%",A,25 kW,770,88.9,Floor Standing,333933 PK,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,"Robust, durable external cabinet",Cabinet blends into garden,Compatible with Greenstar Comfort controls,18 L/min,B,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,A-rated efficiency,IP45 protection from water and dust,2 year warranty,,,,,,,,
3,P333934,Worcester Bosch Heatslave II 2022+ 25/32 Greenstar heatslave II external 25/32 2022+,Worcester Bosch,3067.0,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 25/32 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Heatslave II 2022+ 25/32 Greenstar heatslave II external 25/32 2022+,,"Boiler, low level balanced flue kit, installation manual, owners manual, guarantee card",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/52/115350_115352_wm.jpg,Black/Gloss,Oil,Heatslave II 2022+,2 years,186Kg,A,N,"A/91%,90",A,32 kW,770,88.8,Floor Standing,333934 PK,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,"Robust, durable external cabinet",Cabinet blends into garden,Compatible with Greenstar Comfort controls,22 L/min,B,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,A-rated efficiency,IP45 protection from water and dust,2 year warranty,,,,,,,,
4,P333940,Worcester Bosch Greenstar Danesmoor 18/25 2022+ utility system boiler,Worcester Bosch,2061.0,"An oil boiler ideal for the kitchen or utility room in homes of almost any size, the Worcester Bosch Greenstar Danesmoor Utility System 18/25 2022+ system boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Danesmoor 18/25 2022+ utility system boiler,,Boiler;Greenstar Danesmoor installation;Commissioning ;servicing instruction manual;User instructions;Fascia information card;Guarantee registration card;BSP plug;ErP label;Flue damper,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/58/115356_115358_wm.jpg,White,Oil,Greenstar Danesmoor,2 years,9.8 kg,A,N,A,,25 kW,600,90.6,Floor Standing,333940 PK,System Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,98,,,,,,,
5,P333941,Worcester Bosch Greenstar Danesmoor 25/32 2022+ utility system boiler,Worcester Bosch,2502.0,"An oil boiler ideal for the kitchen or utility room in homes of almost any size, the Worcester Bosch Greenstar Danesmoor Utility System 25/32 2022+ system boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Danesmoor 25/32 2022+ utility system boiler,,Boiler;Greenstar Danesmoor installation;Commissioning ;servicing instruction manual;User instructions;Fascia information card;Guarantee registration card;BSP plug;ErP label;Flue damper,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/58/115356_115358_wm.jpg,White,Oil,Greenstar Danesmoor,2 years,102 kg,A,N,A,,32 kW,600,90.5,Floor Standing,333941 PK,System Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,102,,,,,,,
6,P333919,Grant Vortex Pro External Combi 26 oil boiler 26kW,Grant,2814.0,"Designed to meet low-NOx regulations, the Grant Vortex Pro External Combi 26 external boiler is part of an award-winning range featuring Riello low-NOx technology. Incorporating Grant's patented heat exchangers with their large surface areas and low water content, this 26kW boiler has an ErP A rating for heating and B rating for hot water, improving efficiency in the home. Standing up to all weathers, the Vortex Pro External has a robust powder-coated casing and built-in frost protection for year-round reliability, even in challenging weather conditions.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Pro External Combi 26 oil boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Pro_External_wm.jpg,White/Gloss,Oil,Vortex Pro External Combi,5 Year,2.06Kg,A,N,91.71,,26 kW,754,91.71,Floor Standing,333919 PK,Combi Boiler Pack,N,"High quality, external powder-coated casing","Factory-fitted multi-directional flue for faster, flexible installation",Patented Grant larger size heat exchangers for improved performance,Riello low-NOx burner,2 very accurate electronic temperature controls allow boiler to operate in condensing mode on central heating while producing instant hot water,Low system pressure cut off switch protects boiler in the unlikely event of system water loss,24L expansion vessel,Neon diagnostic indicators,"36.6 L/min @ 10°C, 18.3 L/min @ 20°C",B,Built-in frost protection,89.5 to 91.6% gross SAP2009 annual efficiency,"DHW flow rate 36.6LPM at 10°C, 18.3LPM at 20°C",2 year warranty,,,,,,,,,
7,P333928,Worcester Bosch Greenstar Danesmoor External 25/32 2022+ heat only boiler,Worcester Bosch,2594.0,"A regular oil boiler ideal for external fitting on properties of almost any size, the Worcester Bosch Greenstar Danesmoor External 25/32 2022+ heat only boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Danesmoor External 25/32 2022+ heat only boiler,,Boiler;Greenstar Danesmoor External installation;Commissioning ;servicing instruction manual;User Instructions;Guarantee registration card;Condensate trap;BSP plug;Cabinet key;100mm services duct;Balanced flue kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/72/115370_115372_wm.jpg,White,Oil,Greenstar Danesmoor External,2 years,124 kg,A,N,"A/91%,91",A,32 kW,780,90.7,Floor Standing,333928 PK,Heat Only Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,,,,,,
8,P333921,Worcester Bosch Greenstar Danesmoor Kitchen Regular ErP+ 18/25 boiler,Worcester Bosch,1941.0,"Suitable for use in off-gas properties, the Worcester Bosch Greenstar Danesmoor Kitchen 18/25 ErP+ regular boiler has a compact design especially for fast, stress-free installation in a kitchen or utility room. ErP A-rated for its high levels of efficiency, this robust and reliable regular boiler offers full compatibility with sustainable sources such as Bosch's Greenskies solar panels and Greensource air-to-water pumps, helping to improve the Danesmoor's eco-friendly credentials even further while also significantly reducing household costs.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Danesmoor Kitchen Regular ErP+ 18/25 boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ch/en/Danesmoor Kitchen_wm.jpg,White,Oil,Greenstar Danesmoor Kitchen Regular ErP+,,,,N,"90,A/90%",A,,,,,333921 PK,Condensing Regular Boiler Pack,N,Suitable for homes of any size,Perfect for kitchen or utility room installation,Over 90% efficient to help reduce energy bills and carbon footprint,Compatible with an optional 7 day programmer,Can be used with Greenskies solar panels and Greensource air-to-water heat pumps for energy and cost savings,Compatible with Greenstore hot water cylinders,2 year warranty,,,,,,,,,,,,,,,,
9,P333931,Worcester Bosch Heatslave II 2022+ 25/32 Greenstar heatslave II 25/32 2022+,Worcester Bosch,2878.0,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 25/32 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Heatslave II 2022+ 25/32 Greenstar heatslave II 25/32 2022+,,"Boiler, installation manual, owners manual, guarantee card",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/49/115347_115349_wm.jpg,White,Oil,Heatslave II 2022+,2 years,153 KG,A,N,"A/91%,90",A,32 kW,600,88.8,Floor Standing,333931 PK,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,22 L/min,B,A-rated efficiency,2 year warranty,,,,,,,,,,,
