,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Standards,Supplier Product Code,WEEE Compliant
0,P329807,S and S Northern Merlin 2000S interlocking system,S and S Northern,531.01,"Designed to help commercial kitchens meet BS 6173: 2001, the S and S Northern Merlin 200GD ventilation interlock system is designed for use where kitchen appliances do not have flame failure devices fitted.",Heating/Central Heating Controls/Gas Safety Controls/Gas Safety Controls.csv -> S and S Northern Merlin 2000S interlocking system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/07/NW-329807_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/SNSNorthern_2000GD_Technical.pdf,,,,,
1,P487519,Clesse pigtail hose 20'' POL x POL,Clesse,12.69,"A high quality part, this Clesse 20"" LPG pigtail hose with POL fittings at each end is suitable for cylinder connection. Factory-fitted, the connections are tested before leaving the factory.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Heating/Central Heating Controls/Gas Safety Controls/Gas Safety Controls.csv -> Clesse pigtail hose 20'' POL x POL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/19/487519_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Clesse_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Clesse_Catalogue_2019-2020.pdf,,,,
2,P493227,Clesse Clessinox hose assembly 1/2'' x 22mm 35kW Stainless Steel,Clesse,23.72,"Clessinox Stainless Steel metallic flexible hose assembly 1.2mtr – 1/2” male taper x 22mm compression, BS6891:2015 compliant and rodent resistant, certified 1mb pressure loss per mtr @ 35kW. Suitable for use with Single cylinder installations and 2 cylinder Changeover kits on pipework connections of 22mm.",Heating/Central Heating Controls/Gas Safety Controls/Gas Safety Controls.csv -> Clesse Clessinox hose assembly 1/2'' x 22mm 35kW Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/27/493227_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Clesse_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Clesse_Catalogue_2019-2020.pdf,,,,
3,P487529,Clesse pigtail hose 20'',Clesse,11.38,"A high quality part, this Clesse 20"" LPG pigtail hose is suitable for automatic and manual changeover valves and can also be used with single cylinder wall-mounted kits. Both cylinder and regulator connections are factory-fitted and tested prior to leaving the factory.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Heating/Central Heating Controls/Gas Safety Controls/Gas Safety Controls.csv -> Clesse pigtail hose 20'',,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/29/487529_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Clesse_Catalogue_2019-2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Clesse_Catalogue_2017.pdf,,,,
4,P488350,"Clesse pigtail POL x W20 33""",Clesse,12.46,"This high quality Clesse LPG POL x W20 33"" hosing pigtail is designed for use on automatic manual changeover valves or for single cylinder wall mounted kits. The cylinder and regulator connections are factory-fitted and tested for reliability.","Heating/Central Heating Controls/Gas Safety Controls/Gas Safety Controls.csv -> Clesse pigtail POL x W20 33""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/50/NW-488350_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Clesse_Product_Catalogue_2019-2020.pdf,,,,,
5,P329914,Merlin 1000V gas pressure proving system,Merlin,490.85,"The Merlin 1000V gas pressure proving system controls gas using lockable key-switch operation and time out functions. Employing a unique digital transducer, this system tests gas pressure to ensure gas taps are not open and no gas leaks are present. Designed with a user-friendly system status panel and fully labelled PCB, the Merlin gas proving system is easy to use and install, offering inbuilt connectivity for linking to a building's fire alarm and building management systems.",Heating/Central Heating Controls/Gas Safety Controls/Gas Safety Controls.csv -> Merlin 1000V gas pressure proving system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/21/598321_wm.jpg,,,N,IGEM/UP11,1000V,N
6,P484456,Clesse CSR485 CSR 485 single cylinder full installation kit regulator and hose,Clesse,69.36,"Fitted with a consumer safety protection system to meet UK standards, this Clesse CSR485 low pressure single cylinder regulator with hose is suitable for all types of LPG cylinder. It is recommended for commercial, domestic, holiday home and park home use.",Heating/Central Heating Controls/Gas Safety Controls/Gas Safety Controls.csv -> Clesse CSR485 CSR 485 single cylinder full installation kit regulator and hose,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/56/484456_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Clesse_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Clesse_Catalogue_2019-2020.pdf,,,,
7,P492968,Clesse Clessetite Metal pipe jointing paste,Clesse,11.77,"This Clesse thread sealant, or metal pipe jointing paste, is safely compatible with gas, LPG, compressed air, oil, industrial fluids, gasoline, CFC and various other chemicals. An anaerobic adhesive, this sealant seals metal thread pipe joints.",Heating/Central Heating Controls/Gas Safety Controls/Gas Safety Controls.csv -> Clesse Clessetite Metal pipe jointing paste,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/492968_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Clesse_Product_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Clesse_Loxeal_H&S.pdf,,,,
8,P493230,Clesse Clessinox outlet hose assembly kit with testpoint 1/2'' x 15 and 22mm 35kW Stainless Steel,Clesse,27.15,"Clessinox Stainless Steel metallic flexible complete hose assembly kit 1.2mtr – 1/2” male taper with INTEGRATED TEST POINT, supplied with both 15 & 22mm Compression fittings for all site eventualities, BS6891:2015 compliant and rodent resistant, certified 1mb pressure loss per mtr @ 35kW/h. Suitable for use with Single cylinder installations and 2 cylinder Changeover kits with Gas pipework connections of 15 or 22mm.",Heating/Central Heating Controls/Gas Safety Controls/Gas Safety Controls.csv -> Clesse Clessinox outlet hose assembly kit with testpoint 1/2'' x 15 and 22mm 35kW Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/30/493230_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Clesse_Catalogue_2017.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Clesse_Catalogue_2019-2020.pdf,,,,
9,P487664,"Clesse POL cylinder regulator 1/2"" 4kg",Clesse,48.55,"Low pressure cylinder regulator fitted with the latest Consumer Safety Protection system required by the UK standards to cover all fixed pipework installations. Ideal for all types of LPG cylinder applications Domestic, Commercial, Holiday and Park Homes.","Heating/Central Heating Controls/Gas Safety Controls/Gas Safety Controls.csv -> Clesse POL cylinder regulator 1/2"" 4kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/64/487664_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Clesse_Catalogue_2019-2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Clesse_Catalogue_2017.pdf,,,,
