,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Thickness,Warranty,Hazardous,Depth (mm),Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 3,Attachment 4,Range,Attachment 5,Weight
0,PD05971,Mira Elevate pivot shower door 800mm,Mira,176.49,"Maximising your bathroom floor space, the Mira Elevate 800mm shower enclosure pivot door is designed for a corner or alcove enclosure. Manufactured in 6mm safety glass with magnetic closings at both top and bottom, this reversible installation door is easy to fit, clean and use.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Mira Elevate pivot shower door 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/72/UP-D05970_D05972_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Elevate_Pivot_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_Pivot_Door_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD81447,Ideal Standard i.life 1200 Slider door with Idealclean clear glass - bright silver finish,Ideal Standard,924.11,"Manufactured in an 8mm thick toughened safety glass, the Ideal Standard i.Life 1200mm slider door has a bright silver frame and chrome handle to suit the majority of bathroom decors. Measuring 2005mm in height, this shower door is treated with IdealClean and has easy to remove click-and-clean rollers, making regular, thorough cleaning effortless.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Ideal Standard i.life 1200 Slider door with Idealclean clear glass - bright silver finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/47/D81447_wm.jpg,,,Bright Silver,8mm,10 Years,N,100,Bright Silver,AluminiumGlass,T4971EO,Sliding,N,With 8mm toughened clear safety glass,IdealClean treatment for ease of cleaning,Offers 25mm adjustment per profile,Bright silver frame,With chrome-plated handle,Click-and-clean wheels removed easily,Unhanded,With concealed fixings,Smooth running wheels,Power showerproof,10 year warranty,,,,,
2,PD28358,Mira Leap pivot door only 1000mm,Mira,357.0,"The Mira Leap 1000mm pivot door is ideal for alcove or corner shower enclosures, providing a stylish, frameless look and saving on valuable space. Built using strong 6mm thick glass with CleanCoat glass coating technology and with no visible fixings or screwcaps, the Leap looks sleek and modern and provides easy-clean convenience.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Mira Leap pivot door only 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/59/UP-D28355_D28359_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Leap_Pivot_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Mira_Leap_Pivot_Door_LD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD65109,Coram GB5 pivot door 760 x 1800mm Glass/Chrome Finish,Coram,209.48,"Ideal for smaller bathrooms or en-suites, the 760mm Coram GB5 pivot door shower enclosure has a reduced height of 1800mm and a 25mm adjustment profile. Designed with a classic semi-frameless look, this easy to clean shower enclosure has an inwards swinging door to minimise intrusion in a limited space.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Coram GB5 pivot door 760 x 1800mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/11/UP-D65108_D65111_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_GB5_Pivot_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_GB5_Pivot_Door_Technical.pdf,,,,
4,PD65136,Coram Optima 6 pivot door 1000 x 1900mm Glass/Chrome Finish,Coram,297.26,"Ideal for small bathrooms or en-suites, the 1000 x 1900mm Coram Optima 6 pivot door shower enclosure has an in-swing to minimise its intrusion on your precious space and a 20mm adjustment per profile for a perfect fit. This modern, semi-frameless pivot door enclosure includes smooth rise and fall hinges, ultra-clear seals and stay-clean glass for hassle-free cleaning while Coram's Lock and Level system allows for screwless adjustment and Cam and Pin system makes installation fast.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Coram Optima 6 pivot door 1000 x 1900mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/36/UP-D65132_D65136_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Optima_6_Pivot_Door_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Optima_6_Pivot_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,,,
5,PT41775,Scudo pivot door 760 x 1850mm - 6mm glass,Scudo,148.85,"Designed with a quality pivot mechanism for smooth opening and closing, the Scudo S6 760 x 1850mm pivot shower door is a perfect finishing touch for a modern bathroom. Easy to clean thanks to its Aquashield treatment, this door is made of a thick clear glass with chrome frame and fittings and offers easy installation, even in rooms where walls aren't quite perfect.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Scudo pivot door 760 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/77/T41775_T41777_wm.jpg,,,Clear,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,,Chrome,Aluminium,S6-GLASS018,Pivot,N,With 6mm thick toughened safety glass,Aquashield glass treatment for ease of cleaning,Universal design offers left and right handed opening,Easy to install,Large adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,,,,
6,PD05970,Mira Elevate pivot shower door 760mm,Mira,178.84,"Maximising your bathroom floor space, the Mira Elevate 760mm shower enclosure pivot door is designed for a corner or alcove enclosure. Manufactured in 6mm safety glass with magnetic closings at both top and bottom, this reversible installation door is easy to fit, clean and use.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Mira Elevate pivot shower door 760mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/72/UP-D05970_D05972_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Elevate_Pivot_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_Pivot_Door_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD28355,Mira Leap pivot door only 760mm,Mira,318.07,"The Mira Leap 760mm pivot door is ideal for alcove or corner shower enclosures, providing a stylish, frameless look and saving on valuable space. Built using strong 6mm thick glass with CleanCoat glass coating technology and with no visible fixings or screwcaps, the Leap looks sleek and modern and provides easy-clean convenience.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Mira Leap pivot door only 760mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/59/UP-D28355_D28359_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Leap_Pivot_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Mira_Leap_Pivot_Door_LD.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD65179,Coram Premier 8 pivot door 800 x 2000mm Glass/Chrome finish,Coram,274.97,"A contemporary, minimalist design, the 800mm Coram Premier 8 pivot door shower enclosure has modern linear handles and a semi-frameless design with concealed fixings and soft close sliding doors for a touch of luxury. Seamless flush rollers and ultra-clear soft seals are easy to clean and Level and Lock screwless adjustment ensures secure, straightforward installation. The Premier 8's pivot door is made using 8mm toughened safety glass and has a rise and fall pivot hinge, allowing the door to remain open at 90° and close easily.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Coram Premier 8 pivot door 800 x 2000mm Glass/Chrome finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/81/UP-D65177_D65181_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Premier_8_Pivot_Door_Install.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Premier_8_Pivot_Door_Technical.pdf,,,
9,PD28575,Merlyn MBOX pivot shower door 1000mm,Merlyn,312.75,"Combining practicality and style, the 1000mm Merlyn MBox pivot shower door is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Merlyn MBOX pivot shower door 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/75/UP-D28575_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBOX_PivotDoor_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBOX_PivotDoor_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBOX_Enclosures_Brochure.pdf,,,,
