,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Max System Pressure Cold (Bar),Min System Pressure Cold (Bar),Range,Warranty,Hazardous,Remote Options,Shower Head Diameter,Shower Head Position,Controls,Display Type,Number of Outlets,Number of Spray Patterns,Water Entry Points,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 1,Attachment 2,Attachment 3,Flow Rate,Depth (mm),Material,Feature 13,Attachment 4
0,PD52968,Mira Mode dual outlet HP/combi shower - ceiling fed,Mira,643.74,"Helping you to fully customise your showering experience, the Mira Mode dual outlet HP/combi ceiling-fed digital shower is app-connected, allowing you to personalise and save favourite showering settings while also monitoring your water use, helping households to be more eco-friendly. In addition to the sleek, chrome-finished shower unit, the Mira Mode is supplied complete with a large, luxury 250mm deluge head plus the Mira Switch handset with its four easy-switch spray settings.",Showering/Showers/Digital Showers/Digital Showers.csv -> Mira Mode dual outlet HP/combi shower - ceiling fed,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/69/D52968_D52969_wm.jpg,Chrome,10,1 Bar,Mode,5 Years,N,Yes,250,Over head,"Manual, Conneted with a wire",LED Back Lit,2,4,"side, through mixing box",1.1980.007,Digital Shower,N,App-compatible for shower customisation,App tracks water usage,"Easy to use, stylish controls",Chrome finish,With large 250mm showerhead,Mira switch handheld shower with 4x spray patterns,Easy plug-and-play installation,LED backlit display for ease of use,5 year warranty,,,,,,,,,,,
1,PD52966,Mira Mode dual outlet HP/combi shower - read fed,Mira,643.74,"App-compatible, the Mira Mode dual outlet HP/combi rear-fed digital shower in chrome provides the option to remotely control your shower for the ultimate in convenience and comfort. Supplied with an overhead deluge showerhead and a handheld spray with four individual spray patterns, this smart shower is an ideal unit for the family bathroom, offering thermostatic safety and the ability to view your water usage, helping to reduce waste.",Showering/Showers/Digital Showers/Digital Showers.csv -> Mira Mode dual outlet HP/combi shower - read fed,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/67/D52966_D52967_wm.jpg,Chrome,10.0,1.0,Mode,5 Year,N,Yes,250,Fixed overheadAdjustable handset,Digital,LED,2,4,"Back, rear fed. Top, ceiling fed",1.1980.005,Dual outlet,N,Chrome finish,Thermostatic temperature stability,Maximum temperature setting for safe use,Single piece ceiling-fed fittings assembly for ease of fitting,"Multi-fit deluge overhead can be installed through ceiling, stud or solid wall",With push-fit isolators,Includes long-life filters,Includes the Mira Switch 4x spray showerhead,With large 250mm deluge head,Compatible with Mira app for remote operation,App offers user-adjustable temperature and flow presets,5 year warranty,,,,,,,,
2,PA76242,QUARTZ TOUCH SMART DIV CONC ADJ/FIX - GP,Aqualisa,986.92,"The eco-friendly Aqualisa Quartz Touch concealed gravity pumped shower with adjustable head and wall drencher provides a smart personalised showering experience via a range of clever controls including a large rotary temperature ring, proximity sensor and one-touch stop/start. Wi-Fi and app compatible and with an optional wireless remote control, the Quartz Touch makes starting a shower simple, via smartphone, digital assistant or voice control.",Showering/Showers/Digital Showers/Digital Showers.csv -> QUARTZ TOUCH SMART DIV CONC ADJ/FIX - GP,,Shower unit;Adjustable shower head ;kit;Fixed wall drencher,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/42/NW-A76242_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZST_A2_BV_DVFW_20_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Touch_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf,,,,,
3,PD51312,Aqualisa Colt built in variable shower with head 90mm,Aqualisa,358.14,"Designed with family bathrooms in mind, the high quality Aqualisa Colt mixer shower offers precision temperature control for efficient, comfortable showering. Supplied with a generously sized 90mm adjustable showerhead, the chrome-plated Colt includes handy features designed for ease of use, including an anti-twist shower hose and rub-clean shower nozzles.",Showering/Showers/Digital Showers/Digital Showers.csv -> Aqualisa Colt built in variable shower with head 90mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/12/NW-D51312_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Aqualisa_Product_Guide_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aqualisa_COLT001CA_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_COLT001_Installation.pdf,,,,,
4,PJ97847,"Grohe G1000 performance thermostatic shower set 1/2""",Grohe,174.28,"Finished in smart, easy to clean chrome, this Grohe Grohtherm G1000 Performance 1/2"" shower set incorporates thermostatic operation for safer showering. The included handheld showerhead offers two possible spray settings to suit the user's preference.","Showering/Showers/Digital Showers/Digital Showers.csv -> Grohe G1000 performance thermostatic shower set 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/47/J97847_wm.jpg,Chrome,5,1,G1000,5 Years,N,,,,,,1,2,,34834000,Thermostatic,N,For handheld use,Brass construction,Chrome finish,Thermostatic operation for safe showering,5 year warranty,,,,,,,,,,,"7.2lpm @ 1bar, 10.2 lpm @ 2bar, 12.5 lpm @ 3bar",79,Brass,,
5,PQ97482,Hansgrohe Crometta shower set with Vario EcoSmart head and Unica rail 9ltr/min 660mm,Hansgrohe,80.2,"Saving water and energy, the Hansgrohe Crometta touch control shower set with 100mm Vario EcoSmart head helps families to enjoy more eco-friendly showering without compromising on luxurious comfort. Supplied with the 660mm Unica rail along with a hose and slider for ease of installation, this robustly built 9LPM chrome shower is fitted with EcoSmart technology, meaning it needs around 60% less water than other showers, allowing you to enjoy guilt-free showering under two generous spray patterns.",Showering/Showers/Digital Showers/Digital Showers.csv -> Hansgrohe Crometta shower set with Vario EcoSmart head and Unica rail 9ltr/min 660mm,,"h;shower, shower bar, shower hose, slider",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/82/Q97482_wm.jpg,Chrome,6,1,Crometta,5 Years,N,N/A,100,Adjustable,Touch controlled,n/a,1,2,Handset,26534400,Hand shower with slide rail,N,"Consists of: hand shower, shower bar, shower hose, slider",Shower head size: 100 mm,"Spray pattern: Rain, IntenseRain",Spray type adjustment by turning,Hand shower holder inclination angle can be adjusted by 45°,Maximum flow rate 9 l/min at 3 bar,Pivot connector prevent hose from tangling,Wall supports: plastic,Stand pipe: 669 mm,Shower bar diameter: 22 mm,Profile shower bar: round,Drilling distance 625 mm,,,,,,,Noise class: I,
6,PD51311,Aqualisa Colt exposed variable shower with head 90mm,Aqualisa,330.26,"Designed with family bathrooms in mind, the high quality Aqualisa Colt exposed mixer shower offers precision temperature control for efficient, comfortable showering. Supplied with a generously sized 90mm adjustable showerhead, the chrome-plated Colt includes handy features designed for ease of use, including an anti-twist shower hose and rub-clean shower nozzles.",Showering/Showers/Digital Showers/Digital Showers.csv -> Aqualisa Colt exposed variable shower with head 90mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/11/NW-D51311_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Aqualisa_Product_Guide_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Aqualisa_COLT001EA_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_COLT001_Installation.pdf,,,,,
7,PD03184,Mira Activate double outlet hp rear fed,Mira,753.54,"Packed with advanced features, the Mira Activate digital shower mixer offers cutting edge app control and an easy to use digital controller for effortless comfort. Finished in chrome to suit every bathroom, this shower is supplied with both a four-spray handset and deluge showerhead and provides the option for a completely personalised showering experience. Perfect for installation in high pressure systems, the Activate smart shower is designed with a rear-fed supply.",Showering/Showers/Digital Showers/Digital Showers.csv -> Mira Activate double outlet hp rear fed,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/84/NW-D03184_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Mira_Activate_DO_Digital_Shower_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Activate_Digital_Shower_Install.pdf,,,,,,
8,PD03183,Mira Activate double outlet hp ceiling fed,Mira,753.54,"Packed with advanced features, the Mira Activate digital shower mixer offers cutting edge app control and an easy to use digital controller for effortless comfort. Finished in chrome to suit every bathroom, this shower is supplied with both a four-spray handset and deluge showerhead and provides the option for a completely personalised showering experience. Perfect for installation in high pressure systems, the Activate smart shower is designed with a ceiling-fed supply.",Showering/Showers/Digital Showers/Digital Showers.csv -> Mira Activate double outlet hp ceiling fed,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/83/NW-D03183_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Mira_Activate_DO_Digital_Shower_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Activate_Digital_Shower_Install.pdf,,,,,,
9,PD04895,Ideal Standard Ceratherm T100 shower mixer T100,Ideal Standard,521.23,"An all-in-one installation package, the Ideal Standard Ceratherm T100 dual exposed thermo shower mixer pack comes with the square Idealrain M1 Rainshower, three function Idealrain Evo hand spray kit and hose. Offering high showering performance, the T100 includes the cutting-edge FirmaFlow® Therm small-sized thermostatic cartridge for efficiency without compromising on a slimline design and a limescale-resistant polymer construction promising a longer maintenance-free life.",Showering/Showers/Digital Showers/Digital Showers.csv -> Ideal Standard Ceratherm T100 shower mixer T100,,Idealrain M1 Rainshower;Idealrain Evo h;spray kit ;hose;Hose retaining ring,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/30/596030_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/IS_Brochure_Dec_2020.pdf,,,,,,,
