,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3
0,PA76219,Aqualisa Quartz Classic Smart exposed high pressure shower with adjustable head,Aqualisa,720.59,"The Aqualisa Quartz Classic high pressure smart shower with adjustable head brings your bathroom into the 21st century. Wi-Fi connected, the Quartz is fully controllable via app or voice control, letting you start your bath from anywhere in the home. Family-friendly features include precise thermostatic control and an eco mode for impressive water savings and without compromising on reliably high performance.",Showering/Showers/Smart Showers/Smart Showers.csv -> Aqualisa Quartz Classic Smart exposed high pressure shower with adjustable head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/19/NW-A76219_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Classic_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZD_A1_EV_20_Tech.pdf
1,PA76202,QUARTZ BLUE SMART CONCEALED ADJ - HP,Aqualisa,499.23,"Minimalist in style, the Aqualisa Quartz Blue concealed high pressure smart shower with adjustable head is a thoroughly modern addition to a bathroom, providing individualised programme features and Wi-Fi connectivity for app or voice controlled shower activation. Features including ultra-precise thermostatic control and an adjustable maximum temperature, plus a water saving eco mode ensure that the family-friendly Quartz Blue offers much more than just style.",Showering/Showers/Smart Showers/Smart Showers.csv -> QUARTZ BLUE SMART CONCEALED ADJ - HP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/03/NW-A76202_A76203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZSB_A1_BV_20_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Blue_Smart_UserGuide.pdf
2,PA76208,Aqualisa Quartz Blue Smart divert concealed high pressure adjustable shower with wall fixed head,Aqualisa,657.18,"Minimalist in style, the Aqualisa Quartz Blue concealed high pressure smart shower with dual fixed and adjustable wall heads is a thoroughly modern addition to a bathroom, providing individualised programme features and Wi-Fi connectivity for app or voice controlled shower activation. Features including ultra-precise thermostatic control and an adjustable maximum temperature, plus a water saving eco mode ensure that the family-friendly Quartz Blue offers much more than just style.",Showering/Showers/Smart Showers/Smart Showers.csv -> Aqualisa Quartz Blue Smart divert concealed high pressure adjustable shower with wall fixed head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/08/NW-A76208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZSB_A1_BV_DVFW_20_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Blue_Smart_UserGuide.pdf
3,PA76238,Aqualisa Quartz Touch Smart divert concealed high pressure shower with adjustable and fixed heads,Aqualisa,899.3,"The eco-friendly Aqualisa Quartz Touch concealed high pressure shower with adjustable head and ceiling drencher provides a smart personalised showering experience via a range of clever controls including a large rotary temperature ring, proximity sensor and one-touch stop/start. Wi-Fi and app compatible and with an optional wireless remote control, the Quartz Touch makes starting a shower simple, via smartphone, digital assistant or voice control.",Showering/Showers/Smart Showers/Smart Showers.csv -> Aqualisa Quartz Touch Smart divert concealed high pressure shower with adjustable and fixed heads,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/38/NW-A76238_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZST_A1_BV_DVFC_20_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Touch_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf
4,PA76214,Aqualisa Quartz Classic Smart exposed gravity pumped shower with adjustable head,Aqualisa,792.08,"The Aqualisa Quartz Classic gravity pumped smart shower with adjustable head brings your bathroom into the 21st century. Wi-Fi connected, the Quartz is fully controllable via app or voice control, letting you start your bath from anywhere in the home. Family-friendly features include precise thermostatic control and an eco mode for impressive water savings and without compromising on reliably high performance.",Showering/Showers/Smart Showers/Smart Showers.csv -> Aqualisa Quartz Classic Smart exposed gravity pumped shower with adjustable head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/15/NW-A76213_A76215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Classic_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZD_A2_EV_20_Tech.pdf
5,PA76231,Aqualisa Quartz Touch Smart concealed high pressure shower with adjustable head,Aqualisa,705.6,"The eco-friendly Aqualisa Quartz Touch concealed high pressure shower with adjustable head provides a smart personalised showering experience via a range of clever controls including a large rotary temperature ring, proximity sensor and one-touch stop/start. Wi-Fi and app compatible and with an optional wireless remote control, the Quartz Touch makes starting a shower simple, via smartphone, digital assistant or voice control.",Showering/Showers/Smart Showers/Smart Showers.csv -> Aqualisa Quartz Touch Smart concealed high pressure shower with adjustable head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/31/NW-A76231_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Touch_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZST_A1_BV_20_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf
6,PA76221,Aqualisa Quartz Classic Smart divert gravity pumped shower with adjustable wall mounted head,Aqualisa,946.57,"The Aqualisa Quartz Classic gravity pumped smart shower with adjustable head and wall drencher brings your bathroom into the 21st century. Wi-Fi connected, the Quartz is fully controllable via app or voice control, letting you start your bath from anywhere in the home. Family-friendly features include precise thermostatic control and an eco mode for impressive water savings and without compromising on reliably high performance.",Showering/Showers/Smart Showers/Smart Showers.csv -> Aqualisa Quartz Classic Smart divert gravity pumped shower with adjustable wall mounted head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/21/NW-A76221_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZD_A2_BV_DVFW_20_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Classic_User_Guide.pdf
7,PA76224,Aqualisa Quartz Classic Smart divert concealed gravity pumped shower with adjustable ceiling mounted head,Aqualisa,946.57,"The Aqualisa Quartz Classic gravity pumped smart shower with adjustable head and ceiling drencher brings your bathroom into the 21st century. Wi-Fi connected, the Quartz is fully controllable via app or voice control, letting you start your bath from anywhere in the home. Family-friendly features include precise thermostatic control and an eco mode for impressive water savings and without compromising on reliably high performance.",Showering/Showers/Smart Showers/Smart Showers.csv -> Aqualisa Quartz Classic Smart divert concealed gravity pumped shower with adjustable ceiling mounted head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/24/NW-A76224_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZD_A2_BV_DVFC_20_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Classic_User_Guide.pdf
8,PA76206,Aqualisa Quartz Blue Smart exposed gravity pumped shower with adjustable head,Aqualisa,613.37,"Minimalist in style, the Aqualisa Quartz Blue exposed gravity pumped smart shower with adjustable head is a thoroughly modern addition to a bathroom, providing individualised programme features and Wi-Fi connectivity for app or voice controlled shower activation. Features including ultra-precise thermostatic control and an adjustable maximum temperature, plus a water saving eco mode ensure that the family-friendly Quartz Blue offers much more than just style.",Showering/Showers/Smart Showers/Smart Showers.csv -> Aqualisa Quartz Blue Smart exposed gravity pumped shower with adjustable head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/06/NW-A76205_A76206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZSB_A2_EV_20_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Blue_Smart_UserGuide.pdf
9,PA76211,QUARTZ CLASSIC SMART CONC ADJ - HP,Aqualisa,665.25,"The Aqualisa Quartz Classic high pressure smart shower with adjustable showerhead brings your bathroom into the 21st century. Wi-Fi connected, the Quartz is fully controllable via app or voice control, letting you start your bath from anywhere in the home. Family-friendly features include precise thermostatic control and an eco mode for impressive water savings and without compromising on reliably high performance.",Showering/Showers/Smart Showers/Smart Showers.csv -> QUARTZ CLASSIC SMART CONC ADJ - HP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/11/NW-A76211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_QZD_A1_BV_20_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Smart_Shower_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Aqualisa_Quartz_Classic_User_Guide.pdf
