,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Diameter,Range,Thickness,Warranty,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Size,Pipe Size,Attachment 4,Attachment 5,Attachment 6,Feature 13,Length (M),Material Type,Pack Quantity,Weight,Connection Size,Connection Type,Drainage Product Type,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Application,Attachment 7,Attachment 8,Attachment 9,Attachment 10,Attachment 11
0,P190679,Center CB pipe insulation 22 x 9mm x 2mtr (Per Metre),Center CB,1.13,"This Center CB 9mm thickness insulation for 22mm pipes is a professional grade polyethylene-based closed-cell foam designed for use on heating and plumbing pipework. Highly efficient, this insulation protects against frost while significantly reducing energy waste to reduce a building's carbon footprint. Supplied in a 2M length, Center CB's insulation provides effective sound absorption, reducing irritating pipework pop and flow noises.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Center CB pipe insulation 22 x 9mm x 2mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/81/190677_190681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_Insulation_9mm_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P190722,Center CB pipe insulation 22 x 13mm 2mtr,Center CB,1.17,"This Center CB 13mm thickness insulation for 22mm pipes is a professional grade polyethylene-based closed-cell foam designed for use on heating and plumbing pipework. Highly efficient, this insulation protects against frost while significantly reducing energy waste to reduce a building's carbon footprint. Supplied in a 2M length, Center CB's insulation provides effective sound absorption, reducing irritating pipework pop and flow noises.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Center CB pipe insulation 22 x 13mm 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/24/190720_190724_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_PEPipeInsulation_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/CenterCB_PEPipeInsulatn_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/in/CenterCB_Insulatin_13mm_Installatin.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P190677,Center CB pipe insulation 15 x 9mm x 2mtr,Center CB,0.86,"This Center CB 9mm thickness insulation for 15mm pipes is a professional grade polyethylene-based closed-cell foam designed for use on heating and plumbing pipework. Highly efficient, this insulation protects against frost while significantly reducing energy waste to reduce a building's carbon footprint. Supplied in a 2M length, Center CB's insulation provides effective sound absorption, reducing irritating pipework pop and flow noises.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Center CB pipe insulation 15 x 9mm x 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/81/190677_190681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_Insulation_9mm_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P190681,Center CB pipe insulation 28mm x 9mm 2mtr,Center CB,2.0,"This Center CB 9mm thickness insulation for 28mm pipes is a professional grade polyethylene-based closed-cell foam designed for use on heating and plumbing pipework. Highly efficient, this insulation protects against frost while significantly reducing energy waste to reduce a building's carbon footprint. Supplied in a 2M length, Center CB's insulation provides effective sound absorption, reducing irritating pipework pop and flow noises.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Center CB pipe insulation 28mm x 9mm 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/81/190677_190681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_Insulation_9mm_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P190720,Center CB pipe insulation 15 x 13mm 2mtr,Center CB,0.85,"This Center CB 13mm thickness insulation for 15mm pipes is a professional grade polyethylene-based closed-cell foam designed for use on heating and plumbing pipework. Highly efficient, this insulation protects against frost while significantly reducing energy waste to reduce a building's carbon footprint. Supplied in a 2M length, Center CB's insulation provides effective sound absorption, reducing irritating pipework pop and flow noises.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Center CB pipe insulation 15 x 13mm 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/24/190720_190724_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_PEPipeInsulation_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/CenterCB_PEPipeInsulatn_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/in/CenterCB_Insulatin_13mm_Installatin.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P511300,Talon TS single hinged wrap over pipe clip 15mm,Talon,0.08,"The Talon TS 15mm single-hinged clip provides secure 360° fixing for pipework. Manufactured in high quality polypropylene, this clip is compatible with size 10 countersunk screws and a variety of sizes can be connected using the dovetail, providing equal pipe spacing.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Talon TS single hinged wrap over pipe clip 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/02/NW-511300_511302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Hinged_Clips_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P511302,Talon TS single hinged wrap-over pipe clip 28mm,Talon,0.29,"The Talon TS 28mm single-hinged clip provides secure 360° fixing for pipework. Manufactured in high quality polypropylene, this clip is compatible with size 10 countersunk screws and a variety of sizes can be connected using the dovetail, providing equal pipe spacing.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Talon TS single hinged wrap-over pipe clip 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/02/NW-511300_511302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Hinged_Clips_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P511301,Talon TS single hinged wrap over pipe clip 22mm,Talon,0.11,"The Talon TS 22mm single-hinged clip provides secure 360° fixing for pipework. Manufactured in high quality polypropylene, this clip is compatible with size 10 countersunk screws and a variety of sizes can be connected using the dovetail, providing equal pipe spacing.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Talon TS single hinged wrap over pipe clip 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/02/NW-511300_511302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Hinged_Clips_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P637076,Lawton Tube MUN single cast munsen ring M10 28mm Brass,Lawton Tube,2.65,"Made of copper with a brass finish, this Lawton Tube MUN 28mm munsen ring is designed for use as a tube support on ceilings and walls. Copper is a cost effective solution for a wide range of pipework applications.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Lawton Tube MUN single cast munsen ring M10 28mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/82/NW-637074_637082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P190724,Center CB pipe insulation 28 x 13mm 2mtr,Center CB,2.0,"This Center CB 13mm thickness insulation for 28mm pipes is a professional grade polyethylene-based closed-cell foam designed for use on heating and plumbing pipework. Highly efficient, this insulation protects against frost while significantly reducing energy waste to reduce a building's carbon footprint. Supplied in a 2M length, Center CB's insulation provides effective sound absorption, reducing irritating pipework pop and flow noises.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Center CB pipe insulation 28 x 13mm 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/24/190720_190724_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_PEPipeInsulation_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/CenterCB_PEPipeInsulatn_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/in/CenterCB_Insulatin_13mm_Installatin.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
