,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
0,PF14565,Center CB solvent-weld coupler 110mm Grey,Center CB,18.09,"Center CB solvent-weld coupler is made of plastic. The Center PVC-U solvent weld soil fittings are frequently used in conjunction with push-fit range of pipes and fittings and are the perfect solution for when only a permanent connection will do. Designed and engineered to perform, this range is as suited for use in commercial developments as it is in domestic housing.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Center CB solvent-weld coupler 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/65/NW-F14565_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF72165,Saint Gobain Timesaver GT01 pipe coupling 150mm,Saint Gobain,63.55,"Made of ductile iron, this Saint Gobain Timesaver GT01 150mm two-piece standard coupling with synthetic rubber gasket joints Timesaver soil to Timesaver soil (black gasket). The Timesaver drainage system offers a range of extremely high strength fittings ideal for below ground applications.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Timesaver GT01 pipe coupling 150mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/65/NW-F72165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_AG_BG_Drainage_Sys_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PF77612,Saint Gobain Timesaver TD02 drain to soil coupling 100mm,Saint Gobain,52.75,"Made of ductile iron, this Saint Gobain Timesaver TD02 100mm two-piece transitional coupling with stainless steel nuts, set screws and synthetic rubber gasket joints Timesaver drain to Timesaver soil or Ensign soil (black gasket with identity marking). The Timesaver drainage system offers a range of extremely high strength fittings ideal for below ground applications.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Timesaver TD02 drain to soil coupling 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/12/NW-F77612_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_AG_BG_Drainage_Sys_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PF29052,"Polypipe Terrain 100 straight coupling 6"" Grey",Polypipe,56.85,"Suitable for use in commercial building services, this Polypipe Terrain 100 straight coupling with 160mm solvent weld connections is made of grey PVC-u. Fully accredited, the Polypipe Terrain PVC drainage system can be jointed to a wide range of other materials.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Polypipe Terrain 100 straight coupling 6"" Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/52/NW-F29051_F29052_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PW12012,Saint Gobain Ensign EC002 two piece ductile coupling 100mm,Saint Gobain,17.61,"This Saint Gobain Ensign EC002 100mm two-piece iron coupling is made of cast iron with a red protective finish, compression connections and inbuilt electrical continuity. Used by flagship hospitals throughout the UK, the strong and long lasting Ensign range helps to maintain a safe environment while providing reliable sanitary drainage and rainwater solutions.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Ensign EC002 two piece ductile coupling 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/12/NW-W12010_W12012_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/SG_Pipes_and_Fittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_Drainage_Systems_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_AG_BG_Drainage_Sys_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PF29057,"Polypipe Terrain 100 slip coupling 4"" Grey",Polypipe,42.11,"Made of grey PVC-U, this Polypipe Terrain 100 slip coupler with 110mm solvent weld connections is designed for use in commercial building services. The Polypipe Terrain PVC drainage system is fully accredited and is suitable for joining to a variety of other materials.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Polypipe Terrain 100 slip coupling 4"" Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/57/NW-F29057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PF72115,Saint Gobain Timesaver GT01 pipe coupling 100mm,Saint Gobain,31.84,"Made of ductile iron, this Saint Gobain Timesaver GT01 100mm two-piece standard coupling with synthetic rubber gasket joints Timesaver soil to Timesaver soil (black gasket). The Timesaver drainage system offers a range of extremely high strength fittings ideal for below ground applications.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Timesaver GT01 pipe coupling 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/15/NW-F72115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_AG_BG_Drainage_Sys_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PW12014,Saint Gobain Ensign EC002 two piece ductile coupling 150mm,Saint Gobain,35.27,"This Saint Gobain Ensign EC002 150mm two-piece iron coupling is made of cast iron with a red protective finish, compression connections and inbuilt electrical continuity. Used by flagship hospitals throughout the UK, the strong and long lasting Ensign range helps to maintain a safe environment while providing reliable sanitary drainage and rainwater solutions.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Ensign EC002 two piece ductile coupling 150mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/16/NW-W12014_W12016_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/SG_Pipes_and_Fittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_Drainage_Systems_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_AG_BG_Drainage_Sys_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PF68810,Polypipe double socket pipe coupler 110mm Grey,Polypipe,17.59,"This Polypipe System 2000 coupler is made of grey PVC-U with 110mm solvent weld connections and is suitable for domestic use. An alternative to ring seal fittings, System 2000 Solvent weld soil fittings are the ideal choice where a permanent homogeneous connection is needed.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Polypipe double socket pipe coupler 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/10/NW-F68810_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PF72055,Saint Gobain Timesaver GT01 plain pipe coupling 75mm,Saint Gobain,24.39,"Made of ductile iron, this Saint Gobain Timesaver GT01 75mm two-piece standard coupling with synthetic rubber gasket joints Timesaver soil to Timesaver soil (black gasket). The Timesaver drainage system offers a range of extremely high strength fittings ideal for below ground applications.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Pipe Couplings/Soil Pipe Couplings.csv -> Saint Gobain Timesaver GT01 plain pipe coupling 75mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/55/NW-F72055_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_AG_BG_Drainage_Sys_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
