,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5
0,P329902,S and S Northern Merlin gas pressure proving and detection system,S and S Northern,490.85,"For use in plant rooms and boiler houses, this S and S Northern Merlin gas pressure proving and gas detection system panel carries out a gas proving test on pipework, letting you know if there is a gas appliance open or a gas leak. A lockable key switch operation gives the user full control over their incoming gas supply.",Heating/Central Heating Controls/Central Heating Sensors/Central Heating Sensors.csv -> S and S Northern Merlin gas pressure proving and detection system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/02/NW-329902_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/SNSNorthern_Merlin1000BH_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/SNSNorthern_Merlin1000BH_TS_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/SNSNorthern_Merlin1000BH_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SNSNorthern_Merlin_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/SNSNorthern_Merlin1000BH_DWG.pdf
1,P303109,Siemens outside air temperature detector,Siemens,20.72,"Ideal for heating, ventilating and air conditioning plants where comfort is required, this Siemens outside temperature sensor reads the air temperature via a sensing element which changes resistance as a function of the temperature, delivering to a suitable controller.",Heating/Central Heating Controls/Central Heating Sensors/Central Heating Sensors.csv -> Siemens outside air temperature detector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/09/NW-303109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_QAC-FW-T1G_Technical.pdf,,,,
2,P303649,Siemens immersion temperature sensor with packet,Siemens,43.95,"Suitable for use in ventilation and air conditioning plants, this Siemens immersion temperature sensor can control or limit flow temperatures, limit return temperatures and control DHW temperatures. Reading the medium temperature via a resistance changing sensing element, the sensor then passes the reading to a controller.",Heating/Central Heating Controls/Central Heating Sensors/Central Heating Sensors.csv -> Siemens immersion temperature sensor with packet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/49/NW-303649_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Siemens_QAE-QAM_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_QAE21_Technical.pdf,,,
3,P303644,Siemens duct temperature detection 0.4m sensor,Siemens,43.24,"Suitable for use in ventilation and air conditioning plants, this Siemens 0.4M duct temperature sensor can operate as a supply or extract air temperature sensor, a limit sensor, reference sensor or as a measuring sensor. Reading the air temperature via a resistance changing sensing element, the sensor then passes the reading to a controller.",Heating/Central Heating Controls/Central Heating Sensors/Central Heating Sensors.csv -> Siemens duct temperature detection 0.4m sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/44/NW-303644_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_QAM21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Siemens_QAE-QAM_Instructions.pdf,,,
4,P303108,Siemens room temperature detector,Siemens,25.52,"Ideal for heating, ventilating and air conditioning plants where comfort is required, this Siemens room temperature sensor reads the air temperature via a sensing element which changes resistance as a function of the temperature, delivering to a suitable controller.",Heating/Central Heating Controls/Central Heating Sensors/Central Heating Sensors.csv -> Siemens room temperature detector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/08/NW-303108_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_QAA24-27_Technical.pdf,,,,
5,P329903,S and S Northern Merlin 2 zone gas detection system (up to 8 sensors),S and S Northern,291.54,"Operating on two zone gas detection, this S and S Northern Merlin gas detection system can connect two remote detectors for multi-area or multi-gas detection in factories, car parks, boiler houses or shopping centres, commonly sensing carbon monoxide, natural gas or LPG. The Merlin gas detection range is capable of incorporating any number of fusible links wired in series to the same terminal for extra peace of mind.",Heating/Central Heating Controls/Central Heating Sensors/Central Heating Sensors.csv -> S and S Northern Merlin 2 zone gas detection system (up to 8 sensors),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/03/NW-329903_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/SNSNorthern_MerlinGDP2_TS_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/SNSNorthern_MerlinGDP2_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/SNSNorthern_Merlin_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/SNSNorthern_MerlinGDP2_Manual.pdf,
6,P329906,S and S Northern Merlin carbon monoxide gas sensor (for S-Range and GDP systems),S and S Northern,107.1,"Operating with a control panel, this S and S Northern Merlin carbon monoxide detector should be situated approximately 1M from ground level to properly sense dense carbon monoxide. Suitable for use with S-Range and GDP Systems, when this detector senses carbon monoxide at a level exceeding 50ppm for over 4 minutes it will trigger and alarm which is resettable by rectifying the leak, allowing the sensor head to clear and restarting the panel.",Heating/Central Heating Controls/Central Heating Sensors/Central Heating Sensors.csv -> S and S Northern Merlin carbon monoxide gas sensor (for S-Range and GDP systems),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/06/NW-329906_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/SNSNorthern_GasDetector_Install.pdf,,,,
7,P487224,Coster methane gas sensor commercial,Coster,104.37,"This Coster gas sensor monitors the concentration of combustible gas in the air and activates a voltage output to an electronic detector. It is compatible with RFG 361, RFG 651, RFG 652 and RFG 653.",Heating/Central Heating Controls/Central Heating Sensors/Central Heating Sensors.csv -> Coster methane gas sensor commercial,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/24/NW-487224_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coster_RFG65_Technical.pdf,,,,
8,P329905,S and S Northern Merlin gas sensor (for S-Range and GDP systems),S and S Northern,107.1,"Designed to work with a control panel, this S and S Northern Merlin natural gas detector is compatible with S-Range and GDP systems. This natural gas detector should be located around 300mm from the ceiling and at detection will go into alarm at 10% of the low explosion level, triggering isolation of the power supply to the solenoid and therefore isolation of the gas supply.",Heating/Central Heating Controls/Central Heating Sensors/Central Heating Sensors.csv -> S and S Northern Merlin gas sensor (for S-Range and GDP systems),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/05/NW-329905_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/SNSNorthern_NG_Detector_TS_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/SNSNorthern_GasDetector_Install.pdf,,,
9,P303111,Siemens clamp on water temperature detector,Siemens,29.06,"Reading the temperature of pipework, this Siemens clamp-on temperature sensor has a nickel sensing element which changes resistance as a function of the medium temperature. The resistance value is passed on to a suitable controller.",Heating/Central Heating Controls/Central Heating Sensors/Central Heating Sensors.csv -> Siemens clamp on water temperature detector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/11/NW-303111_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siemens_QAD2_Technical.pdf,,,,
