,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Finish,Depth (mm),Attachment 4,Attachment 5,Colour,Flush Type,Warranty,Air Pipe Supplied,Flush Mechanism,Material,Fittings Included,Inlet Position,Overflow Type,Feature 17,Feature 18,Feature 19,Feature 20
0,P171203,Fluidmaster Univers Cistern Repair Pk,Fluidmaster,31.49,"Promising high quality and reliable durability, this Fluidmaster PRO Series universal cistern pack was developed with plumbing professionals in mind. A handy addition to your stockroom, this pack includes a brass shank fill valve, flush valve and fittings.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Fluidmaster Univers Cistern Repair Pk,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/03/NW-171203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/lv/Fluidmaster_Toilet_Symptom_Fill_Valv.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/lu/nk/Fluidmaster_Toilet_Symptom_Clunk.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PB24016,Nabis Concealed cistern bottom entry concealed cistern and button,Nabis,39.49,"Containing an innovative air inlet valve, this Nabis concealed cistern can achieve an AG-type air gap. Suitable for in-wall or furniture installation, this compact cistern has a push button adjustable dual flush with delayed action inlet valve for water economy. Supplied as a complete kit for easy installation, the Nabis cistern includes a flushing valve, bottom entry inlet valve and chrome push button.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Nabis Concealed cistern bottom entry concealed cistern and button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/17/NW-B24016_B24017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/B24016_Nabis_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B24016_B24017_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PU91090,Geberit flat gasket for flush valve,Geberit,1.8,A Geberit flat gasket for use in the flush valves of exposed and concealed cisterns.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit flat gasket for flush valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/90/NW-U91090_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PB98987,Ideal Standard Contour 21 close coupled cistern white 75mm projection,Ideal Standard,276.87,A 4.5L Ideal Standard Contour 21 delay fill siphon cistern for 750mm projection toilet bowls.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Ideal Standard Contour 21 close coupled cistern white 75mm projection,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/87/NW-B98987_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_21_S365401_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Close_Coupled_WC_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PB24017,Nabis Flushing side entry concealed cistern,Nabis,53.1,"The innovative air inlet valve fitted to the Nabis Flushing concealed toilet cistern is capable of achieving an AG-type air gap. Providing easy installation, this complete kit includes a flushing valve, side entry valve and a smart chrome-plated push button. The compact Flushing is suitable for either in-wall or in-furniture installation and has a 6/4L or 4/2.6L adjustable dual flush with delayed action inlet valve, helping users to minimise water usage.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Nabis Flushing side entry concealed cistern,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/17/NW-B24016_B24017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/B24017_Nabis_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B24016_B24017_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PB97944,Twyford Flushsense air button dual flush - plastic plate chrome,Twyford,54.56,"This Twyford large, plastic flush plate is finished in chrome and suitable for dual flush operation.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Twyford Flushsense air button dual flush - plastic plate chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/44/NW-B97944_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_ConcealedCisternWC_DFPB_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Twyford_ConcledCisternMatrixBrochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PJ23302,Ideal Standard Portman 21 basin bracket with waste 500/600mm,Ideal Standard,35.72,This modern Ideal Standard Portman 21 concealed bracket and waste support is designed for use with 500mm and 600mm wash basins.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Ideal Standard Portman 21 basin bracket with waste 500/600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/02/J23302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PU00103,Geberit Kappa concealed dual flush cistern White,Geberit,160.09,"Fitted with front actuation, this Geberit Kappa dual flush concealed cistern is suitable for installation in drywall construction, part or room-height pre-wall installations and room-height installations with wall and floor standing toilets. Fully insulated, this adjustable depth cistern is designed to resist condensation.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Kappa concealed dual flush cistern White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/13/550213_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P231855,"Geberit Delta Geberit Duofix for wall-hung WC, with Delta concealed cistern 12 cm, flush plate Delta20, 112 cm pack",Geberit,189.0,"A handy pack for easy, all-in-one installation, this Geberit Duofix 1120mm frame for wall-hung toilets is supplied complete with a Delta 120mm concealed cistern and a Delta20 flush plate. Self-supporting, the Duofix frame is supplied with drilling holes for ease of fastening and has non-slip leg supports and rotatable foot plates for sturdy installation. The included cistern offers front actuation of a 3/5.8L dual flush for reduced water waste.","Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Delta Geberit Duofix for wall-hung WC, with Delta concealed cistern 12 cm, flush plate Delta20, 112 cm pack",,"Duofix 112 cm element for wall-hun WC, Delta concealed cistern, Delta20 actuator plate ;fastening material",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/55/U94953_55_wm.jpg,,,,Delta,N,231855 PK,Frame and Cistern,N,Powder-coated self-supporting frame,Frame with Ø 9mm drilling holes for fastening into wood frame,Frame prepared for support brackets for ceramic toilets with small contact surfaces,Adjustable 0 - 200mm galvanised feet,Foot plate depth suitable for installation in U-profiles UW50 and UW75 and Geberit Duofix system rails,Connection bend can be mounted without tools with adjustable 45mm range,Sound absorbing fastening for connection bend,Cistern fully insulated against condensation,Factory set immediate post flush,Tool-free installation and maintenance on cistern,Water supply connection on rear or top centre,Cover box on service opening protects from moisture and dirt,Protection box can be cut to length,With conduit pipe for feed pipe connection of Geberit AquaClean shower toilets,With fastening option for electrical connection,"Cistern fulfils standard requirements in accordance with EN 14055, Class II",,,,,,,,,,,,,,,,,
9,PB97891,Twyford Avalon/Sola close coupled cistern bottom inlet supply internal overflow 6/4ltr White,Twyford,185.54,This Twyford Avalon/Sola close coupled toilet cistern is fitted with a chrome-plated spatula lever.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Twyford Avalon/Sola close coupled cistern bottom inlet supply internal overflow 6/4ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/92/NW-B97891_B97892_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rw/ng/Twyford_Avalon_Rimless_CC_WC_Drwng.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Avalon_Rimless_CC_WC_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
