,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Voltage (V),Warranty,Weight,Hazardous,Sound Power Level (Indoors),Output,Depth (mm),Mounting Type,Compressor Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Capacity Litre,Feature 8,Attachment 3,Attachment 4,Colour,Projection Depth,Style,Watts,Fuel Source,Material,Orientation,Shape,Wall to Centre Tapping,BTU h,Feature 9,Feature 10,Feature 11,Attachment 5,Diameter,Feature 12,Feature 13,Feature 14,Connection Type,Pressure,Overheat Protection,Direct / Indirect,Insulation Type,Application,Pack Quantity,Area (m2),Attachment 6,Refrigerant Suitability
0,P115374,Ideal Heating Logic Air AH750666 Logic Air Monobloc Heat Pump 8kW,Ideal Heating,3321.47,"Offering high levels of efficiency in heating and hot water, the Ideal Heating Logic Air AH750666 8kW monobloc heat pump delivers reliable low carbon heating to your home. Designed with weather compensation for improved cost savings and comfort, this heat pump delivers ease of use and green technology for a reduced carbon footprint with minimal effort.",Renewables/Renewables.csv -> Ideal Heating Logic Air AH750666 Logic Air Monobloc Heat Pump 8kW,,Heat Pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/74/115374_wm.jpg,Logic Air,230,2 years,120kg,N,55,8 kW,558,Floor Standing,Twin-Rotary,AH750666,Air to Water Heat Pump,N,For floor standing installation,Twin rotary compressor,Operates quietly,Intuitive control for ease of use,Smart weather compensation,Uses low carbon refrigerant with zero ozone depletion and low Global Warming Potential (GWP),2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD03670,Recoup Pipe HEX WWHRS heat exchange unit 2100mm Grey,Recoup,525.28,"A popular WWHRS innovation, this Recoup Pipe HEX heat exchanger unit succeeds the Recoup Pipe+ HE, with a new Turbo Rotator for increased efficiency of up to 68.5% and an improved SAP pound to points ratio. Easy to install and highly durable, this compact unit requires no end user interaction and, thanks to its lightweight PVC outer, is an on-site theft deterrent. Offering simple, reliable heat exchange technology, Pipe HEX is recommended for new build homes, hotels and student accommodation.",Renewables/Renewables.csv -> Recoup Pipe HEX WWHRS heat exchange unit 2100mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/70/NW-D03670_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Recoup_Pipe_Hex_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Recoup_Pipe_HEX-Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P143381,Joule Kodiak Slim HUKH-G6150-S3C pre-plumbed indirect cylinder 150L,Joule,2360.95,"Offering a capacity of 150L, this Joule Kodiak Slim indirect cylinder is suitable for installation in smaller spaces or where access is limited. Pre-plumbed, this cylinder allows for fast, easy installation.",Renewables/Renewables.csv -> Joule Kodiak Slim HUKH-G6150-S3C pre-plumbed indirect cylinder 150L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/81/143381_wm.jpg,Kodiak Slim,,7 Years,86 kg,N,,,,,,HUKH-G6150-S3C,ASHP Cylinders,N,Slimline design for small spaces,Pre-plumbed for quicker installation,1467mm height,7 year warranty,,,,,,150 l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P131044,Samsung AE050RXYDEG/EU 1 phase mono air source heat pump 5 - 4.35kW R32,Samsung,1564.22,"Extremely energy efficient, the Samsung AE050RXYDEG/EU single phase mono air source heat pump uses the heat from the air to supply both heating and hot water. Transferring ambient air into a property via a hydronic system like underfloor heating, this heat pump helps to improve efficiency, requiring less power input than a conventional boiler while also offering a higher output. Bolted to anti-vibration feet, the AE050RXYDEG/EU operates quietly to minimise disruption.",Renewables/Renewables.csv -> Samsung AE050RXYDEG/EU 1 phase mono air source heat pump 5 - 4.35kW R32,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/44/131044_wm.jpg,,220 - 240,7 Year,58.5 kg,N,45 dB(A),5 kW,310,Bolted to Anti-Vibrate Feet,BLDC Twin Rotary,HHSMG6000051,Air to Water Heat Pump,N,"SCOP of 4.85, best on the MCS database",Offers 65°C hot water,45dB(A) sound level for disruption-free operation,Offers outputs of 5kW,Low GWP for more efficient use,Compatible with R32 refrigerant,With anti-vibration feet,,,,7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P276300,Stelrad Compact K3 K3 radiator 700 x 2000mm,Stelrad,498.94,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 2000 x 700mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Renewables/Renewables.csv -> Stelrad Compact K3 K3 radiator 700 x 2000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P276298,Stelrad Compact K3 K3 radiator 700 x 1600mm,Stelrad,400.01,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 1600 x 700mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Renewables/Renewables.csv -> Stelrad Compact K3 K3 radiator 700 x 1600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P619028,Mitsubishi Ecodan PAC-IF072B-E main controller FTC6,Mitsubishi,673.81,"Smart-Grid ready, the Mitsubishi Ecodan FTC6 main controller is fitted with an inbuilt quiet mode interface. This controller helps to improve the commissioning process with a step-by-step installation wizard while intelligent room temperature control ensures comfort with minimal interaction. The FTC6 also provides detailed information for energy monitoring, displaying both consumed and produced energy on demand.",Renewables/Renewables.csv -> Mitsubishi Ecodan PAC-IF072B-E main controller FTC6,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/28/619028_wm.jpg,Ecodan,230,3 Years,4 kg,N,,,406,Wall Mounted,,498007,Main Controller,N,Smart grid ready,Step-by-step installation wizard for ease of commissioning,Built-in quiet mode interface,Smart device ready (MELCloud),Advanced maintenance,3 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P117981,Vaillant aroTHERM air to water heat pump hose 750mm,Vaillant,124.1,"This pre-insulated 750mm Vaillant aroTHERM flexi hose is intended for use with air-to-water heat pump systems. Quick to install, this kink-free hose has a right-angled fixing and copper compression fitting.",Renewables/Renewables.csv -> Vaillant aroTHERM air to water heat pump hose 750mm,,Flexi hose complete,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/81/117981_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_aroTherm_Heat-P_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTherm_Val0040_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Vaillant_aroTherm_User_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroTherm_5-15kw_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD03671,Recoup Pipe HEX Installation Pack install component pack various colours and size,Recoup,47.11,"Offering waste water heat recovery for showers, the Recoup Pipe HEX installation pack is suitable for the Recoup Pipe HEX. This system recovers heat energy from your shower water, using it to heat mains cold for pre-heated water. This water is used by the shower and water heater, reducing hot water energy demand. With efficiency of up to 68.5%, the pipe HEX boosts SAP points and is easy to install, with no end-user interaction required. Designed for installation on the floor below the shower, this system is recommended for new build homes, hotels and student accommodation.",Renewables/Renewables.csv -> Recoup Pipe HEX Installation Pack install component pack various colours and size,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/71/NW-D03671_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Recoup_Pipe_HEX-Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P115373,Ideal Heating Logic Air AH750665 Logic Air Monobloc Heat Pump 5kW,Ideal Heating,2977.25,"Offering high levels of efficiency in heating and hot water, the Ideal Heating Logic Air AH750665 5kW monobloc heat pump delivers reliable low carbon heating to your home. Designed with weather compensation for improved cost savings and comfort, this heat pump delivers ease of use and green technology for a reduced carbon footprint with minimal effort.",Renewables/Renewables.csv -> Ideal Heating Logic Air AH750665 Logic Air Monobloc Heat Pump 5kW,,Heat Pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/73/115373_wm.jpg,Logic Air,230,2 years,86 kg,N,52,5 kW,558,Floor Standing,Twin-Rotary,AH750665,Air to Water Heat Pump,N,For floor standing installation,Twin rotary compressor,Operates quietly,Intuitive control for ease of use,Smart weather compensation,Uses low carbon refrigerant with zero ozone depletion and low Global Warming Potential (GWP),2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
