,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Connection Size,Connection Type,Hazardous,Dimensions (L x W x D),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
0,PF16350,Center CB socket plug 40mm White,Center CB,2.35,"Center CB socket plug is made of plastic. The Center push-fit waste range uses a simple ring seal jointing system, ideally suited for fast installation. The range provides a cost effective solution where systems are being installed or modified. For internal use only.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Plugs and Caps /Waste Pipe Plugs and Caps .csv -> Center CB socket plug 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/50/NW-F16350_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/CenterCB_Drainage_Prod_Guide_Feb2019.pdf,,,,,,,,,,,,,,,
1,PF15164,"Center CB socket plug 1.1/4""",Center CB,2.35,"Made of polypropylene (PP), this Center CB 32mm socket plug is part of a range designed to incorporate simple but effective ring seal jointing for fast, convenient installation. This cost-effective system is completely demountable, making it suitable for both new installations and modifications.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Plugs and Caps /Waste Pipe Plugs and Caps .csv -> Center CB socket plug 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/64/NW-F15164_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,
2,PF48319,"McAlpine T23U blanking cap for waste pipe1.1/2""",McAlpine,2.49,"Suitable for plastic waste pipes, this McAlpine 1 1/2"" blank cap incorporates connections with moulded internal sleeves designed to centre and support the pipe. Multifit and friction washers are used to create a secure seal between the pipe and the fitting wall of the fitting. Where a plastic pipe is undersized or out of shape it may be necessary to warm the end, enabling it to be pushed over the internal sleeve.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Plugs and Caps /Waste Pipe Plugs and Caps .csv -> McAlpine T23U blanking cap for waste pipe1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/19/NW-F48318_F48319_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F48319_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,
3,PF48318,"McAlpine S23U blanking cap for waste pipe 1 1/4""",McAlpine,2.28,"Made of robust polypropylene, this McAlpine S23U 1 1/4"" blanking plug has a moulded internal sleeve for pipe centering and support. It is designed with multifit and friction washers to ensure a secure seal between pipe and fitting wall. If the plastic pipe used is small or misshapen the end may need to be warmed, allowing it to be eased over the internal sleeve.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Plugs and Caps /Waste Pipe Plugs and Caps .csv -> McAlpine S23U blanking cap for waste pipe 1 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/18/F48318_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F48318_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,
4,PF47182,"McAlpine FSW2PC sink waste and overflow plug 1.1/2"" Chrome Plated",McAlpine,6.59,"This McAlpine 1 1/2"" x 85mm sink combined waste and overflow with chrome-plated overflow grid has a centre pin dry fixing connection for fast, easy installation and a neat finish.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Plugs and Caps /Waste Pipe Plugs and Caps .csv -> McAlpine FSW2PC sink waste and overflow plug 1.1/2"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/82/NW-F47182_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47182_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,
5,PF41230,"McAlpine T23M multi-fit male blank cap 1.1/2""",McAlpine,0.98,"This McAlpine 1 1/2"" multifit blank cap includes connections with moulded internal sleeves designed to centre and support the pipe. Multifit and friction washers are used to create a secure seal between the pipe and the fitting wall of the fitting. Where a plastic pipe is undersized or out of shape it may be necessary to warm the end, enabling it to be pushed over the internal sleeve.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Plugs and Caps /Waste Pipe Plugs and Caps .csv -> McAlpine T23M multi-fit male blank cap 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/30/NW-F41230_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41230_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,
6,PF48339,McAlpine blank plug stopper for spigot Blue,McAlpine,0.23,"Designed for use in a variety of waste applications, this McAlpine 1"" BSP blank plug stopper for spigot has a universal connection for use on any McAlpine domestic appliance trap.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Plugs and Caps /Waste Pipe Plugs and Caps .csv -> McAlpine blank plug stopper for spigot Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/39/F48339_wm.jpg,,,,1 IN BSP,Universal,N,34 x 25 x 25 mm,Plastic,228532,Blanking Plug,N,Leading supplier,Hardwearing,Value for money,Suitable for a wide range of waste applications,Manufactured from superior materials
7,PF66287,Polypipe socket plug 32mm White,Polypipe,4.93,"Suitable for domestic use, this Polypipe socket plug with 32mm push-fit connections is made of white polypropylene (PP) and incorporates BioCote anti-microbial technology. A fast, simple alternative to solvent weld systems, Polypipe Push Fit waste fittings allows for disassembly and reconnection at the point of installation.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Plugs and Caps /Waste Pipe Plugs and Caps .csv -> Polypipe socket plug 32mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/87/NW-F66287_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,
8,PF66060,Polypipe socket plug 32mm Black,Polypipe,4.93,"Suitable for domestic use, this Polypipe socket plug with 32mm push-fit connections is made of black polypropylene (PP) and incorporates BioCote anti-microbial technology. A fast, simple alternative to solvent weld systems, Polypipe Push Fit waste fittings allows for disassembly and reconnection at the point of installation.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Plugs and Caps /Waste Pipe Plugs and Caps .csv -> Polypipe socket plug 32mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/60/NW-F66060_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,
9,PF54056,Geberit HDPE HDPE PE protect cap 160mm,Geberit,4.32,"Made of high density polyethylene (HDPE), this Geberit HDPE 160mm pipe end protective cap in yellow is suitable for a range of uses in building and roof drainage in industrial, commercial and laboratory settings and can be installed in-ground, in concrete or during bridge construction. This fitting is additionally suitable for conventional or siphonic roof drainage systems and in land drainage systems.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Plugs and Caps /Waste Pipe Plugs and Caps .csv -> Geberit HDPE HDPE PE protect cap 160mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/56/NW-F54056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Geberit_HDPE_Silent_db20_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_DrainageSystem_Product_Guide.pdf,,,,,,,,,,,,,,
