,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Hazardous,By Model Number,Supplier Product Code,Type,WEEE Compliant,Range,Dimensions mm (H x W x D),Feature 1,Feature 2,Feature 3,Connection,Connection Size,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Application,Feature 4,Feature 5,Spray Angle,Diameter,Operating Temperature,Warranty,Capacitance,Dimensions (L x W x D),Part Gas Council number,Working Pressure,Voltage (V),Output (W),Phase,Frequency,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 6,Attachment 7,Pack Quantity
0,P472050,Grant 20030953 Pump Rdb Bio(To B10 Mix),Grant,99.18,This Grant Oil pump works with one pipe or two pipe oil feed systems.,Heating/Burner Parts/Burner Parts.csv -> Grant 20030953 Pump Rdb Bio(To B10 Mix),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/50/NW-472050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Grant_VortexEco_UtilitySystem_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P414858,Danfoss Diamond 2.0 071N7155 burner fuel pump BFP11 R3,Danfoss,76.23,"This Danfoss BFP11 R3 one-stage oil pump is suitable for small or medium-sized domestic oil burners. With a 15 bar pressure rating, this 220 to 230V 50/60Hz pump is speed rated to 3450 RPM.",Heating/Burner Parts/Burner Parts.csv -> Danfoss Diamond 2.0 071N7155 burner fuel pump BFP11 R3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/58/NW-414858_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_BFP_10_11_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AD125086457463_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Danfoss_BFP_EU_Declaration_Cert.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_BFP_10_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AI118886455280_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P414857,Danfoss Diamond 2.0 071N7141 burner fuel pump BFP11 L3,Danfoss,76.23,"This Danfoss BFP11 L3 one-stage oil pump is suitable for small or medium-sized domestic oil burners. With a 15 bar pressure rating, this 220 to 230V 50/60Hz pump is speed rated to 3450 RPM.",Heating/Burner Parts/Burner Parts.csv -> Danfoss Diamond 2.0 071N7141 burner fuel pump BFP11 L3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/60/NW-414857_414860_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_BFP_10_11_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AD125086457463_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Danfoss_BFP_EU_Declaration_Cert.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_BFP_10_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AI118886455280_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P472047,Grant pump R40 bio to B10 mix,Grant,97.07,"This Grant pump is compatible with gas oil, kerosene and 20% blend biofuels.",Heating/Burner Parts/Burner Parts.csv -> Grant pump R40 bio to B10 mix,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-472047_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grant_Vortex_Blue_Int_Combi_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P414861,Danfoss Diamond 2.0 071N8213 burner fuel pump BFP41 L3,Danfoss,76.23,"This Danfoss BFP41 L3 one-stage oil pump is suitable for small or medium-sized domestic oil burners. With a 15 bar pressure rating, this 220 to 230V 50/60Hz pump is speed rated to 3450 RPM.",Heating/Burner Parts/Burner Parts.csv -> Danfoss Diamond 2.0 071N8213 burner fuel pump BFP41 L3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/61/NW-414861_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AD125086457463_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_BFP_41_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Danfoss_BFP_EU_Declaration_Cert.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_BFP_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AI118886455280_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P419380,Satronic control box 240V,Satronic,55.42,This Satronic TF 832.3 oil burner safety control box controls and monitors oil powered burners up to 30 kg/h in capacity.,Heating/Burner Parts/Burner Parts.csv -> Satronic control box 240V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/80/NW-419379_419380_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_TF830-3-832-3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P419379,Satronic TF 830.3 control box 240v,Satronic,58.44,This Satronic TF 830.3 oil burner safety control box controls and monitors oil powered burners up to 30 kg/h in capacity.,Heating/Burner Parts/Burner Parts.csv -> Satronic TF 830.3 control box 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/80/NW-419379_419380_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_TF830-3-832-3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P414859,Danfoss Diamond 2.0 071N7156 burner fuel pump BFP21 L3,Danfoss,76.23,"This Danfoss BFP21 L3 one-stage oil pump is suitable for small or medium-sized domestic oil burners. With a 15 bar pressure rating, this 220 to 230V 50/60Hz pump is speed rated to 3450 RPM.",Heating/Burner Parts/Burner Parts.csv -> Danfoss Diamond 2.0 071N7156 burner fuel pump BFP21 L3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/60/NW-414857_414860_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AD125086457463_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_BFP_20_21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Danfoss_BFP_EU_Declaration_Cert.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_BFP_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AI118886455280_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P414856,"Danfoss 071N1006W pump coil 230V, T85, for Diamond 2.0 series burner fuel pump",Danfoss,24.55,"Ideal for use alongside BFP oil pumps, the modern Danfoss Diamond 2.0 coil benefits from thick coil wire.","Heating/Burner Parts/Burner Parts.csv -> Danfoss 071N1006W pump coil 230V, T85, for Diamond 2.0 series burner fuel pump",,Coil;Nut;Washer,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/56/NW-414856_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Burner_Component_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P481395,Atkinson brass inserts 10mm,Atkinson,0.67,"Made of copper, this Atkinson pipe insert acts as a strengthening support, allowing a joint made via a compression fitting to be tightened with some force with no risk of crushing. Suitable for 10mm soft copper pipe, the insert forms an airtight seal between the inside diameter of the pipe and the compression fitting.",Heating/Burner Parts/Burner Parts.csv -> Atkinson brass inserts 10mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/95/NW-481395_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Atkinson_Top_Offtake_Fittng_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
