,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Diameter,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Depth (mm),Dimensions mm (H x W x D),Material Type,Tap Holes,Body Material,Number of Tap Holes,Feature 6,Feature 7,Range,Feature 8,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Style,Warranty,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Feature 9,Feature 10,Attachment 3,Attachment 4,Weight,Minimum Base Unit Size (mm),Waste Kit Included,Sector
0,PC50530,"Nabis 1 1/4"" Basin waste easy seal slotted - chrome plated",Nabis,11.76,Nabis chrome plated 1 1/4 inch basin waste with 60mm flange complete with quick clac plug,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis 1 1/4"" Basin waste easy seal slotted - chrome plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/30/C50530_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C50530_Nabis_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PA05105,Center H0112 tap reviver metal head 1/2 (1 pair),Center,7.99,"An easy update for old or broken taps, this pack of two Center CB 1/2"" basin tap revivers with metal heads is suitable for BS5412 and BS1010 bathroom taps. With no need to disturb existing plumbing, tap revivers are a fast fix for tired bathrooms.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Center H0112 tap reviver metal head 1/2 (1 pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/05/A05105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/ad/A05105 TDS Center tap reviver metal head.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A05105 - Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PC50070,"Nabis 1 1/2"" Bath pop-up-waste, overflow, cable operated",Nabis,14.25,This Nabis cable operated pop-up bath waste is made up of tough ductile iron.,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis 1 1/2"" Bath pop-up-waste, overflow, cable operated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/70/C50070_wm.jpg,,,Black / Silver,73 mm,N,Ductile Iron,1 1/2,WHP05WC,Bath Pop-Up Waste,N,Brass bodied waste and 1.1/2” BSP 70mm flange.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PC50021,"Nabis 1 1/4"" basin waste, slotted, brass bodied, metal plug, brass backnut",Nabis,6.99,"Nabis chrome plated 1 1/4 inch basin waste with 60mm flange complete with chrome plated plug and 10"" ball chain","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis 1 1/4"" basin waste, slotted, brass bodied, metal plug, brass backnut",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/21/C50021_wm.jpg,,,Chrome,,N,Brass,1.1/4,WBK62WC,Basin Waste,N,Slotted waste,1-1/4 inch basin waste,Chrome plated brass,Metal plug and metal backnut,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P257480,"Center female tap extension washer 1/2"" 2 pack",Center,1.65,"These Center 1/2"" female tap extension washers are supplied in a handy pack of two.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Center female tap extension washer 1/2"" 2 pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/80/257480_wm.jpg,,,Brass,,N,Brass / Fibre,,PPSTAS374525,Tap extension,N,Pack of 2,Brass and fibre construction,Brass finish,Female connections,,265,23 x 26.5 x 26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PC50019,"Nabis 1 1/2"" Bath waste, overflow, metal plug",Nabis,6.94,Nabis 1 1/2inch combination bath waste complete with ball chain and chrome overflow face,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis 1 1/2"" Bath waste, overflow, metal plug",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/19/C50019_wm.jpg,,,Chrome,,N,Brass,1 1/2,WHO85WS,Bath Waste,N,1-1/2 inch plastic waste body,70mm flange with centre screw fixing,Chrome plastic overflow face,Chrome plated plug and ball chain,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PC50535,"Nabis 1 1/4"" Basin waste, captive, rotary, slotted - chrome plated",Nabis,11.26,A Nabis captive basin waste made of tough ductile iron and including a metal backnut.,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis 1 1/4"" Basin waste, captive, rotary, slotted - chrome plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/35/C50535_wm.jpg,,,Galvanised,61 mm,N,Ductile Iron,1.1/4,WBK97WC,Basin Waste,N,1¼” basin waste,Captive rotary plug,Slotted body,,,,,Ductile Iron,None,Ductile Iron,0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PC50532,"Nabis 1 1/2"" Easy seal bath combi - chrome",Nabis,31.49,This Nabis easy seal bath combi is made from ultra-tough ductile iron with chrome plating for a neat finish to suit most bathrooms.,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis 1 1/2"" Easy seal bath combi - chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/32/C50532_wm.jpg,,,Chrome,86 mm,N,Ductile Iron,,WHO95WC,Easy Seal Bath Combi,N,"Brass bodied sprung waste, 1 ½” BSP brass plug, metal overflow face",,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PC50014,"Nabis combined waste with overflow and plastic plug 1.1/2"" Stainless Steel",Nabis,3.24,This Nabis plastic bodied waste is supplied with flange plug and chain.,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis combined waste with overflow and plastic plug 1.1/2"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/14/C50014_wm.jpg,,,Black/Stainless Steel,71.9 mm,N,Stainless Steel,1 1/2,WSO33WS,Sink with Overflow and Plug,N,"Includes overflow, chain and flange plug","1 1/2"" BSP x 85mm flange",Stainless steel,Black plastic overflow face,Centre screw fixing (boxed),,,,,,,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,
9,PC39740,Thomas Dudley unslotted spring clicker basin waste,Thomas Dudley,9.75,"Easy to fit, this Thomas Dudley unslotted clicker basin waste has a spring-loaded mechanism for effortless operation. Manufactured with a robust threaded brass body and sleek chrome finish, this high quality basin waste is the ideal finishing touch for a modern bathroom.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Thomas Dudley unslotted spring clicker basin waste,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/40/NW-C39740_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/2-/23/TD_Products-Parts_Catalogue_2022-23.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
