,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4
0,P675096,Danfoss TES 2 external equalization (Range-N),Danfoss,69.75,"Used to regulate the injection of R404A or R507A refrigerant into an evaporator, the Danfoss TE2 3/8 x 1/2"" thermostatic expansion valve is particularly well suited to liquid injection in dry evaporators where the superheat at the evaporator's outlet is proportional to evaporator load.",Refrigeration/Controls/Refrigeration Valves/Refrigeration Expansion Valves/Refrigeration Expansion Valves.csv -> Danfoss TES 2 external equalization (Range-N),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/96/NW-675093_675096_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_T2_TE2_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Declaration.pdf
1,P675119,Danfoss T2/TE2 solder orifice (03),Danfoss,16.2,"Compatible with a variety of refrigerants, this Danfoss T2/TE2 size 03 orifice is intended for use with thermostatic expansion valves. It has a solder connection type.",Refrigeration/Controls/Refrigeration Valves/Refrigeration Expansion Valves/Refrigeration Expansion Valves.csv -> Danfoss T2/TE2 solder orifice (03),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/22/NW-675115_675122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_T2_TE2_Catalogue.pdf,,
2,P675088,Danfoss TES 2 flared external equalization (Range-N),Danfoss,67.72,"Used to regulate the injection of R404A or R507A refrigerant into an evaporator, the Danfoss TE2 3/8 x 1/2"" thermostatic expansion valve is particularly well suited to liquid injection in dry evaporators where the superheat at the evaporator's outlet is proportional to evaporator load.",Refrigeration/Controls/Refrigeration Valves/Refrigeration Expansion Valves/Refrigeration Expansion Valves.csv -> Danfoss TES 2 flared external equalization (Range-N),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/88/NW-675088_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_T2_TE2_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Declaration.pdf
3,P675109,Danfoss T2/TE2 flared orifice (03),Danfoss,16.2,"Compatible with a variety of refrigerants, this Danfoss T2/TE2 size 03 orifice is intended for use with thermostatic expansion valves. It has a flare connection type.",Refrigeration/Controls/Refrigeration Valves/Refrigeration Expansion Valves/Refrigeration Expansion Valves.csv -> Danfoss T2/TE2 flared orifice (03),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/12/NW-675106_675112_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_T2_TE2_Catalogue.pdf,,
4,P623364,Danfoss TE2 range-N flare/solder thermostatic expansion valve (refrigerant R448A/R449A),Danfoss,67.72,"Used to regulate the injection of R448A and R449A refrigerant into an evaporator, the Danfoss TE2 3/8 x 1/2"" thermostatic expansion valve is particularly well suited to liquid injection in dry evaporators where the superheat at the evaporator's outlet is proportional to evaporator load.",Refrigeration/Controls/Refrigeration Valves/Refrigeration Expansion Valves/Refrigeration Expansion Valves.csv -> Danfoss TE2 range-N flare/solder thermostatic expansion valve (refrigerant R448A/R449A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/64/NW-623363_623364_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_T2_TE2_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Declaration.pdf,
5,P675086,Danfoss TEN 2 flared external equalization (Range-N),Danfoss,67.72,"Used to regulate the injection of R134a and R513A refrigerant into an evaporator, the Danfoss TE2 3/8 x 1/2"" thermostatic expansion valve is particularly well suited to liquid injection in dry evaporators where the superheat at the evaporator's outlet is proportional to evaporator load.",Refrigeration/Controls/Refrigeration Valves/Refrigeration Expansion Valves/Refrigeration Expansion Valves.csv -> Danfoss TEN 2 flared external equalization (Range-N),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/86/NW-675085_675086_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_T2_TE2_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Declaration.pdf
6,P675108,Danfoss T2/TE2 flared orifice (02),Danfoss,16.2,"Compatible with a variety of refrigerants, this Danfoss T2/TE2 size 02 orifice is intended for use with thermostatic expansion valves. It has a flare connection type.",Refrigeration/Controls/Refrigeration Valves/Refrigeration Expansion Valves/Refrigeration Expansion Valves.csv -> Danfoss T2/TE2 flared orifice (02),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/12/NW-675106_675112_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_T2_TE2_Catalogue.pdf,,
7,P623361,Danfoss T2 range-N flare/flare thermostatic expansion valve (refrigerant R448A/R449A),Danfoss,43.66,"Used to regulate the injection of R448A or R449A refrigerant into an evaporator, the Danfoss T2 3/8 x 1/2"" thermostatic expansion valve is particularly well suited to liquid injection in dry evaporators where the superheat at the evaporator's outlet is proportional to evaporator load.",Refrigeration/Controls/Refrigeration Valves/Refrigeration Expansion Valves/Refrigeration Expansion Valves.csv -> Danfoss T2 range-N flare/flare thermostatic expansion valve (refrigerant R448A/R449A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/62/NW-623361_623362_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_T2_TE2_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_T2_TE2_Declaration.pdf,
8,P675140,"Danfoss T2/TE2 solder adaptor 1/4""",Danfoss,13.13,"This Danfoss T2/TE2 1/4"" adapter is designed for use alongside the flare x solder thermostatic expansion valves T2 and TE2. When fitted correctly, this adapter meets the sealing requirements of DIN 8964.","Refrigeration/Controls/Refrigeration Valves/Refrigeration Expansion Valves/Refrigeration Expansion Valves.csv -> Danfoss T2/TE2 solder adaptor 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/40/NW-675140_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_T2_TE2_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_Solder_Adapter_Installation.pdf,
9,P675118,Danfoss T2/TE2 solder orifice (02),Danfoss,16.2,"Compatible with a variety of refrigerants, this Danfoss T2/TE2 size 02 orifice is intended for use with thermostatic expansion valves. It has a solder connection type.",Refrigeration/Controls/Refrigeration Valves/Refrigeration Expansion Valves/Refrigeration Expansion Valves.csv -> Danfoss T2/TE2 solder orifice (02),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/22/NW-675115_675122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_T2_TE2_Catalogue.pdf,,
