,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Dimensions mm (H x W x D),By Model Number,Application,Attachment 1,Attachment 2,Attachment 3,Range
0,P447966,Keston pump with flying leads,Keston,499.04,"Supplied with flyng leads, this Keston pump moves heated water around a boiler, via the heat exchangers and into radiators or hot taps. The pump is normally located before the diverter valve in a combi boiler to allow circulation through a heating and hot water system.",Parts and Spares/Commercial and Industrial Boiler Parts/Potterton Commercial Boiler Parts/Potterton Commercial Boiler Parts.csv -> Keston pump with flying leads,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/66/447966_wm.jpg,N,177039,Pump,N,With flying leads,,,,,,,
1,P773795,Potterton control box,Potterton,617.51,"A Potterton control box for the now out of production Derwent Prestige and Compact Plus models. The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.",Parts and Spares/Commercial and Industrial Boiler Parts/Potterton Commercial Boiler Parts/Potterton Commercial Boiler Parts.csv -> Potterton control box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/95/NW-773795_wm.jpg,N,COM17001084,Control Box,N,,x  x,"Derwent Compact Plus - Ceased Production 2013,Derwent Prestige - Ceased Production 2004",CommercialIndustrial,,,,
2,P778401,Potterton air vent,Potterton,47.85,"This Potterton automatic air vent is suitable for use in Potterton Paramount commercial and industrial boilers. A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.",Parts and Spares/Commercial and Industrial Boiler Parts/Potterton Commercial Boiler Parts/Potterton Commercial Boiler Parts.csv -> Potterton air vent,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/01/NW-778401_wm.jpg,N,541848,Air Vent,N,,x  x,"Paramount 3,Paramount 2,Paramount",CommercialIndustrial,,,,
3,P421921,Potterton igniter,Potterton,32.47,"This Potterton 2V igniter is a suitable replacement part for a variety of Potterton Commercial boilers. A spark generator and spark electrode are part of a boiler's pilot assembly, used when generating a spark to ignite the pilot burner. This assembly is operated by an electronic control, usually via the user control panel but sometimes, particularly with older boilers, the pilot must be ignited manually.",Parts and Spares/Commercial and Industrial Boiler Parts/Potterton Commercial Boiler Parts/Potterton Commercial Boiler Parts.csv -> Potterton igniter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/21/NW-421921_wm.jpg,N,5132153,Igniter,N,,x  x,"Sirius WH90,Sirius WH110,Sirius WH70,Sirius 2 WH90,Sirius 2 WH60,Sirius 2 WH50,Sirius 2 WH70,Sirius FS 130-160,Sirius FS 50-70,Sirius WH60,Sirius FS 90-105,Sirius 2 WH110,Sirius WH50,Gold WH46,Gold WH65",,,,,
4,P778394,Potterton fan,Potterton,1567.4,"A genuine Potterton spare, this fan is compatible with Eurocondense 2 90 - 250 and Eurocondense Plus 90 - 250 and 160 - 500 Commercial boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/Commercial and Industrial Boiler Parts/Potterton Commercial Boiler Parts/Potterton Commercial Boiler Parts.csv -> Potterton fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/94/NW-778394_wm.jpg,N,997102,Fan,N,,x  x,,,,,,
5,PS06917,Potterton Sirius Two BUS module (OCI345),Potterton,116.0,"Suitable for use with Sirius Two FS boilers, this Potterton bus communication module helps a heating system to accurately meet the complete heating requirements of a building. This module allows for simple two-way communication management between boilers installed in a cascade or between zone controllers and boilers.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Commercial and Industrial Boiler Parts/Potterton Commercial Boiler Parts/Potterton Commercial Boiler Parts.csv -> Potterton Sirius Two BUS module (OCI345),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/17/S06917_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Potterton_SS_Boiler_Range_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Potterton_Sirius_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Potterton_Sirius_Three_Installation.pdf,
6,P795603,Potterton Paramount gas valve 80kw,Potterton,913.87,"A genuine Potterton part, this gas valve is suitable for Paramount boilers. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Parts and Spares/Commercial and Industrial Boiler Parts/Potterton Commercial Boiler Parts/Potterton Commercial Boiler Parts.csv -> Potterton Paramount gas valve 80kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/03/NW-795603_wm.jpg,N,7313684,Gas Valve,N,,,"Paramount 3,Paramount 2",,,,,Paramount
7,P778429,Potterton ignition lead,Potterton,35.63,This Potterton ignition lead is suitable for use in Potterton Paramount and Eurocondense commercial and industrial boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Potterton Commercial Boiler Parts/Potterton Commercial Boiler Parts.csv -> Potterton ignition lead,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/29/NW-778429_wm.jpg,N,991216,Ignition Lead,N,,x  x,"Eurocondense Four 125-300,Paramount 3,Eurocondense Three 125 - 300,Paramount 2,Eurocondense Two 90-250,Eurocondense Plus 160-500,Paramount,Eurocondense Plus 90-250",CommercialIndustrial,,,,
8,P778696,Potterton burner gasket flange,Potterton,3.81,"This Potterton replacement flange burner gasket is compatible with a wide range of the brand's commercial boilers. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/Commercial and Industrial Boiler Parts/Potterton Commercial Boiler Parts/Potterton Commercial Boiler Parts.csv -> Potterton burner gasket flange,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/96/NW-778696_wm.jpg,N,5132189,Burner Gasket,N,,x  x,"Sirius WH90,Sirius WH110,Sirius WH70,Sirius 2 WH90,Sirius 2 WH60,Sirius 2 WH50,Sirius 2 WH70,Sirius FS 130-160,Sirius FS 50-70,Sirius WH60,Sirius WH50,Gold WH46,Sirius 2 WH110,Sirius FS 90-105,Gold WH65",,,,,
9,P774058,Potterton ionisation electrode,Potterton,84.45,This Potterton isolation electrode is a suitable replacement part for past production Derwent commercial and industrial boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Potterton Commercial Boiler Parts/Potterton Commercial Boiler Parts.csv -> Potterton ionisation electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/58/NW-774058_wm.jpg,N,133965,Ionisation Electrode,N,,x  x,,CommercialIndustrial,,,,
