,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Thickness,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Range,Weight,Diameter,Feature 6,Feature 7
0,P257460,"Center ball chain hook 18"" and 1 3/4"" plug",Center,2.0,"Offering secure plug fixing, this Center 18"" ball chain and hook is supplied with a 1 3/4"" black plug. Chrome-plated, the chain has a traditional ball design.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Center ball chain hook 18"" and 1 3/4"" plug",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/60/257460_wm.jpg,Chrome,16,N,Steel,1 3/4,PSWCHA374537,Ball Chain Hook & Plug,N,Steel construction,Chrome-plated,With hook,Ball style chain,Black waste plug with triangle,,,,,,,,
1,P511340,Talon Pipe Cover CVD15/3M pipe cover 15mm x 3mtr,Talon,16.79,"Highly resistant to mild acids and alkalis, this 3M long Talon 15mm double pipe cover is made using a high quality extruded uPVC with white finish. Suitable for internal and external use, this weatherproof pipe cover has a flame spread rating for safer installation.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover CVD15/3M pipe cover 15mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/NW-511340_511341_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Pipe_Covers_Technical.pdf,,,,,,
2,PM97984,JET Range female backplate MRZF0810 BZP dual boss M8/M10,JET Range,2.87,"Made of 3mm mild steel, the JET Range female dual boss backplate offers high rigidity and strength with a dual threaded boss designed to accept both M8 and M10 threaded rod for versatility in a range of applications. This tough backplate offers a heavy-duty solution for installing threaded rod and studding to walls and ceilings.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> JET Range female backplate MRZF0810 BZP dual boss M8/M10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/84/NW-M97984_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_M97984_Technical.pdf,,,,,,,
3,P257459,"Center ball chain stay 12"" and plug 1 1/2""",Center,1.69,"Offering secure plug fixing, this Center 12"" ball chain and hook is supplied with a 1 1/2"" black plug. Chrome-plated, the chain has a traditional ball design.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Center ball chain stay 12"" and plug 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/59/257459_wm.jpg,Chrome,16,N,Steel,1 1/2,PSWCHA374536,Ball Chain Hook & Plug,N,Steel construction,Chrome-plated,With hook,Ball style chain,Black waste plug with triangle,,,,,,,,
4,P511341,Talon Pipe Cover CVD22/3M pipe cover 22mm x 3mtr,Talon,28.74,"Highly resistant to mild acids and alkalis, this 3M long Talon 22mm double pipe cover is made using a high quality extruded uPVC with white finish. Suitable for internal and external use, this weatherproof pipe cover has a flame spread rating for safer installation.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover CVD22/3M pipe cover 22mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/41/NW-511340_511341_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Pipe_Covers_Technical.pdf,,,,,,
5,P511425,Talon Pipe Cover flat corner for double cover 15mm,Talon,1.9,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 15mm uPVC flat corner is designed to conceal a gap where skirting cover lengths meet and is ideal for use where a vertical cover meets a horizontal cover.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover flat corner for double cover 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/25/NW-511425_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,
6,P511428,Talon Pipe Cover side access for double cover 15mm,Talon,1.27,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 15mm uPVC side access is designed to provide concealment anywhere pipework is forced to run horizontally to allow for bends in a pipe.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover side access for double cover 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/28/NW-511428_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,
7,P511430,Talon Pipe Cover stop end for double cover 15mm,Talon,1.33,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 15mm uPVC double stop end conceals a gap where pipe cover lengths end.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover stop end for double cover 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/30/NW-511430_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,
8,P697250,Inaba Denko Slimduct ID-SD-75-K slim trunk 75mm x 2mtr Black,Inaba Denko,21.05,"Supplied in a 2M length, this Inaba Denko Slimduct 75mm duct is  suitable for use with any split air condition system, concealing and protecting exposed line sets for a neat finish. Slimduct is made using a high grade PVC for UV and weather resistance, providing long term protection from the elements as well as vandalism and pest damage","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Inaba Denko Slimduct ID-SD-75-K slim trunk 75mm x 2mtr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/50/NW-697250_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Inaba_Denko_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Inaba_Denko_Catalog.pdf,,,,,,
9,P511696,Talon Pipe Cover CVS15/3 single cover 15mm x 3mtr,Talon,8.23,"Highly resistant to mild acids and alkalis, this 3M long Talon 15mm single pipe cover is made using a high quality extruded uPVC with white finish. Suitable for internal and external use, this weatherproof pipe cover has a flame spread rating for safer installation.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover CVS15/3 single cover 15mm x 3mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/96/NW-511696_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Pipe_Covers_Technical.pdf,,,,,,
