,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Pack Quantity,Feature 5,Attachment 2,Pack Type,Application,Attachment 3,Attachment 4,Range,Physical State / Form
0,PBE8041,Scruffs Flexible Knee Pads,Scruffs,5.98,"Made of protective EVA foam, these Scruffs Workwear flexible knee pads help to make working in challenging situations more comfortable while protecting the delicate knee joints.",Trade Essentials/PPE and Workwear/Safety and Protection/Safety and Protection.csv -> Scruffs Flexible Knee Pads,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/41/NW-BE8041_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/BE8041_EU_Declaration_of_Conformity.pdf,,,,,,,,,,,,,,,,,,
1,P931529,Toolbank S hook adblue diesel exhaust treatment 10 litre,Toolbank,12.38,"Ready to use, Silverhook AdBlue diesel exhaust treatment additive is a urea and water-based liquid additive to remove harmful nitrogen oxide (NOx) emissions from a car exhaust system. Non-toxic and non-flammable, this additive is biodegradable for environmentally friendly use.",Trade Essentials/PPE and Workwear/Safety and Protection/Safety and Protection.csv -> Toolbank S hook adblue diesel exhaust treatment 10 litre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/29/931529_wm.jpg,,Blue,N,D/ISGAD10,Diesel Exhaust Treatment,N,10L supply,Ready to use,Suitable for vehicles fitted with SCR converters,Meets ISO 22241,,,,,,,,,
2,PF49942,McAlpine cushioned kneeler mat one size Red and Black (1),McAlpine,61.05,"Making long jobs on the floor more comfortable, this McAlpine cushioned kneeler mat in one size is suitable for a wide range of applications.",Trade Essentials/PPE and Workwear/Safety and Protection/Safety and Protection.csv -> McAlpine cushioned kneeler mat one size Red and Black (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/42/F49942_wm.jpg,,Black / Red,N,KP-MAT,Knee Pads,N,One size fits all,Multipurpose use,Washable at 30°C,Robust design for long lasting use,1,Recyclable cushion,,,,,,,
3,PN00269,Rodo Blackrock BRKP Internal knee pads (10),Rodo,7.72,"Supplying ergonomic protection and improving comfort, these Rodo Blackrock internal knee pads are a must for those who regularly work on the floor. Fitting the internal pockets of all Blackrock trousers, these knee pads can be cut to size and are suitable for cleaning in your everyday machine wash.",Trade Essentials/PPE and Workwear/Safety and Protection/Safety and Protection.csv -> Rodo Blackrock BRKP Internal knee pads (10),,10x internal knee pad,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/br/kp/BRKP_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Rodo_Blackrock_InternalKneePad_Tech.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/N00269_Rodo_Data Sheet.pdf,,,,,,
4,PBE7947,Scruffs winter essentials pack Black,Scruffs,10.79,"A perfect gift for someone who often works outside, this Scruffs winter essentials pack contains a soft-touch fleece beanie hat, neck warmer and gloves. These lightweight winter accessories make working in tough winter conditions more bearable, helping to keep hands and heads protected from wind and chilly air.",Trade Essentials/PPE and Workwear/Safety and Protection/Safety and Protection.csv -> Scruffs winter essentials pack Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/47/NW-BE7947_wm.jpg,,Black,N,T54874,Winter Essentials Pack,N,"Made from warm, lightweight fleece",Suitable for industrial or commercial use,Machine washable,Ideal gift pack,,One size fits all,,Box,IndustrialCommercial,,,,
5,PF49941,McAlpine strapped protective knee pads one size Red and Black (1),McAlpine,50.79,"Proven to offer support to the whole knee, these McAlpine strapped protective knee pads can reduce point pressure by distributing weight away from the knees. Comfortable and convenient, these pads help to make working on your knees for a long time easier.",Trade Essentials/PPE and Workwear/Safety and Protection/Safety and Protection.csv -> McAlpine strapped protective knee pads one size Red and Black (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/41/F49941_wm.jpg,,Red / Black,N,KP-S,Knee Pads,N,One size fits all,For domestic or trade use,Machine washable,No need to remove from trousers,1,Won't degrade,,Cardboard Sleeve,Domestic or trade,,,,
6,PBE6821,Beeswift B-Brand SG-604 goggles,Beeswift,1.68,"This lightweight Beeswift BBrand goggle is treated with Crystal Coat, C-380M, a polysiloxane-based thermal cure hard-coat that offers anti-fog performance as well as abrasion and chemical resistance.",Trade Essentials/PPE and Workwear/Safety and Protection/Safety and Protection.csv -> Beeswift B-Brand SG-604 goggles,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/21/NW-BE6821_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/BE6821_Technical.pdf,,,,,,,,,,,,,,,,,,
7,PBE6823,Beeswift cotton washable mask,Beeswift,4.49,"A level 3 trade community mask made of white cotton, this Beeswift Click Medical adult facemask is tested for compliance with the technical requirements of breathability and bacterial filtration efficiency specified for Covid-19 community protection.",Trade Essentials/PPE and Workwear/Safety and Protection/Safety and Protection.csv -> Beeswift cotton washable mask,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/23/NW-BE6823_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/BE6823_Technical.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oe/Beeswift_Click_Medical_L3_Mask_DOE.pdf,,,,,,
8,P337336,Firehawk Firehawk Heat Alarm FHH10 10 year sealed battery heat alarm,Firehawk,12.92,"The reliable FireHawk FHH10 long-life 10 year heat alarm incorporates advanced thermistor-based detection, which is controlled by FireHawk's bespoke software. This alarm is ideal for those spots where a smoke alarm might cause a nuisance, such as a kitchen, garage or anywhere where high levels of dust are created.",Trade Essentials/PPE and Workwear/Safety and Protection/Safety and Protection.csv -> Firehawk Firehawk Heat Alarm FHH10 10 year sealed battery heat alarm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/36/NW-337336_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/24/FIREHAWK_337336_Spec-Sheet_2024.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Firehawk_Smoke_Alarm_guide_Install.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Firehawk_FHH10_Manual_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/337336_Technical.pdf,,
9,PF49940,McAlpine McAlpine Kneepads KP-P slide-in knee pads for pocketed work trousers one size Red and Black (1),McAlpine,36.58,"This pair of McAlpine KP-P knee pads help to make working under sinks, fitting flooring and other low level tasks more comfortable. Protecting the knee joints, these one-size pads simply slide into the kneepad pockets of your work trousers.",Trade Essentials/PPE and Workwear/Safety and Protection/Safety and Protection.csv -> McAlpine McAlpine Kneepads KP-P slide-in knee pads for pocketed work trousers one size Red and Black (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/39/597439_wm.jpg,,Black / Red,N,KP-P,Knee Pads,N,McAlpine Kneepads disperse pressure away from the knee,Have 100% recovery,Breathable,Don't have to be extracted from workwear to be washed,1,,,Packed Sleeve,Knee Support,,,McAlpine Kneepads,Pocket Kneepads
