,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4
0,P696508,Pump House Diversitech acid eliminator bottle 110g,Pump House,46.78,"Compatible with all refrigerants and oils, Pump House acid neutraliser chemically neutralises acids that form in air conditioning and refrigeration systems due to refrigerant and refrigeration oil break-down, moisture and compressor burn-out. Simple to use, this neutraliser works fast, circulating quickly and leaving no solids or solid residues, it won't harm system components and can prevent system breakdown.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Pump House Air Con Parts/Pump House Air Con Parts.csv -> Pump House Diversitech acid eliminator bottle 110g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/08/NW-696508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Acid_Eliminator_SDS.pdf,,,
1,P688666,Pump House DiversiTech GG-1 gallo gun,Pump House,70.8,"Lightweight and portable, weighing just 85g, the Pump House DiversiTech Drain Gun gallo gun drain line cleaner offers an effective and instantaneous blow out of air conditioning condensate lines. With its tapered fitting sized to enter 9.5 - 19mm drain openings, this cleaner supplies 8000kPa of oil-free, food-grade carbon dioxide via a flexible hose assembly for easy manoeuvrability through cabinets, coils and into drains without the requirement for air or nitrogen tanks. The DiversiTech gallo gun's cartridges are environmentally safe and fully recyclable, giving eco-concious engineers peace of mind.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Pump House Air Con Parts/Pump House Air Con Parts.csv -> Pump House DiversiTech GG-1 gallo gun,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/66/NW-688666_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Drain_Swoosh_Cartrdge_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_Drain_GunLineCleaner_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,
2,P695451,"Pump House Adaptors ADAP-CAC-M cassette AC adaptor 1.1/4 - 3/4"" Blue (Pack of 3)",Pump House,9.84,"This Pump House 1 1/4"" drain to 3/4"" pipe air conditioning cassette adapter connects to any air conditioning unit's drain point to standard 22mm (3/4) overflow pipe. It is compatible with Redbox 1L, 2L and 3.8L condensate pumps.","Parts and Spares/Cooling Parts/Air Conditioning Parts/Pump House Air Con Parts/Pump House Air Con Parts.csv -> Pump House Adaptors ADAP-CAC-M cassette AC adaptor 1.1/4 - 3/4"" Blue (Pack of 3)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/51/NW-695451_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_CondensatePump_Acsrs_Tech.pdf,,
3,P696489,Pump House DiversiTech Pro-Foam+-GB alkaline based condensing coil cleaner,Pump House,65.1,"Suitable for condensers, Pump House DiversiTech Pro-Care alkaline-based concentrated coil cleaner with disinfectant is efficient and effective, killing MRSA, legionella and many other germs while protecting coils for up to six months.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Pump House Air Con Parts/Pump House Air Con Parts.csv -> Pump House DiversiTech Pro-Foam+-GB alkaline based condensing coil cleaner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/89/696489_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_Pro_Care_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Pro_Care_SDS.pdf,
4,P696495,Pump House DiversiTech G2G-Foam+ pre-mixed alkaline foaming coil cleaner,Pump House,26.89,"Pump House DiversiTech heavy duty foaming outdoor condenser coil cleaner effectively removes soils and dirt and brightens outdoor coils. Reaching embedded dirt fast, DiversiTech cleaner doesn't leave salty deposits on coils.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Pump House Air Con Parts/Pump House Air Con Parts.csv -> Pump House DiversiTech G2G-Foam+ pre-mixed alkaline foaming coil cleaner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/95/NW-696495_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_G2G_Foam_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,,
5,P695450,"Pump House Adaptors ADAP-CAC-S cassette AC adaptor 1 - 3/4"" Green (Pack of 3)",Pump House,9.32,"This Pump House 1"" drain to 3/4"" pipe air conditioning cassette adapter connects to any air conditioning unit's drain point to standard 22mm (3/4) overflow pipe. It is compatible with Redbox 1L, 2L and 3.8L condensate pumps.","Parts and Spares/Cooling Parts/Air Conditioning Parts/Pump House Air Con Parts/Pump House Air Con Parts.csv -> Pump House Adaptors ADAP-CAC-S cassette AC adaptor 1 - 3/4"" Green (Pack of 3)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/50/NW-695450_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_CondensatePump_Acsrs_Tech.pdf,,
6,P696506,Pump House Case Clean AER-C-600 case and diffuser cleaner 600ml,Pump House,17.73,"Pump House Case Clean cleaner is used to clean cases and fascias, removing marks from most plastics, metals and glass. This cleaner is ideal for use on fan coils, cassette units and boiler cases.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Pump House Air Con Parts/Pump House Air Con Parts.csv -> Pump House Case Clean AER-C-600 case and diffuser cleaner 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/06/NW-696506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Case_Clean_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_696506_Technical.pdf,,
7,P695434,Pump House 7 insulation wall clamp 2-1/8 inner diameter 3/4,Pump House,20.8,"The Pump House Klo-Shure 7 insulation coupling in 2 1/8"" x 3/4"" is a one-piece tubular sleeve with an internal configuration designed to support, secure and seal tubular insulation while supporting and levelling copper tubing in strut-mounted suspension devices and drop hangers. With Klo-Shure there's no need to double-wrap, glue and tape insulation and insulating copper tubing for refrigerant lines is faster. A patented clamp allows sections of closed-cell insulation to be secured at fixing points.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Pump House Air Con Parts/Pump House Air Con Parts.csv -> Pump House 7 insulation wall clamp 2-1/8 inner diameter 3/4,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/NW-695426_695434_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pump_House_Klo-Shure_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pump_House_Klo-Shure_Line_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_Klo-Shure_Technical.pdf
8,P695498,Pump House DiversiTech SPRO-COOL ice machine cleaner liquid 500ml,Pump House,18.9,"Pump House DiversiTech Pro-Cool no-odour concentrated liquid cleaner for ice machines is nickel and metal-safe. Pro-Cool works fast to remove soiling and minerals, leaving no unpleasant chemical smells behind.",Parts and Spares/Cooling Parts/Air Conditioning Parts/Pump House Air Con Parts/Pump House Air Con Parts.csv -> Pump House DiversiTech SPRO-COOL ice machine cleaner liquid 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/98/NW-695498_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_Pro_Cool_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Pro_Cool_SDS.pdf,
9,P688737,"Pump House MAC line tap valve 1/4 - 5/6 - 3/8""",Pump House,4.25,"This Pump House MAC line piercing valve has a uniport single connection for piercing and servicing. Sealed with refrigerant-resistant O-rings, the needle automatically backseats after servicing, leaving the line free of residue.","Parts and Spares/Cooling Parts/Air Conditioning Parts/Pump House Air Con Parts/Pump House Air Con Parts.csv -> Pump House MAC line tap valve 1/4 - 5/6 - 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/37/NW-688737_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,
