,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Part Gas Council number,By Model Number
0,P612223,Pump House ACR TR-WC-140 air source heat pump trunking wall cover 140mm,Pump House,18.04,"Providing a neat, professional and weatherproof finish for a new installation, this ivory Pump House 140mm air source heat pump external wall cover is easy to install using screws. This smart wall plate is designed to cover the hole in a wall where a pump's insulated flow and return pipework and cabling runs.",Parts and Spares/Heating Replacement Parts/Air Heater Parts & Accessories/Air Heater Parts & Accessories.csv -> Pump House ACR TR-WC-140 air source heat pump trunking wall cover 140mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/24/612223_612224_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_ASHP_Trunking_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Heating_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/PumpHouse_ASHP_Extnl_Trunking_Tech.pdf,,,,,,,,,,,
1,P612242,Pump House TR-D-140-B ASHP trunking 140mm x 2mtr Black,Pump House,51.26,"Supplying a neat professional finish, this Pump House ASHP 2M trunking is made of fade-resistant black PVC. Suitable for both insulated flow and return pipework, this 140mm width trunking also accommodates all associated cables.",Parts and Spares/Heating Replacement Parts/Air Heater Parts & Accessories/Air Heater Parts & Accessories.csv -> Pump House TR-D-140-B ASHP trunking 140mm x 2mtr Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/42/NW-612242_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_ASHP_140mm_Trunking_Tech.pdf,,,,,,,,,,,,
2,P612221,Pump House ACR TR-D-140 air source heat pump trunking 140mm x 2mtrs,Pump House,35.36,"Providing a neat, professional and weatherproof finish for a new installation, this ivory Pump House 140mm x 2M air source heat pump external trunking and wall cover is easy to install using screws. This smart trunking is designed to cover a pump's insulated flow and return pipework as well as cabling, which can look unsightly and be hazardous if left exposed. Minimising the risk of pipe damage, the trunking provides protection from extremes of weather.",Parts and Spares/Heating Replacement Parts/Air Heater Parts & Accessories/Air Heater Parts & Accessories.csv -> Pump House ACR TR-D-140 air source heat pump trunking 140mm x 2mtrs,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/21/612221_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_ASHP_Trunking_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Heating_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/PumpHouse_ASHP_Extnl_Trunking_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/612221_DataSheet.pdf,,,,,,,,,,
3,P612220,Pump House Flexi FF-600-S heat pump kit comes with pair of feet and fixings,Pump House,54.47,"Designed to support air source heat pumps, this heavy duty Pump House Flexi foot with strut kit provides secure sturdiness and level support.",Parts and Spares/Heating Replacement Parts/Air Heater Parts & Accessories/Air Heater Parts & Accessories.csv -> Pump House Flexi FF-600-S heat pump kit comes with pair of feet and fixings,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/20/612220_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Flexi_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Heating_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_Flexi_FootwithStrut_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pa/ck/Flexi_Solar_Foot_Pack.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/PumpHouse_Foot_with_Strut_Kit_Tech.pdf,,,,,,,,,
4,P469878,Powrmatic VR4605AB1027 valve kit of parts,Powrmatic,170.29,"This Powrmatic gas valve kit is suitable for a NV, NVX, PAG and VPC range boilers. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Parts and Spares/Heating Replacement Parts/Air Heater Parts & Accessories/Air Heater Parts & Accessories.csv -> Powrmatic VR4605AB1027 valve kit of parts,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/78/469878_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Powrmatic_VPX_Installation.pdf,,,,,,,,,,,,,
5,P612222,Pump House ACR TR-CP-140 air source heat pump trunking straight connector 140mm,Pump House,6.86,"Made of fade-resistant ivory PVC, this Pump House 140mm straight connector is for use when installing air source heat pump trunking. Designed for screw fitting, this connector, along with trunking from the same range, is designed to contain the flow and return pipes and cabling of an air source heat pump.",Parts and Spares/Heating Replacement Parts/Air Heater Parts & Accessories/Air Heater Parts & Accessories.csv -> Pump House ACR TR-CP-140 air source heat pump trunking straight connector 140mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/22/NW-612222_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_ASHP_140mm_Trunking_Tech.pdf,,,,,,,,,,,,,
6,PM70323,JET Range PFCU phenolic block 15CU x 20 x 100mm,JET Range,6.37,This 20mm Jet phenolic block insulation for 15CU pipes provides excellent thermal insulation while offering reliable resistance against fire and moisture.,Parts and Spares/Heating Replacement Parts/Air Heater Parts & Accessories/Air Heater Parts & Accessories.csv -> JET Range PFCU phenolic block 15CU x 20 x 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/24/NW-M70322_M70324_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Exco_Industries_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Phenolic_Block_Matrix_Technical.pdf,,,,,,,,,,,,
7,P612229,Pump House Install Plus FH-I-1000 PVC coated insulation 19 x 28 x 2mtr,Pump House,11.07,"Offering quick, secure, tape-free installation, this Pump House Install Plus pre-slit weatherproof insulation provides external boiler condensate pipework, with high levels of protection from freezing conditions. With its tough PVC coating , this insulation is weatherproof and UV stable and can be used on air source heat pumps or biomass flow and return pipework, to help prevent heat loss.",Parts and Spares/Heating Replacement Parts/Air Heater Parts & Accessories/Air Heater Parts & Accessories.csv -> Pump House Install Plus FH-I-1000 PVC coated insulation 19 x 28 x 2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/29/612229_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Heating_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/PumpHouse _Pre_Slit_Insulation_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/PumpHouse_Weatherprf_Insulation_Tech.pdf,,,,,,,,,,,
8,P469894,Powrmatic exhaust flue fan comes with bracket,Powrmatic,311.83,"A Powrmatic internal exhaust flue fan for NV 10 - 50 and VPx commercial boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/Heating Replacement Parts/Air Heater Parts & Accessories/Air Heater Parts & Accessories.csv -> Powrmatic exhaust flue fan comes with bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/94/469894_wm.jpg,,,,,,N,NVX1050EXH,Exhaust Flue Fan,N,Powrmatic spare part,Reliable,Easy to Install,,
9,PM70324,JET Range PFCU phenolic block 15CU x 25 x 100mm,JET Range,7.08,This 25mm Jet phenolic block insulation for 15CU pipes provides excellent thermal insulation while offering reliable resistance against fire and moisture.,Parts and Spares/Heating Replacement Parts/Air Heater Parts & Accessories/Air Heater Parts & Accessories.csv -> JET Range PFCU phenolic block 15CU x 25 x 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/24/NW-M70322_M70324_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Exco_Industries_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Phenolic_Block_Matrix_Technical.pdf,,,,,,,,,,,,
