,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5
0,P169922,Nabic FIG. 500 safety valve 20mm 3.0bar,Nabic,320.1,"This Nabic FIG 500 3 bar high lift safety valve with 20mm BSP connections is designed for use on unvented hot water heating systems, where high capacity, emergency steam relief is needed. With all wetted parts built for dezincification resistance, this valve is made of gunmetal with diaphragm protected working parts and PTFE to metal seating.","Pipe, Valves and Fittings/Metal Pipe Valves/Safety Relief Valves/Safety Relief Valves.csv -> Nabic FIG. 500 safety valve 20mm 3.0bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/26/NW-169921_169926_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Nabic_FIG500_500F_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabic_Valves_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabic_Valve_FIG_500_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabic_SafetyValve_FIG500_Technical.pdf,
1,P170141,Nabic FIG. 542 safety valve 20mm,Nabic,228.67,"This Nabic FIG 542 12.5 bar safety valve with 20mm BSP connections has been designed primarily for the protection of hot water boilers but offers general purpose use in a wide range of applications. With all wetted parts built for dezincification resistance, this valve is made of gunmetal with diaphragm protected working parts and PTFE to metal seating.","Pipe, Valves and Fittings/Metal Pipe Valves/Safety Relief Valves/Safety Relief Valves.csv -> Nabic FIG. 542 safety valve 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/46/NW-170141_170146_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Nabic_FIG542_542F_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/NabicSafetyValve_FIG542_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabic_Valve_FIG_542_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabic_Valves_Brochure.pdf,
2,P170151,Nabic FIG. 500 high lift safety valve 15mm,Nabic,249.68,"This Nabic FIG 500 12.5 bar high lift safety valve with 15mm BSP connections is designed for use on unvented hot water heating systems, where high capacity, emergency steam relief is needed. With all wetted parts built for dezincification resistance, this valve is made of gunmetal with diaphragm protected working parts and PTFE to metal seating.","Pipe, Valves and Fittings/Metal Pipe Valves/Safety Relief Valves/Safety Relief Valves.csv -> Nabic FIG. 500 high lift safety valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/56/NW-170151_170156_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Nabic_FIG500_500F_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabic_Valve_FIG_500_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabic_Valves_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabic_SafetyValve_FIG500_Technical.pdf,
3,P170042,Nabic FIG. 542 safety valve 25mm 3.0bar,Nabic,302.24,"This Nabic FIG 542 3 bar safety valve with 25mm BSP connections has been designed primarily for the protection of hot water boilers but offers general purpose use in a wide range of applications. With all wetted parts built for dezincification resistance, this valve is made of gunmetal with diaphragm protected working parts and PTFE to metal seating.","Pipe, Valves and Fittings/Metal Pipe Valves/Safety Relief Valves/Safety Relief Valves.csv -> Nabic FIG. 542 safety valve 25mm 3.0bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/45/NW-170040_170045_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Nabic_FIG542_542F_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/NabicSafetyValve_FIG542_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabic_Valve_FIG_542_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabic_Valves_Brochure.pdf,
4,PK70435,JET Range 806 safety valve set 40mm 3.5bar,JET Range,731.47,"Jet 806 top guided bronze safety relief valve incorporates a high discharge capacity with an unobstructed seat bore, which facilitates reliable operation. Positive re-sealing is achieved by the PTFE to metal seating design ideal for general purpose duties. Inlet and outlet connections are screwed BSP female threads, easing lever is fitted as standard, the pressure once set is securely sealed by means of a locking wire. The Jet Range 806 safety relief valve can be used for boiler, pipeline and vessel protection handling hot water, air and inert gases. To prevent unnecessary operation of the valve, there must be an adequate margin between the set pressure of a safety valve and the normal working pressure of the system. Typically using 0.7bar (10psi) above the normal working pressure, providing this does not exceed the design pressure for the system.","Pipe, Valves and Fittings/Metal Pipe Valves/Safety Relief Valves/Safety Relief Valves.csv -> JET Range 806 safety valve set 40mm 3.5bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/06/NW-K70410_K70506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_806_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_806_Installation.pdf,,
5,P169916,Nabic Fig 500 safety valve 20mm 2.5bar,Nabic,320.1,"Suitable for use in unvented water heating systems, the Nabic Fig 500 20mm 2.5 bar high lift safety valve is fitted with female threaded inlet and outlet connections and PTFE seating. Supplying high capacity steam relief in case of an emergency, this valve is manufactured using all DZR materials.","Pipe, Valves and Fittings/Metal Pipe Valves/Safety Relief Valves/Safety Relief Valves.csv -> Nabic Fig 500 safety valve 20mm 2.5bar",,safety valve 20mm 2.5bar,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/16/NW-169916_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabic_FIG_500_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabic_FIG_500_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Nabic_Valves_Product_Guide.pdf,,
6,PK70230,JET Range 806 safety valve set 25mm 3.0bar,JET Range,386.85,"Jet 806 top guided bronze safety relief valve incorporates a high discharge capacity with an unobstructed seat bore, which facilitates reliable operation. Positive re-sealing is achieved by the PTFE to metal seating design ideal for general purpose duties. Inlet and outlet connections are screwed BSP female threads, easing lever is fitted as standard, the pressure once set is securely sealed by means of a locking wire. The Jet Range 806 safety relief valve can be used for boiler, pipeline and vessel protection handling hot water, air and inert gases. To prevent unnecessary operation of the valve, there must be an adequate margin between the set pressure of a safety valve and the normal working pressure of the system. Typically using 0.7bar (10psi) above the normal working pressure, providing this does not exceed the design pressure for the system.","Pipe, Valves and Fittings/Metal Pipe Valves/Safety Relief Valves/Safety Relief Valves.csv -> JET Range 806 safety valve set 25mm 3.0bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/06/NW-K70210_K70306_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_806_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_806_Installation.pdf,,
7,PK70135,JET Range 806 safety valve set 20mm 3.5bar,JET Range,272.48,"Jet 806 top guided bronze safety relief valve incorporates a high discharge capacity with an unobstructed seat bore, which facilitates reliable operation. Positive re-sealing is achieved by the PTFE to metal seating design ideal for general purpose duties. Inlet and outlet connections are screwed BSP female threads, easing lever is fitted as standard, the pressure once set is securely sealed by means of a locking wire. The Jet Range 806 safety relief valve can be used for boiler, pipeline and vessel protection handling hot water, air and inert gases. To prevent unnecessary operation of the valve, there must be an adequate margin between the set pressure of a safety valve and the normal working pressure of the system. Typically using 0.7bar (10psi) above the normal working pressure, providing this does not exceed the design pressure for the system.","Pipe, Valves and Fittings/Metal Pipe Valves/Safety Relief Valves/Safety Relief Valves.csv -> JET Range 806 safety valve set 20mm 3.5bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/06/NW-K70110_K70206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_806_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_806_Installation.pdf,,
8,PK70260,JET Range 806 safety valve set 25mm 6.0bar,JET Range,386.85,"Jet 806 top guided bronze safety relief valve incorporates a high discharge capacity with an unobstructed seat bore, which facilitates reliable operation. Positive re-sealing is achieved by the PTFE to metal seating design ideal for general purpose duties. Inlet and outlet connections are screwed BSP female threads, easing lever is fitted as standard, the pressure once set is securely sealed by means of a locking wire. The Jet Range 806 safety relief valve can be used for boiler, pipeline and vessel protection handling hot water, air and inert gases. To prevent unnecessary operation of the valve, there must be an adequate margin between the set pressure of a safety valve and the normal working pressure of the system. Typically using 0.7bar (10psi) above the normal working pressure, providing this does not exceed the design pressure for the system.","Pipe, Valves and Fittings/Metal Pipe Valves/Safety Relief Valves/Safety Relief Valves.csv -> JET Range 806 safety valve set 25mm 6.0bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/06/NW-K70210_K70306_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_806_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_806_Installation.pdf,,
9,PK70160,JET Range 806 safety valve set 20mm 6.0bar,JET Range,272.48,"Jet 806 top guided bronze safety relief valve incorporates a high discharge capacity with an unobstructed seat bore, which facilitates reliable operation. Positive re-sealing is achieved by the PTFE to metal seating design ideal for general purpose duties. Inlet and outlet connections are screwed BSP female threads, easing lever is fitted as standard, the pressure once set is securely sealed by means of a locking wire. The Jet Range 806 safety relief valve can be used for boiler, pipeline and vessel protection handling hot water, air and inert gases. To prevent unnecessary operation of the valve, there must be an adequate margin between the set pressure of a safety valve and the normal working pressure of the system. Typically using 0.7bar (10psi) above the normal working pressure, providing this does not exceed the design pressure for the system.","Pipe, Valves and Fittings/Metal Pipe Valves/Safety Relief Valves/Safety Relief Valves.csv -> JET Range 806 safety valve set 20mm 6.0bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/06/NW-K70110_K70206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_806_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_806_Installation.pdf,,
