,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Warranty,Hazardous,Sector,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Material Type,Range,Depth (mm),Material,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Thickness,Frame Colour,Feature 11,Feature 12
0,PB97393,Ideal Standard Contour 21 Doc-M shower rails Charcoal,Ideal Standard,2669.71,"Designed for ambulant disabled users, this Armitage Shanks Doc M shower room pack in charcoal is also suitable for walking impaired and infirm people. Creating a slip-resistant shower area, this handy all-in-one pack includes a hinged seat for seated showering, a lever-operated shower mixer and adjustable shower head as well as a shower curtain and grab rails. TMV3 approved, the included thermostatic shower valve, best-suited to duct installation, provides safe showering at a constant temperature.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Ideal Standard Contour 21 Doc-M shower rails Charcoal,,"2 x hinged support arms, shower seat, mixer, handspray, divertor, handset holder, shower curtain, backrest, shower rail, coat hook, shower head, hose, wall elbow, 3 x 60cm grabrail ;2 x 45cm grabrail",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/93/NW-B97393_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_S6960_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PC16328,PREMIX ELECT SHWR PNL RND AVH B/E 1/2BSP,Delabie,880.69,"The Delabie 1/2"" premix rounded thermostatic shower panel with concealed flexible inlets has a smart chrome finish to suit most commercial bathrooms. Suitable for surface mouting, this thermostatic shower panel incorporates an adjustable temperature control operating from cold and limiters set at two temperature intervals for more comfortable, safer showering.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> PREMIX ELECT SHWR PNL RND AVH B/E 1/2BSP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/10/792410_wm.jpg,,Chrome,30-year warranty,N,Sport/Fitness;Education;Hotels/Leisure,792410UK,Shower Panel,N,Aluminium epoxy-coated,Chrome finish,For surface mounting,"With concealed inlet, M 1/2"" via inline stopcocksflexibles",With Securitherm thermostatic mixer,Adjustable temperature control from cold water up to 38°C,"First limiter set at 38°C, second limiter set at 41°C",Instant shut-off if cold water supply fails reducing scald risk,Thermal shocks are possible,30 year warranty,,,,,,,,,,,,,,
2,PC16342,TEMPOMATIC SGL SHWR CTRL/CONC DETECTOR,Delabie,391.57,"The Delabie Tempomatic single shower control with concealed detector allows for automatic shower activation with the simple wave of a hand. This sensor-operated valve uses presence detection for water saving, convenient showering in commercial premises. Finished in chrome, the Tempomatic is designed to blend seamlessly into most bathroom schemes.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> TEMPOMATIC SGL SHWR CTRL/CONC DETECTOR,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/65/452565_wm.jpg,,Chrome,30-year warranty,N,Sport/Fitness;Education;Hotels/Leisure,452565,Shower Control,N,For mixed water supply,"Electronic unit with solenoid valve 1/2""",23/12V transformer,With 2x operation modes,Automatic activation using presence detection,Voluntary on/off activation by passing hand in front of sensor ~10mm,Chrome finish,30 year warranty,,,Brass,Tempomatic,78,Brass,,,,,,,,,,
3,PD61017,"Rada 095.02 push-button flow control for duct mounting 1/2""",Rada,362.26,Duct mounted control valve - 142-182mm rod extension,"Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Rada 095.02 push-button flow control for duct mounting 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/17/D61017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PB97428,Armitage Shanks Contour 21 exposed shower Charcoal,Armitage Shanks,2493.92,"This Armitage Shanks Contour 21 shower room pack is designed for use by ambulant disabled, walking impaired and the infirm, providing a safe bathroom environment designed to meet regulations. The pack includes a folding shower seat and back support in charcoal, three 60cm grabrails, a 45cm grab rail and 80cm hinged arm alongside a lever-operated exposed shower valve, dual head shower kit, shower curtain and rails.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Armitage Shanks Contour 21 exposed shower Charcoal,,Hinged shower seat;Back support;Grab rails;Hinged arm;Exposed shower valve;Dual head shower kit;Shower curtain;Rails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/28/NW-B97427_B97428_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Armitage_Shanks_S0755_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PB97426,Armitage Shanks Contour 21 exposed shower Grey,Armitage Shanks,2493.92,"Designed to comply with Building Regs, this Armitage Shanks Contour 21 exposed shower pack in grey provides safe use for users in need of additional support and security. This all-in-one pack includes a complete shower system, shower seat with back support, a shower curtain and rail as well as a clothes hook and shower hose retainer. Three 600mm and one 450mm grab rail are also provided alongside an additional hinged safety rail.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Armitage Shanks Contour 21 exposed shower Grey,,"Shower valve;shower system;shower seat;backsupport;3 x 60cm grabrails;45cm grabrail;hinged support rail;shower curtain;curtain rail;clothes hook, hose retainer",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/26/B97426_wm.jpg,,Grey,1 year,N,,S0755LJ,Doc M Shower Room Pack,N,Safe,Secure,Available in 6 Finishes,,,,,,,,,Contour 21,1200,,,,,,,,,,,
6,PD61417,Rada shower panel assembly with timeflow control Satin,Rada,720.57,"The ready to install Rada PA-15TF shower panel assembly has hot and cold water pipe entry connecting to a concealed Rada Meynell 15/3 TMV3 approved thermostatic mixing valve. This feeds the Rada TF503 push button timed flow control and Rada VR105 vandal-resistant chrome-plated showerhead with integral strainer, flow regulator and adjustable spray.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Rada shower panel assembly with timeflow control Satin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/17/NW-D61417_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_PA_15TF_TFW_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_Shower_Panels_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rada_PA_TF_Dimensions.pdf,,,,,,,
7,PD98058,Rada shower panel assembly with thermostatic timeflow control Stainless Steel,Rada,869.65,"Ready to install, the Rada PA-V8VR2 shower panel assembly includes hot and cold water pipe entry to a Rada Meynell V8/3 and a Rada VR2. With easy to use, accessible independent flow and temperature controls and a Rada VR2 vandal-resistant, chrome-plated showerhead, this is an ideal choice for mixed public use.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Rada shower panel assembly with thermostatic timeflow control Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/58/NW-D98058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rada_PA_V8VR2_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_PA_V8VR2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_Shower_Panels_Installation.pdf,,,,,,,
8,PD61421,Rada thermostatic shower panel assembly and flexible kit Stainless Steel,Rada,910.2,"Designed for safety, the satin finish Rada PA-V8F shower panel assembly with hot and cold water pipe entry connection to a Rada Meynell V8/3 TMV3 approved thermostatic mixing valve has independent flow and temperature control. It is supplied with an easy-clean single spray handset, flexible hose and robust slide bar.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> Rada thermostatic shower panel assembly and flexible kit Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/21/NW-D61421_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_PA_V8F_FW_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_ShowerPanels_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rada_PA_V8TF_TFW_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D61421_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Rada_PA_V8F_V8FW_Shower_Panels_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_Shower_Panels_Installation.pdf,,,,
9,PC92775,AKW OPT EW 900 HIGH SCRN SET 1200 X 1200,AKW,631.34,"Designed to meet the needs of domestic mobility users, the AKW Option EW 1200mm shower screen set in white has a 900mm high shower screen to protect carers from splashing, along with unique 360° two-way opening doors and a curtain for additional privacy. Included in this pack is an L-shaped curtain rail with 600mm trimmable ceiling support, gliders and fixings, making installation simple.",Showering/Commercial Showering/Commercial Shower Parts and Accessories/Commercial Shower Parts and Accessories.csv -> AKW OPT EW 900 HIGH SCRN SET 1200 X 1200,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/75/C92775_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/AKW_Multiple Screen_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AKW_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AKW_ShowerScreens_Technical.pdf,,,,,,,,
