,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Hazardous,Capacity (kg),Ports (single / dual),Size,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 5,Range,Evaporator Fans,Power Supply,Attachment 6,Weight,Refrigerant Suitability,Fin Spacing mm,Depth (mm),Surface Area,Air Throw,Fan Amps,Motor,Air Volume (m3 per s),Capacity at SC2 R404A,Inlet Size,Noise Level,Number of Fans,Outlet Size,ASHRAE Code,Safety Classification,GWP,Connection Size,Pressure,Model For Use With,Dimensions (L x W x D),Defrost,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 7,Pack Quantity,Liquid Line Connection,Suction Connection Size (inch),Material Type,Warranty,Material,Attachment 8,Attachment 9,Attachment 10,Attachment 11,Amps,Connection Type,Voltage Rating,Display Type,Sensor,Application,Feature 13,Feature 14,Electric Supply,Operating Temperature Range (C),Cable Length (m),IP Rating,Maximum Working Pressure (Bar g),Feature 15,Diameter,Nominal Running Current (A),Speed RPM,Phase
0,P684832,A-Gas R410A rental cylinder 11kg,A Gas,246.41,"This A-Gas 11kg rental cylinder contains R-410A, a HFC blend used mainly in air conditioning systems or as an alternative to R-13B1 in low temperature refrigeration.",Refrigeration/Refrigeration.csv -> A-Gas R410A rental cylinder 11kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/32/NW-684832_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R410A_Pressure_Temp_Chart.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R410A_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P688723,A-Gas Opteon XP44 R452A rental cylinder 12kg,A Gas,526.41,"This A-Gas 12kg cylinder contains Opteon® XP44 R-452A, a HFO refrigerant blend used as a replacement for R-404A and R507 in low temperature transport refrigeration applications. This blend offers a low Global Warming Potential (GWP) for higher efficiency.",Refrigeration/Refrigeration.csv -> A-Gas Opteon XP44 R452A rental cylinder 12kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/23/NW-688723_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R452A_Pressure_Temp_Chart.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R452A_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P624143,A-Gas RECO0010 Small Rental Recovery Cylinder 10ltr / 10kg,A Gas,109.0,This A-Gas small 10kg rental recovery cylinder with yellow valve guard is designed for returning recovered refrigerant that the user no longer needs. The cylinder includes a dual port valve for straightforward push-pull recovery of gas.,Refrigeration/Refrigeration.csv -> A-Gas RECO0010 Small Rental Recovery Cylinder 10ltr / 10kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/43/NW-624143_wm.jpg,,,,,Yellow,Y,10,Dual,Small,RECO0010,RECO0010,Recovery Cylinder,N,Yellow valve guard,Dual port valves enable push-pull gas recovery,Returned to A-Gas containing product,Different refrigerants should not be mixed,Maximum fill weight stencilled and labelled on cylinder,Maximum fill weight should be adhered to at all times,Standard recovery cylinder not suitable for hydrocarbons and high pressure refrigerants,May contain traces of oil and other contaminants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P688717,A-Gas Solstice N40 R448A rental cylinder 12kg,A Gas,363.23,"This A-Gas 12kg rental cylinder contains Solstice N40 R-448A, a non-flammable HFO blend suitable as a replacement for R-404A and R-22 in low and medium temperature refrigeration applications. Solstice combines a low Global Warming Potential (GWP) with high energy efficiency and offers reduced compressor discharge temperature in medium and low temperatures.",Refrigeration/Refrigeration.csv -> A-Gas Solstice N40 R448A rental cylinder 12kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/17/NW-688717_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/gr/am/A-Gas_Solstice-N40_Program.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R448A_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R448A_Pressure_Temp_Chart.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P684979,A-Gas Refrigeration and Industrial Gas Oxygen Free Nitrogen Rental Cylinder 10ltr,A Gas,41.41,"This A-Gas 10L oxygen free nitrogen (OFN) cylinder is used for leak detection in RAC systems, strength and pressure testing and in cleaning condenser coils. It can also help to reduce oxidation during brazing jobs.",Refrigeration/Refrigeration.csv -> A-Gas Refrigeration and Industrial Gas Oxygen Free Nitrogen Rental Cylinder 10ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/80/NW-684979_684980_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/AGas_Nitrogen Oxygen Free_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A_Gas_OFN_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P601143,A-Gas R404A rental cylinder 11kg,A Gas,833.77,"This A-Gas 11kg rental cylinder contains R-404A, a HFC blend suitable as a replacement for R502 and R-22 in low and medium temperature refrigeration applications. With a GWP above 2500, the use of R-404A is now prohibited in new equipment and restricted in pre-existing equipment while reclaimed R-404A is still permitted until 2030 for servicing equipment already running and is therefore an option for those with systems above 40T CO2 equivalent (approximately 10kgs of R-404A).",Refrigeration/Refrigeration.csv -> A-Gas R404A rental cylinder 11kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/43/NW-601143_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R404A_Pressure_Temp_Chart.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R404A_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P688727,A-Gas R404A reclaimed rental cylinder 11kg,A Gas,824.4,"This A-Gas 11kg rental cylinder contains R-404A, a HFC blend suitable as a replacement for R502 and R-22 in low and medium temperature refrigeration applications. With a GWP above 2500, the use of R-404A is now prohibited in new equipment and restricted in pre-existing equipment while reclaimed R-404A is still permitted until 2030 for servicing equipment already running and is therefore an option for those with systems above 40T CO2 equivalent (approximately 10kgs of R-404A).",Refrigeration/Refrigeration.csv -> A-Gas R404A reclaimed rental cylinder 11kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/27/NW-688727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R404A_Pressure_Temp_Chart.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R404A_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P688720,A-Gas Opteon XP40 R449A rental cylinder 12kg,A Gas,399.64,"This A-Gas 12kg cylinder contains Opteon® XP40 R-449A, a HFO blend suitable as a replacement for R-404A and R507 in low and medium temperature refrigeration applications. R-449A (Opteon® XP40) is suitable for new installations and retrofits of existing equipment and with a low Global Warming Potential (GWP) of 1397 offers improved energy efficiency and eco-friendly properties.",Refrigeration/Refrigeration.csv -> A-Gas Opteon XP40 R449A rental cylinder 12kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/20/NW-688720_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R449A_Pressure_Temp_Chart.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R449A_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P624144,A-Gas Large Rental Recovery Cylinder 60ltr / 45kg,A Gas,147.0,This A-Gas large 45kg rental recovery cylinder with yellow valve guard is designed for returning recovered refrigerant that the user no longer needs. The cylinder includes a dual port valve for straightforward push-pull recovery of gas.,Refrigeration/Refrigeration.csv -> A-Gas Large Rental Recovery Cylinder 60ltr / 45kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/44/NW-624144_wm.jpg,,,,,Yellow,Y,45,Dual,Large,RECO0045,RECO0045,Recovery Cylinder,N,Yellow valve guard,Dual port valves enable push-pull gas recovery,Returned to A-Gas containing product,Different refrigerants should not be mixed,Maximum fill weight stencilled and labelled on cylinder,Maximum fill weight should be adhered to at all times,Standard recovery cylinder not suitable for hydrocarbons and high pressure refrigerants,May contain traces of oil and other contaminants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P684829,A-Gas R407C rental cylinder 13kg,A Gas,322.81,"This A-Gas 13kg rental cylinder contains R-407C, a HFC blend, a suitable replacement for R-22 in air conditioning systems and medium temperature refrigeration applications.",Refrigeration/Refrigeration.csv -> A-Gas R407C rental cylinder 13kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/29/NW-684829_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Retrofit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/A-Gas_R407C_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/A-Gas_Refrigerant_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ha/rt/A-Gas_R407C_Pressure_Temp_Chart.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
