,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5
0,P472050,Grant 20030953 Pump Rdb Bio(To B10 Mix),Grant,99.18,This Grant Oil pump works with one pipe or two pipe oil feed systems.,Heating/Burner Parts/Heating Oil Pumps & Fuel Pumps/Heating Oil Pumps & Fuel Pumps.csv -> Grant 20030953 Pump Rdb Bio(To B10 Mix),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/50/NW-472050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Grant_VortexEco_UtilitySystem_Instal.pdf,,,,
1,P414858,Danfoss Diamond 2.0 071N7155 burner fuel pump BFP11 R3,Danfoss,76.23,"This Danfoss BFP11 R3 one-stage oil pump is suitable for small or medium-sized domestic oil burners. With a 15 bar pressure rating, this 220 to 230V 50/60Hz pump is speed rated to 3450 RPM.",Heating/Burner Parts/Heating Oil Pumps & Fuel Pumps/Heating Oil Pumps & Fuel Pumps.csv -> Danfoss Diamond 2.0 071N7155 burner fuel pump BFP11 R3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/58/NW-414858_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_BFP_10_11_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AD125086457463_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Danfoss_BFP_EU_Declaration_Cert.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_BFP_10_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AI118886455280_Brochure.pdf
2,P414857,Danfoss Diamond 2.0 071N7141 burner fuel pump BFP11 L3,Danfoss,76.23,"This Danfoss BFP11 L3 one-stage oil pump is suitable for small or medium-sized domestic oil burners. With a 15 bar pressure rating, this 220 to 230V 50/60Hz pump is speed rated to 3450 RPM.",Heating/Burner Parts/Heating Oil Pumps & Fuel Pumps/Heating Oil Pumps & Fuel Pumps.csv -> Danfoss Diamond 2.0 071N7141 burner fuel pump BFP11 L3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/60/NW-414857_414860_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_BFP_10_11_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AD125086457463_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Danfoss_BFP_EU_Declaration_Cert.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_BFP_10_11_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AI118886455280_Brochure.pdf
3,P472047,Grant pump R40 bio to B10 mix,Grant,97.07,"This Grant pump is compatible with gas oil, kerosene and 20% blend biofuels.",Heating/Burner Parts/Heating Oil Pumps & Fuel Pumps/Heating Oil Pumps & Fuel Pumps.csv -> Grant pump R40 bio to B10 mix,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-472047_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grant_Vortex_Blue_Int_Combi_Install.pdf,,,,
4,P414861,Danfoss Diamond 2.0 071N8213 burner fuel pump BFP41 L3,Danfoss,76.23,"This Danfoss BFP41 L3 one-stage oil pump is suitable for small or medium-sized domestic oil burners. With a 15 bar pressure rating, this 220 to 230V 50/60Hz pump is speed rated to 3450 RPM.",Heating/Burner Parts/Heating Oil Pumps & Fuel Pumps/Heating Oil Pumps & Fuel Pumps.csv -> Danfoss Diamond 2.0 071N8213 burner fuel pump BFP41 L3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/61/NW-414861_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AD125086457463_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_BFP_41_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Danfoss_BFP_EU_Declaration_Cert.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_BFP_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AI118886455280_Brochure.pdf
5,P414859,Danfoss Diamond 2.0 071N7156 burner fuel pump BFP21 L3,Danfoss,76.23,"This Danfoss BFP21 L3 one-stage oil pump is suitable for small or medium-sized domestic oil burners. With a 15 bar pressure rating, this 220 to 230V 50/60Hz pump is speed rated to 3450 RPM.",Heating/Burner Parts/Heating Oil Pumps & Fuel Pumps/Heating Oil Pumps & Fuel Pumps.csv -> Danfoss Diamond 2.0 071N7156 burner fuel pump BFP21 L3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/60/NW-414857_414860_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AD125086457463_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_BFP_20_21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Danfoss_BFP_EU_Declaration_Cert.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_BFP_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AI118886455280_Brochure.pdf
6,P414856,"Danfoss 071N1006W pump coil 230V, T85, for Diamond 2.0 series burner fuel pump",Danfoss,24.55,"Ideal for use alongside BFP oil pumps, the modern Danfoss Diamond 2.0 coil benefits from thick coil wire.","Heating/Burner Parts/Heating Oil Pumps & Fuel Pumps/Heating Oil Pumps & Fuel Pumps.csv -> Danfoss 071N1006W pump coil 230V, T85, for Diamond 2.0 series burner fuel pump",,Coil;Nut;Washer,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/56/NW-414856_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Burner_Component_Brochure.pdf,,,,
7,P555961,Anglo Nordic oil suction pump,Anglo Nordic,110.4,"An essential addition to the oil engineer's kit, this Anglo Nordic reciprocating oil suction pump is useful in installing new systems or modifying old non-self-priming systems. The pump is supplied with a suction hose for connecting to the GS 2000 de-aerator or an oil filter and has a discharge flexible hose for draining excess oil into a collecting basin.",Heating/Burner Parts/Heating Oil Pumps & Fuel Pumps/Heating Oil Pumps & Fuel Pumps.csv -> Anglo Nordic oil suction pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/61/NW-555961_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_3006035_Brochure.pdf,,,,
8,P414860,Danfoss Diamond 2.0 071N7157 burner fuel pump BFP21 R3,Danfoss,76.23,"This Danfoss BFP21 R3 one-stage oil pump is suitable for small or medium-sized domestic oil burners. With a 15 bar pressure rating, this 220 to 230V 50/60Hz pump is speed rated to 3450 RPM.",Heating/Burner Parts/Heating Oil Pumps & Fuel Pumps/Heating Oil Pumps & Fuel Pumps.csv -> Danfoss Diamond 2.0 071N7157 burner fuel pump BFP21 R3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/60/NW-414857_414860_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AD125086457463_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_BFP_20_21_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Danfoss_BFP_EU_Declaration_Cert.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_BFP_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AI118886455280_Brochure.pdf
9,P796844,Anglo Nordic Inpro OUF 88 Maxi oil pump OUF-88 3.5ltr,Anglo Nordic,1037.34,"Satisfying domestic requirements up to 15L/hr, this Anglo Nordic Inpro OUF 88 oil lifter with leak detector and drip tray has 3/8"" BSP inlet and outlet connections and a stainless steel float fitted as standard. The unit monitors oil levels, topping up when the level drops to a determined point. An LED panel display raises the alert in case of malfunction.",Heating/Burner Parts/Heating Oil Pumps & Fuel Pumps/Heating Oil Pumps & Fuel Pumps.csv -> Anglo Nordic Inpro OUF 88 Maxi oil pump OUF-88 3.5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/44/NW-796844_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Anglo_Nordic_OUF_88_Technical.pdf,,,,
