,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Projection Depth,Hazardous,Depth (mm),Waste Supplied,Fitting / Mounting Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Projection,Tap Holes,Attachment 3,Attachment 4
0,PE14793,Atlanta Breeze sit on basin 610mm,Atlanta,151.46,"Easy to install, the Atlanta Breeze 610mm sit-on basin is designed to sit neatly on top of a washbasin vanity unit. Compatible with a variety of units, including those in Atlanta's own ranges, this elegant gel cast basin is supplied with a single tap hole suitable for your choice of mixer tap.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Atlanta Breeze sit on basin 610mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/93/NW-E14793_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,,,,,,
1,PC04163,Ideal Standard Concept Cube 1 tap hole short semi-counter top basin 500mm White,Ideal Standard,195.27,"The sleek, modern Ideal Standard Concept Cube 500mm countertop washbasin with single right hand tap hole offers compatibility with a range of design-matched bathroom furniture units for a smart combination of functionality and style.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Concept Cube 1 tap hole short semi-counter top basin 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/63/NW-C04163_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C04163_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
2,PD02380,Ideal Standard Sandringham 21 1 tap hole semi-countertop basin 500mm White,Ideal Standard,128.28,"Stylish yet cost-effective, the Ideal Standard Sandringham 21 490mm semi-countertop washbasin with single tap hole is made of hardwearing vitreous china.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Sandringham 21 1 tap hole semi-countertop basin 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/80/NW-D02380_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Sandringham21_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02380_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
3,PN68975,Ideal Standard i.Life B HWB 45 white basin,Ideal Standard,81.5,"A smart designer-look fitting, the Ideal Standard i.Life B 450mm basin is suitable for mounting on a pedestal or wall. Finished in glossy white, this bathroom handwash basin is manufactured in a robust vitreous china.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard i.Life B HWB 45 white basin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/75/N68975_wm.jpg,,,White,380,N,380,No,Wall/Pedestal,Vitresou China,1,E336901,Hand Rinse Basin,N,Designed by Palomba Serafini Associati,Pedestal or semi-pedestal options,Vitreous china construction,White colour,Single taphole,Without waste,,,,,
4,PB09503,Ideal Standard Create 1 tap hole square semi-counter top basin 500 x 450mm White,Ideal Standard,277.27,"The Ideal Standard Create 500mm semi-countertop washbasin is supplied with a single pre-drilled tap hole and overflow. Made of high-gloss white ceramic, this basin can be matched with your preferred monobloc mixer tap.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Create 1 tap hole square semi-counter top basin 500 x 450mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/03/NW-B09503_wm.jpg,,,White/Gloss,450,N,450,No,Semi-Countertop,Ceramic,1,E312701,Washbasin,N,Sleek design,Gloss finish,Single tap hole,For semi-countertop mounting,Meets BS EN 14688 and BS EN 31,,Create,450,One,,
5,PN68974,Ideal Standard i.Life B 55cm basin,Ideal Standard,95.8,"A smart designer-look fitting, the Ideal Standard i.Life B 550mm basin is suitable for mounting on a pedestal or wall. Finished in glossy white, this bathroom handwash basin is manufactured in a robust fine fireclay.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard i.Life B 55cm basin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/74/N68974_wm.jpg,,,White,440,N,440,No,Wall/Pedestal,Fine Fireclay,0,E336801,Washbasin,N,Designed by Palomba Serafini Associati,Pedestal or semi-pedestal options,Fine fireclay construction,White colour,Without tapholes,Without waste,,,,,
6,PB47410,Twyford Alcona two tap hole basin 550mm White,Twyford,49.93,"The modern Twyford Alcona 550mm washbasin with two tap holes is built in robust vitreous china. Suitable for wall or pedestal installation, this basin brings a touch of luxury to any bathroom.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Twyford Alcona two tap hole basin 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/10/NW-B47410_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Alcona_500_600_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Twyford_Collection_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,
7,PB47409,Twyford Alcona one tap hole basin 550mm White,Twyford,49.93,"The modern Twyford Alcona 550mm washbasin with single tap hole is built in robust vitreous china. Suitable for wall or pedestal installation, this basin brings a touch of luxury to any bathroom.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Twyford Alcona one tap hole basin 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/09/NW-B47409_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Alcona_500_600_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Twyford_Collection_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,
8,PT02626,Ideal Standard Tesi 1 tap hole semi countertop basin 550mm,Ideal Standard,151.51,"With a contemporary geometric design, this Ideal Standard Tesi 400mm semi-countertop washbasin is part of a suite perfect for modern bathrooms. Built in tough vitreous china, this basin includes a single tap hole ready for your choice of mixer.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Tesi 1 tap hole semi countertop basin 550mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/26/NW-T02626_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/T352601_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Bathrooms_Brchr_2019.pdf,,,,,,,,,,,,,,,,,,,,,,
9,PC21387,Ideal Standard Concept Sphere one tap hole semi countertop basin 450mm White,Ideal Standard,168.64,"Modern and practical, the Ideal Standard Concept Space Sphere 450mm semi-countertop washbasin with single tap hole is made of highly durable fireclay. Designed to maximise your bathroom space, this luxury basin sits on a countertop for a smart contemporary look.",Bathrooms and Kitchens/Bathroom Sinks/Countertop Basins/Countertop Basins.csv -> Ideal Standard Concept Sphere one tap hole semi countertop basin 450mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/87/NW-C21387_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/16/IS_Bathroom_Brochure_16.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C21387_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,
