,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Flow Rate,Range,Voltage (V),Warranty,Phase,Hazardous,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Output,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Weight,Refrigerant Suitability,Seasonal Efficiency Energy Label Heating,UK Total Cooling,Seasonal Efficiency Energy Label Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Fuse Size (A),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Operating Temperature,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Attachment 5,Attachment 6,Connection Type,Max Pressure,Material,Operating Pressure,Maximum Operating Temperature,Application,Capacity Litre,Feature 20,Feature 21,Feature 22
0,P105791,Grundfos UPS3 Ups3 15-50/65 130 1X230V 50Hz 9H Gb,Grundfos,139.72,"Highly efficient, the Grundfos UPS3 15-50/65 130 circulator pump is suitable for use as a universal upgrade and replacement pump, circulating liquids in domestic heating systems. This pump has a user-friendly one button interface for simple, fast set-up, while LEDs indicate actual operating status as well as providing warnings and alarms. Self-venting through the system, UPS3 offers easy commissioning, while the compact design, featuring a pump head with integrated control box, fits into most installations, including boilers, for simple fitting. Maintenance-free, the pump and motor are one integral unit with no a shaft seal, and bearings are lubricated by the pumped liquid.",Heating/Central Heating Pumps/Central Heating Pumps.csv -> Grundfos UPS3 Ups3 15-50/65 130 1X230V 50Hz 9H Gb,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/92/NW-105791_105792_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_UPS3_Quick_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_UPS3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_UPS3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P668197,JET Range Condensate FP3380 tank pump - ACR - 1.7ltr,JET Range,93.57,"JET ACR condensate pump offers both high performance and efficiency in a compact, space saving design. Specifically engineered to the requirements on AC units, this pump collects excess condensate water that is produced and discharges it safely up to a maximum head height of 5m. The JET ACR condensate pump also features a non-return valve, a pre-wired safety switch, plug and play connectivity, making it the perfect go to choice for those installations that require a high performing, easy to install and maintain condensate pump.",Heating/Central Heating Pumps/Central Heating Pumps.csv -> JET Range Condensate FP3380 tank pump - ACR - 1.7ltr,,PumpSafety switch1A fuse,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/97/NW-668197_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pu/mp/668197_TDS_Jet_ACR_Cond_Pump.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pu/mp/668197_Jet_AC_Condensate_Pump.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_668197_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_AC_Condensate_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P149317,Grundfos UPS Ups 15-50N 1Ph Hws Circ No Fittin,Grundfos,285.84,"Featuring a corrosion-free stainless steel pump housing, this Grundfos UPS 15-50 N 130 circulator pump is ideal for domestic hot water recirculation and underfloor heating systems. Suitable for connection to an on/off time switch to limit pump operation to periods when hot water is usually needed, this canned rotor pump houses its pump and motor in a single integral unit with no shaft seal and just two gaskets for sealing, keeping maintenance costs to an absolute minimum.",Heating/Central Heating Pumps/Central Heating Pumps.csv -> Grundfos UPS Ups 15-50N 1Ph Hws Circ No Fittin,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/19/NW-149317_149319_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Wide_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UP_UPS_UPSD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD00601,Salamander HomeBoost mains pressure booster pump,Salamander,318.01,"The Salamander HomeBoost mains booster pump is an excellent solution for low pressure systems as it can detect when water flow is below twelve litres per minute and will boost it to reach the desired rate. This intelligent pump can considerably improve both tap and shower flow by increasing pressure to 1.5 bar, enhancing your customer’s water power when they need it most.   Compatible with a wide variety of combi boilers, the compact HomeBoost pump is easy to install and can be fully operational in just one hour. Plus, as this booster pump doesn’t require a pressure relief valve, installation time is significantly reduced, making it the perfect solution for you and your clients. What’s more, this mains booster pump operates at an extremely low 46 decibels, even quieter than a boiling kettle, so you can assure your customer they will barely notice it’s there.   Make low water pressure a thing of the past with this exceptionally high quality Salamander HomeBoost mains booster pump, available today with an outst",Heating/Central Heating Pumps/Central Heating Pumps.csv -> Salamander HomeBoost mains pressure booster pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/01/NW-D00601_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Salamander_MainsBoostr_Pump_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Salamander_HBoost_CBoost_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P222021,Grundfos UPS3 circulating pump 1 x 230V 50Hz 9H GB pack,Grundfos,119.0,"Highly efficient, the Grundfos UPS3 15-50/65 130 circulator pump is suitable for use as a universal upgrade and replacement pump, circulating liquids in domestic heating systems. This pump has a user-friendly one button interface for simple, fast set-up, while LEDs indicate actual operating status as well as providing warnings and alarms. Self-venting through the system, UPS3 offers easy commissioning, while the compact design, featuring a pump head with integrated control box, fits into most installations, including boilers, for simple fitting. Maintenance-free, the pump and motor are one integral unit with no a shaft seal, and bearings are lubricated by the pumped liquid.",Heating/Central Heating Pumps/Central Heating Pumps.csv -> Grundfos UPS3 circulating pump 1 x 230V 50Hz 9H GB pack,,UPS3 pump;Installer plug;2x gaskets;Quick guide,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/92/NW-105791_105792_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_UPS3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_UPS3_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_UPS3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P450193,Archergas® ST15® circulating pump 15-60/130,Archergas®,59.0,"The Archergas® Heating Standard produces a maximum head of just over 6 meters with a standard 1 1/2"" threaded connection. As with all Archergas® circulators, it is fully ERP compliant with an impressive energy efficiency index rating of less than 0.20. The ST15 is a standalone heating circulator with 4 modes of control and a standard 130mm port to port size. The ST15 is suitable for radiators, underfloor heating, cooling, solar, recirculation (non-potable) and air source heat pump systems. It also comes with a 5 year guarantee and can be used as a direct replacement for a large number of other models, some of which are listed as follows: Grundfos - UP, UPS 4m, 5m, 6m, UPSD, UPS2, UPM3 & UPS3, Lowara - Ecocirc, Ecocirc Basic & Premium 25-40 & 25-6 (130), Wilo - Yonos Pico 15/1-6-130, Gold, Gold Star, Gold 50, 60 & RS25, DAB - VA55/130, VA65/130, Evotron 60/130, Evosta 40/70, Circulating Pumps - CP50, CP60 & Myson LA, SD, CP53 & CP63, Salus - MP100A & MP200A, Stuart Turner - ST 15/60 (130), Download the Archerg",Heating/Central Heating Pumps/Central Heating Pumps.csv -> Archergas® ST15® circulating pump 15-60/130,,"ST15 Pump, supplied with 2 rubber washers",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/_1/450193_1_wm.jpg,,,,,Jet Black,65 Litres per minute,ST15®,230,5 Years,Single,N,140.7,6m Max Head,IP44,50,Maximum System Pressure 10 Bar,ErP,ST15,Domestic Heating Circulator,N,Easy installation,Easy to use,Large bleed screw,ERP compliant,5 year guarantee,4 modes,Cast iron,Designed in the UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P668228,Center boiler condensate pump kit,Center,83.48,"A complete all-in-one kit for ease of fitting, the Center condensate pump kit offers excellent levels of performance and efficiency in a compact, LVD compliant package. Intended to remove boiler condensate water and discharge it safely up to a head of 5M, this pump has a non-return valve, pre-wired safety switch and a hard-wired power chord, ensuring high levels of performance as well as easy, flexible installation, even in challenging locations, and stress-free servicing and maintenance.",Heating/Central Heating Pumps/Central Heating Pumps.csv -> Center boiler condensate pump kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/28/668228_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/668228 Cond Boiler Pump Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/668228 Condestate Boiler Pump Data.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P222024,Grundfos UPS2 UPS2 25-80 circulating pump 180 mm pack,Grundfos,259.0,"The 10 bar rated Grundfos UPS2 circulating pump offers advanced control modes, adjusting pump performance to suit system requirements, whether in one and two-pipe heating systems. Running silently and minimising energy consumption, this pump incorporates compact rotor technology and a permanent magnet motor.",Heating/Central Heating Pumps/Central Heating Pumps.csv -> Grundfos UPS2 UPS2 25-80 circulating pump 180 mm pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/24/NW-222024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Product_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UPS2_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P141837,Grundfos Magna 3 D 50-120 F 280 circulating pump 1 x 230V PN6/10,Grundfos,5825.21,"Ideal for creating high performance heating and cooling systems, the Grundfos MAGNA3 50 - 120 F single phase circulator pump is suitable for new installations and refits, offering excellent efficiency and built-in communication capabilities. With a canned rotor, this pump is a maintenance-free integral unit with no shaft seal and just two gaskets for sealing, while bearings are lubricated by the pumped liquid. Wirelessly connecting with the Grundfos GO Remote app, for advanced reporting and monitoring, MAGNA3 is suitable for mixing loops, heating and air conditioning surfaces, ground source heat pumps and small chillers and includes fieldbus communication via CIM modules as well analogue and digital inputs and configurable relays. Features include FLOWADAPT, reducing the requirement for throttling valves, and a built-in differential pressure and temperature sensor.",Heating/Central Heating Pumps/Central Heating Pumps.csv -> Grundfos Magna 3 D 50-120 F 280 circulating pump 1 x 230V PN6/10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/39/NW-141827_141839_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA3_Model_D_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_MAGNA3_Model_D_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA3_instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P222022,Grundfos Conlift 1 LS Conlift1 LS condensate pump pack,Grundfos,73.0,The one phase Grundfos Conlift1 LS condensate pump is used to lift condensate collected below sewer level. This 230V 50Hz pump can also be used in situations where condensate is unable to flow to a sewage system or drain via a natural downward slope.,Heating/Central Heating Pumps/Central Heating Pumps.csv -> Grundfos Conlift 1 LS Conlift1 LS condensate pump pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/22/NW-222022_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fe/ty/Grundfos_Conlift1_Safety.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Product_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Conlift1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Conlift1_LS_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
