,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Supplier Product Code,WEEE Compliant,Diameter,Range,Weight,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Connection Type 2,Type,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Colour,Pack Quantity,Pack Type,Feature 8,Feature 9
0,PN37665,Center CB Shower and Sanitaryware Silicone Clear 300ml,Center CB,4.93,"A single component sealant based on silicones, this Center CB clear shower and sanitary sealant offers an elastic finish for joints in bathrooms and kitchens, top sealing in glazing, refrigerator sealing, container construction and air-conditioning systems.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Center CB Shower and Sanitaryware Silicone Clear 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ro/nt/N37665-FRONT_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PE68094,Geocel Dowsil 785+ Sanitaryware Sealant 310ml White,Geocel,8.49,"Bacteria-resistant, Dowsil 785 white sanitary silicone sealant is a one-part acetoxy silicone for strong adhesion to most non-porous surfaces including ceramics and porcelain. It is ideal for domestic and commercial sanitary fittings, kitchen sink units and clean rooms.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Geocel Dowsil 785+ Sanitaryware Sealant 310ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/94/E68094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dow_Corning_785_Sealant_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Dow_Corning_785_Sealant_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PN37664,Center CB Shower and Sanitaryware Silicone White 300ml,Center CB,4.93,"A single component sealant based on silicones, this Center CB shower and sanitary sealant offers an elastic finish for joints in bathrooms and kitchens, top sealing in glazing, refrigerator sealing, container construction and air-conditioning systems.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Center CB Shower and Sanitaryware Silicone White 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ro/nt/N37664-FRONT_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Center_CB_Silicone_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PN37660,Center CB universal silicone 300ml Clear,Center CB,4.71,"A single component sealant based on silicones, this Center CB clear universal silicone sealant is ideal for making connection joints between walls and bathtubs or shower bases, for sealing joints in sanitary and other often damp rooms, including bathrooms, toilets and wet rooms.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Center CB universal silicone 300ml Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/60/NW-N37660_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Center_CB_Universal_Silicone_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT16508,Henkel Loctite pipe thread sealant 50ml,Henkel,25.49,"Suitable for straight or taper-straight connections, Loctite 577 medium strength general purpose thread sealant fills clearances between threads and seals, braking them at the same time. Providing instant low pressure sealing for metal threaded pipes and fittings and other threaded assemblies, Loctite 577 won't loosen, shrink or crack and has good chemical and thermal resistance.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Henkel Loctite pipe thread sealant 50ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/08/T16507_T16508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Loctite_577_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/T16508_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PE68095,Geocel Dowsil 785+ Sanitaryware Sealant 310ml Clear,Geocel,8.49,"Bacteria-resistant, Dowsil 785 clear sanitary silicone sealant is a one-part acetoxy silicone for strong adhesion to most non-porous surfaces including ceramics and porcelain. It is ideal for domestic and commercial sanitary fittings, kitchen sink units and clean rooms.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Geocel Dowsil 785+ Sanitaryware Sealant 310ml Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/95/E68095_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dow_Corning_785_Sealant_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Dow_Corning_785_Sealant_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PN45676,CT1 miracle seal 250ml,CT1,14.16,"Providing a permanent solution to leaks, CT1 Miracle Seal sealant seals instantly and remains in the system for effective use in domestic and automotive applications. Ideal for heating systems, underfloor heating systems and solar panels, Miracle Seal is a water-based suspension of non-clogging particles, anti-corrosion and lubricating additives for quick emergency repairs which can be permanent in smaller leaks. These soft particles won't clog radiators or influence mechanical cooling system parts, making it compatible with all types of radiators and all water-based coolants.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> CT1 miracle seal 250ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/76/NW-N45676_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_Miracle_Seal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CT1_Miracle_Seal_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_MiracleSeal_Industrial_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CT1_MiracleSeal_Automotive_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT16507,Henkel Loctite pipe thread sealant 250ml,Henkel,119.9,"Suitable for straight or taper-straight connections, Loctite 577 medium strength general purpose thread sealant fills clearances between threads and seals, braking them at the same time. Providing instant low pressure sealing for metal threaded pipes and fittings and other threaded assemblies, Loctite 577 won't loosen, shrink or crack and has good chemical and thermal resistance.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Henkel Loctite pipe thread sealant 250ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/08/T16507_T16508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Loctite_577_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/T16507_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PS63791,Sika Everbuild One Strike ONE1 one strike decor filler 1ltr (6),Sika Everbuild,8.18,"A ready-mixed lightweight filler, Sika Everbuild One Strike decor filler is formulated to prepare a wide range of surfaces ready for painting or wallpapering. Based on high-strength lightweight polymeric fillers, One Strike is suitable for professional or DIY use, outperforming conventional fillers in almost all applications. Drying to a smooth finish, this filler requires little or no sanding and is ready to paint or wallpaper over in 30 minutes.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> Sika Everbuild One Strike ONE1 one strike decor filler 1ltr (6),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/91/NW-S63791_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Sika_Everbuild_One-Strike_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sika_Everbuild_One-Strike_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PN08343,CT1 BT1 535101 sealant 250ml White,CT1,11.22,"Formulated for kitchen and bathroom use, CT1 BT1 sanitary sealant is built around CTEC's innovative Tribrid technology, keeping bacteria and microbes at bay for improved hygiene where it matters most. Free from solvents and isocyanates and highly resistant to the growth of mould and fungi, white-coloured BT1 is ideal for use in clinical settings and will reliably bond a range of materials, including brick, wood, metal, fibreglass, ceramic and concrete, whether in dry and wet conditions.",Trade Essentials/Sealants and Adhesives/Sealants/Sealants.csv -> CT1 BT1 535101 sealant 250ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/43/NW-N08343_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/CT1_BT1_MSDS_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/N08343_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
