,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Range For Use With,Feature 2,Range,Max Set Pressure,Maximum Operating Temperature,Colour,Weight,Dimensions mm (H x W x D),Application,Attachment 3,Size
0,P123305,Ideal Heating Horizontal Flue Terminal 600mm,Ideal Heating,68.57,This is the standard non-telescopic flue which is 600mm long for use with Ideal Logic Boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Heating Horizontal Flue Terminal 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/05/123305_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
1,P123503,Ideal 90deg flue elbow kit,Ideal,37.99,For use with flue extensions or relocation installations with Ideal boilers. The standard 100mm concentric design is a 90 Degree Bend for routing flue systems around corners or obstacles.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal 90deg flue elbow kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/03/123503_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
2,P797083,Ideal flue manifold top - lower seal,Ideal,10.89,"An Ideal brand seal for the flue of Classic, I-mini, Independent, Logic, Logic+, Exclusive, iCombi, Procombi, Atlantic, Instinct, Keston System, Esprit and Keston Combi boilers.  Seals are used in many different boiler parts and are designed to prevent leaks of water or harmful gases as they move through the unit.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal flue manifold top - lower seal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/83/797083_wm.jpg,,,N,"Combi 2 35, I-mini C 24, + Combi 24, System 15, System S 24, E 24, E 35, System 15, System S 30, + Heat 12, + System 18, + System S 24, Exclusive 2 35, i2 24, i24, C24, System S 30, C 24, Code Combi ESP1 26, Heat 18, Heat H 30, Max Combi C 24, System 18,",Flue,CombiExclusivei miniSystemCode CombiCode Combi ESHeat,740611,"System S 24,E 35,Combi 30,Code Combi ESP1 38,Max,ES 24,Code Combi ESP1 33,i35,Heat 30,Code Combi ES 38,Code Combi ES 33,ESP1 24,30,E 24,Heat H 15,C35,System S 18,Heat H 18,Code Combi 26,System 15,I-mini 24,ESP 30,Exclusive 24,Heat 24,Exclusive 30,Eco 24",175579,Seal,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,
3,P123502,Ideal flue extension (Pack-D) 1mtr,Ideal,58.77,"Suitable for installation with the Ideal Independent, Vogue, Logic+ & Logic Condesing ranges of gas boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal flue extension (Pack-D) 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/02/123502_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
4,P124869,Ideal Roof Flue Kit (With Vrt Connector),Ideal,138.77,"Suitable for Ideal, Logic+ and Vogue boiler ranges.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Roof Flue Kit (With Vrt Connector),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/69/124869_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,
5,P123310,Ideal high level flue outlet kit,Ideal,88.0,Flue trim finishing system for use with horizontal flue terminations on boilers from Ideal.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal high level flue outlet kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/10/123310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
6,P123504,Ideal 45 deg flue elbow kit,Ideal,80.83,"For flue installations for new Ideal Logic & Vogue boilers. Standard 100mm Diameter, pair of 45 degree elbow bends.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal 45 deg flue elbow kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/04/123504_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
7,P334036,Ideal standard horizontal flue pack,Ideal,68.56,This is the standard non-telescopic flue which is 600mm long for use with Ideal Logic Boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal standard horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/05/123305_wm.jpg,,,N,,Flue,LogicLogic+Voguei mini,,,334036 PK,Horizontal Flue Pack,N,Suitable for use with most ideal logic boilers,Logic,Horizontal mounting,,,,,,,,,
8,P123304,Ideal telescopic flue kit (Pack-B),Ideal,92.89,At Ideal. we undertake to ensure that all functional parts are available for our products for a minimum of 10 years after cease of production. It’s not uncommon for us to continue to supply parts for considerably longer than this. Our philosophy is simple. We’ll only withdraw a spare when we cannot get it / make it. or when the cost of the part is so much that it’s more sensible to replace the boiler.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal telescopic flue kit (Pack-B),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/04/123304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
9,P124874,Ideal Logic stand off kit,Ideal,41.37,"This Ideal stand-off kit provides additional flexibility when installing a boiler, allowing for the downward routing of system flow and return pipework behind the unit for a neater finish.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Logic stand off kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/74/124874_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/48/74/124874.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic+_Flue-Accessories_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
