,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Connection Size,Connection Type,Diameter,Range,Warranty,Hazardous,Dimensions (L x W x D),Drainage Product Type,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Colour,Weight,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Application,Feature 5,Feature 6,Feature 7
0,PF67254,Polypipe rain water downpipe bracket 68mm Black,Polypipe,5.61,"Made of black PVC-U, this Polypipe bracket with 68mm connections is suitable for use in domestic applications. Polypipe's Rainwater systems range offers versatile, well-designed fittings for both residential and light commercial applications.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Polypipe rain water downpipe bracket 68mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/54/NW-F67254_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PQ64818,"Wavin Osma RoundLine pipe bracket 2.1/2"" Black",Wavin,4.97,"Ideal for domestic use, this Wavin Osma RoundLine 68mm pipe bracket with single screw lock facility is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Wavin Osma RoundLine pipe bracket 2.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/18/NW-Q64818_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PQ66039,Wavin Osma round line pipe bracket 68mm Anthracite Grey,Wavin,4.97,"Suitable for domestic use, the Wavin Osma RoundLine 68mm pipe bracket is suitable for mounting a RoundLine downpipe. The Osma RoundLine system isa 112mm gutter system featuring 68mm downpipe, all with a traditional rounded design. The system covers roof areas of 163M² with a single downpipe.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Wavin Osma round line pipe bracket 68mm Anthracite Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/39/Q66039_wm.jpg,,,,,N/A,N/A,68 mm,Osma,12 Months,N,112 x 68mm,Bracket,PVC,0T034AG,Pipe Bracket,N,For 68mm downpipe,For wall mounting,Anthracite grey colour,PVC construction,,,,,,,,,,,,
3,PQ64816,"Wavin Osma RoundLine bracket spacer 2.1/2"" Black",Wavin,2.36,"Ideal for domestic use, this Wavin Osma RoundLine 68mm pipe bracket spacer for use with 0T033 concealed screw pipe is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Wavin Osma RoundLine bracket spacer 2.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/16/NW-Q64816_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PW14361,Alutec hex insert domehead 16 x 170mm,Alutec,1.82,"Offering a functional lifetime of fifty years or longer, this Alutec 16 x 170mm hex insert domehead screw is part of the brand's expansive rainwater system. Helping to minimise lifecycle costs and disruption, the Alutec rainwater system, constructed in marine grade aluminium, is almost completely maintenance-free.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Alutec hex insert domehead 16 x 170mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/c2/08/SC208_wm.jpg,,,,,M6,screw,M6,,50 years functional life expectancy and 25 years for paint finish,N,,Rainwater accessories,Stainless Steel,SC208,,N,For rainwater applications,Stainless steel construction,Mill finish,Corrosion-resistant,Black,0.13,N/A,Corrosion Resistant,Not applicable,n/a,Yes,DIN 571,Rainwater,DIN 571,50 years functional life expectancy,25 year expected life on paint finish
5,PF14098,Center CB square shoe 65mm White,Center CB,6.2,"Center CB square shoe is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Center CB square shoe 65mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/98/NW-F14098_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PF14096,Center CB square pipe socket 65mm White,Center CB,8.82,"Center CB square pipe socket is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Center CB square pipe socket 65mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/96/NW-F14096_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PQ64449,"Wavin Osma RoundLine sock clip 2.1/2"" Black",Wavin,5.83,"Ideal for domestic use, this Wavin Osma RoundLine 68mm socket bracket is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Wavin Osma RoundLine sock clip 2.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/49/NW-Q64449_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PF14036,Center CB downpipe socket 68mm Black,Center CB,6.98,"Center CB downpipe socket is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Center CB downpipe socket 68mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/36/NW-F14036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PF67754,Polypipe rainwater pipe bracket 65mm Black,Polypipe,6.9,"Suitable for domestic use, this Polypipe 65mm pipe bracket is made of black PVC-U.",Drainage/Rainwater Downpipes & Fittings/Downpipe Fittings/Downpipe Fittings.csv -> Polypipe rainwater pipe bracket 65mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/54/NW-F67754_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
