,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Range,Hazardous,Material,Number of Ports,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Connection Size,Warranty,Depth (mm),Dimensions (L x W x D),Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14
0,P581429,JG Underfloor speedfit 3 port manifold 15mm conns,JG Underfloor,200.1,"Manufactured to the best possible quality, the JG Speedfit three zone underfloor heating manifold promises reliability and longevity. Manufactured in stainless steel, this manifold offers quick and easy installation thanks to its Speedfit push-fit connections, pre-assembled wall brackets and ready-fitted vibration isolation mounts and automatic air vent.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor speedfit 3 port manifold 15mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/29/581429_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_UFH_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P581401,JG Underfloor Speedfit manifold isolating valve,JG Underfloor,6.5,A JG Underfloor Speedfit manifold isolating valve for use in underfloor heating systems.,Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor Speedfit manifold isolating valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/01/581401_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/JG_Underfloor_Product_Guide_Feb-2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
2,P581494,JG Underfloor Lowfit manifold connection kit,JG Underfloor,12.64,"Connecting JG LowFit or Underfloor manifold together, this JG Underfloor manifold connection kit is perfect for large properties that need multiple loops per room or where additional underfloor heating circuits are to be added to an existing system. Offering simplified installation, this kit is supplied with sealing washers and requires just the removal of blanking plugs and the insertion of the washers into connectors. At this point the manifold is simply connected to the opposite end. The complete system can be controlled using just one JG Underfloor Thermomix control kit meaning there's no need to buy and use additional controls.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor Lowfit manifold connection kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/94/581494_wm.jpg,,,,,Lowfit,N,Brass nickel plated,0,MEXT452301,Underfloor manifold connection kit,N,Connects 2x JG Underfloor or JG LowFit manifolds,"Union connections for fast, simple fitting",Kit contains adapters for flow and return bars,Includes sealing washers,Brass connection,Nickel-plated finish,Manifold flow meters require recalibration after installation to maintain performance,,,,,,,,,,,
3,P262971,Myson Floortec 99310PR 10 port premium manifold,Myson,613.41,"A compact ten port Myson Floortec premium manifold, built as the central point for your underfloor heating system. Supplied complete with fixtures and fittings for easier installation, the manifold is used to distribute the mixed water provided by a manifold control centre to each heating circuit.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Myson Floortec 99310PR 10 port premium manifold,,Manifold;Automatic air vent;Pressure gauge;Isolating valves;Flow meter adjustment key;Fibre washers;Mounting plugs;screws;Hose connection;Pipe inserts;Bend formers,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/73/262963_262973_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_UFH_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P581490,JG Underfloor Lowfit JGLOWFITMAN10 10 port manifold stainless steel 12mm conns,JG Underfloor,412.07,"Distributing warm water via low profile pipework, the JG Underfloor LowFit 12mm 10-port UFH manifold is manufactured to a high level in tough stainless steel. Fitted using JG Speedfit push-fit connections, this manifold is easy and quick to install thanks to the supplied pre-mounted bracket and vibration isolation mount. Ready assembled, the LowFit UFH manifold is supplied complete with vital components including flow and return rails, an automatic air vent, adjustable flow meters and a fill valve. In addition, protective dust caps are supplied on the return rail, removable if circuit actuator valves are installed, allowing for the opening and closing of water flow around pipe loops.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor Lowfit JGLOWFITMAN10 10 port manifold stainless steel 12mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/90/NW-581490_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JG_LowFit_UFH_Manifold_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/JG_Underfloor_Heating_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P262969,Myson Floortec 99308PR 8 port premium manifold,Myson,521.73,"A compact eight port Myson Floortec premium manifold, built as the central point for your underfloor heating system. Supplied complete with fixtures and fittings for easier installation, the manifold is used to distribute the mixed water provided by a manifold control centre to each heating circuit.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Myson Floortec 99308PR 8 port premium manifold,,Manifold;Automatic air vent;Pressure gauge;Isolating valves;Flow meter adjustment key;Fibre washers;Mounting plugs;screws;Hose connection;Pipe inserts;Bend formers,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/73/262963_262973_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_UFH_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PP05173,"Uponor Vario S FM manifold eurocone 8 x 3/4""",Uponor,321.22,"This Uponor Vario S eight port stainless steel manifold is suitable for use in radiant heating and cooling systems. With 3/4"" Eurocone connectors all Uponor pipe dimensions are compatible, making this manifold suitable for all Uponor underfloor heating and cooling systems.","Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Uponor Vario S FM manifold eurocone 8 x 3/4""",,Manifold;Fill ;drain points;1 inch ball valve;Valve pins for actuator control,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/41/1086541_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/pn/Uponor_Smart-S_PN.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_Vario_S_Manifold_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P567632,Wavin Wavin Hep2O Underfloor Heating 15UH510 underfloor heating composite manifold starter pack,Wavin,148.59,"A complete kit for underfloor heating installation, this Wavin Hep2O starter pack includes a full composite manifold with combined inlets and flow as well as pressure and temperature gauges. This UFH pack is suitable for domestic and light commercial installations.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Wavin Wavin Hep2O Underfloor Heating 15UH510 underfloor heating composite manifold starter pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/32/567632_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Hep2O_Wavin_UFH_Manifold_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PP95911,"Uponor UNI-C manifold L 3 pole 3/4 x 1/2""",Uponor,33.31,This plated-brass Uponor UNI-C three port manifold with valve allows each underfloor heating circuit to be isolated.,"Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Uponor UNI-C manifold L 3 pole 3/4 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/11/P95910_P95911_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Uponor_A5_Price_2020_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor_MLC_Sales_2014_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P581433,JG Underfloor speedfit 10 port manifold 15mm conns,JG Underfloor,416.01,"This stainless steel JG Speedfit 10 zone underfloor heating manifold is manufactured to the highest standards for robust reliability. With Speedfit Push-fit connections and pre-fitted with brackets, vibration isolation mounts and automatic air vent, this manifold is ultra-easy and fast to install.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor speedfit 10 port manifold 15mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/33/581433_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_UFH_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
